q,world,seed,lam,val,skill,eff_rank
1,real,11,0.5,0.14154561992455866,0.006633101052946677,16
1,real,11,1.0,0.13670222358945364,0.011093177723263903,16
1,real,11,2.0,0.1298915860676858,0.01594000678943186,16
1,real,11,3.0,0.12560745729906275,0.017896661047562934,16
1,real,11,4.0,0.12287194612871397,0.018595242313907634,16
1,real,11,6.0,0.11995379913080538,0.018788036782580786,16
1,real,11,8.0,0.11924038330049816,0.01937122604126207,15
1,real,11,12.0,0.12331217894126462,0.02455118318784766,15
1,r2,11,0.5,0.187734901797611,0.03329819656809374,16
1,r2,11,1.0,0.17748370558579712,0.05898978827872592,16
1,r2,11,2.0,0.16293685167871005,0.09396023532282116,16
1,r2,11,3.0,0.15379546655903822,0.11476279500356856,16
1,r2,11,4.0,0.14801360633182462,0.1273510934337121,16
1,r2,11,6.0,0.14192677060389472,0.1401898158835707,16
1,r2,11,8.0,0.13932377219031547,0.14565268815230847,16
1,r2,11,12.0,0.14179511809297585,0.15733184317764382,15
1,r5,11,0.5,0.20740665916905773,0.04078716037985575,16
1,r5,11,1.0,0.19558527749595636,0.07277622759631375,16
1,r5,11,2.0,0.17855702599743842,0.11734314917602662,16
1,r5,11,3.0,0.16764751804828423,0.14463825701968291,16
1,r5,11,4.0,0.160626938206503,0.16156842736175958,16
1,r5,11,6.0,0.1530845646520232,0.17920609444171953,16
1,r5,11,8.0,0.1497805957244997,0.18686227123097965,16
1,r5,11,12.0,0.15169042713377395,0.20093848376946055,15
1,margin,11,0.5,0.14307127543898962,0.00020199110918461827,16
1,margin,11,1.0,0.13932996740237497,-0.0002718278812257058,16
1,margin,11,2.0,0.13392488376098266,-0.0021589230779960333,16
1,margin,11,3.0,0.13040722739467853,-0.004265574377598336,16
1,margin,11,4.0,0.12809357986399642,-0.006070453644999252,16
1,margin,11,6.0,0.12553991244372575,-0.008495986674005196,16
1,margin,11,8.0,0.12502800925551194,-0.008987177692951653,15
1,margin,11,12.0,0.12933945003982877,-0.004809891346260309,15
1,real,29,0.5,0.1424094362882205,0.0064125078957879555,16
1,real,29,1.0,0.13754314323252465,0.010720501213056233,16
1,real,29,2.0,0.13070228601103057,0.015384889418008751,16
1,real,29,3.0,0.1264015203363008,0.017221478533465562,16
1,real,29,4.0,0.12365683451348311,0.017815831061529286,16
1,real,29,6.0,0.1207300356146843,0.017864355992343928,16
1,real,29,8.0,0.12010764455854545,0.018571130304663952,15
1,real,29,12.0,0.1241777825342453,0.02421515205823066,15
1,r2,29,0.5,0.1916198837882737,0.03693279451138343,16
1,r2,29,1.0,0.18084350754125245,0.06536330733241336,16
1,r2,29,2.0,0.16560651018050615,0.1039473537633957,16
1,r2,29,3.0,0.15607298885336357,0.12676985533149243,16
1,r2,29,4.0,0.15006503787399336,0.1405087036578181,16
1,r2,29,6.0,0.1437654592549815,0.15439989345088367,16
1,r2,29,8.0,0.141082637921968,0.1602401793461362,16
1,r2,29,12.0,0.1435012175012691,0.17233628720659877,15
1,r5,29,0.5,0.20542617784245007,0.04514013155842067,16
1,r5,29,1.0,0.19283122889049337,0.08060956976596145,16
1,r5,29,2.0,0.17479072372788307,0.13018127021318593,16
1,r5,29,3.0,0.1633412280860284,0.1606736353767917,16
1,r5,29,4.0,0.1560504954503659,0.1796819375092359,16
1,r5,29,6.0,0.148332846523026,0.1997070165784578,16
1,r5,29,8.0,0.14501654080088686,0.20853756018214675,16
1,r5,29,12.0,0.1466211559182644,0.22324125740004241,15
1,margin,29,0.5,0.14203808975180857,0.0002871362727817628,16
1,margin,29,1.0,0.1382806461095863,-0.0001477990850595745,16
1,margin,29,2.0,0.13286293127564655,-0.0019765128171383983,16
1,margin,29,3.0,0.12934648446732028,-0.004037386412695021,16
1,margin,29,4.0,0.12703893899660257,-0.005811842103951248,16
1,margin,29,6.0,0.12449729641069203,-0.008185523595938271,16
1,margin,29,8.0,0.1241140761282363,-0.008513177792898396,15
1,margin,29,12.0,0.12841901116240526,-0.004434166440257292,15
1,real,47,0.5,0.1411133495271689,0.006372192907977747,16
1,real,47,1.0,0.13618726824422409,0.010604247754640084,16
1,real,47,2.0,0.12926819755301622,0.015068315263335297,16
1,real,47,3.0,0.12492520428110095,0.01678138346211777,16
1,real,47,4.0,0.12215888536126408,0.01734005280464357,16
1,real,47,6.0,0.11921783812169465,0.017357172886005023,16
1,real,47,8.0,0.11882933146091006,0.018320370597679547,15
1,real,47,12.0,0.1228325695119682,0.02350043210567232,15
1,r2,47,0.5,0.19401995527814772,0.042343810894713174,16
1,r2,47,1.0,0.18245811615134983,0.07508633364195638,16
1,r2,47,2.0,0.16617581801979567,0.11972074181079972,16
1,r2,47,3.0,0.15606640988264944,0.14621871689561183,16
1,r2,47,4.0,0.14975248066006214,0.16220935740712106,16
1,r2,47,6.0,0.1432119127255228,0.17836520472884787,16
1,r2,47,8.0,0.14046680100554126,0.1851546357572208,16
1,r2,47,12.0,0.14297440040401171,0.19822082292280296,15
1,r5,47,0.5,0.20509576523256237,0.03763700136712689,16
1,r5,47,1.0,0.19387057241870076,0.0671115159440413,16
1,r5,47,2.0,0.17769478640504152,0.10814113025262018,16
1,r5,47,3.0,0.16731224807441547,0.1333067755031203,16
1,r5,47,4.0,0.16061108391994916,0.14897633800014776,16
1,r5,47,6.0,0.15337820398443777,0.1654897281795138,16
1,r5,47,8.0,0.15019318001626253,0.17276676695476822,16
1,r5,47,12.0,0.1522725864307957,0.18658658442131415,15
1,margin,47,0.5,0.14262621882849155,9.290154063623657e-05,16
1,margin,47,1.0,0.13885750623498858,-0.0005044699030586353,16
1,margin,47,2.0,0.1334124088440086,-0.002566932525097654,16
1,margin,47,3.0,0.12986706871576753,-0.004761577864544897,16
1,margin,47,4.0,0.1275332426353397,-0.00659979925813059,16
1,margin,47,6.0,0.12495279738421831,-0.009040982875927472,16
1,margin,47,8.0,0.12433939727220641,-0.00961774621136069,15
1,margin,47,12.0,0.12870758092049847,-0.005322838413583608,15
4,real,11,0.5,0.10932798907044895,0.023553229596862235,14
4,real,11,1.0,0.10111267638446439,0.033654961885887014,14
4,real,11,2.0,0.09382097459563796,0.04000004952351577,14
4,real,11,3.0,0.09136338543693233,0.04151583539912307,13
4,real,11,4.0,0.09364025868639994,0.04709498287491831,13
4,real,11,6.0,0.09814797764058678,0.05358265591393585,13
4,real,11,8.0,0.10201047574138884,0.05648612462397817,11
4,real,11,12.0,0.10897350586701716,0.05314084262205976,8
4,r2,11,0.5,0.16576802968188928,0.05566034225968042,14
4,r2,11,1.0,0.151804057552212,0.0849003674806611,14
4,r2,11,2.0,0.13867846757555255,0.10882105893208771,14
4,r2,11,3.0,0.13388217934626095,0.1165181944341005,14
4,r2,11,4.0,0.13352483873593193,0.1225864588018698,13
4,r2,11,6.0,0.1384677565533168,0.13498057189704438,13
4,r2,11,8.0,0.14288276538626146,0.14143918626420082,13
4,r2,11,12.0,0.14983614462729206,0.1481355891115831,13
4,r5,11,0.5,0.17283587415238771,0.056089572918105124,14
4,r5,11,1.0,0.15909656447023562,0.08690738683360366,14
4,r5,11,2.0,0.145959378732946,0.11398607586790721,14
4,r5,11,3.0,0.14106762707931114,0.12354380584545654,14
4,r5,11,4.0,0.14023567916314958,0.1293014336595949,13
4,r5,11,6.0,0.14543898138502573,0.14132188158034253,13
4,r5,11,8.0,0.1500769258957093,0.1473705621800564,13
4,r5,11,12.0,0.15743202746237966,0.1534630103601199,13
4,margin,11,0.5,0.11320335615934182,0.00214635509023664,14
4,margin,11,1.0,0.10692476645880586,0.0006732813486229894,14
4,margin,11,2.0,0.10085111186214271,-0.002952279037770178,14
4,margin,11,3.0,0.09853414432441189,-0.004843493763926898,14
4,margin,11,4.0,0.10047736574276547,-0.0024870736798519033,13
4,margin,11,6.0,0.1055288561748738,0.0015286228248813094,13
4,margin,11,8.0,0.10961563969364727,0.0036817136859678135,12
4,margin,11,12.0,0.1163319507653032,0.003303706179982102,9
4,real,29,0.5,0.11033398013732522,0.021129244870194075,14
4,real,29,1.0,0.10206590557397253,0.03011109060320949,14
4,real,29,2.0,0.09473891827653572,0.035694831405534644,14
4,real,29,3.0,0.09248923212050288,0.037537301797084144,13
4,real,29,4.0,0.09466394087333474,0.04293087227210901,13
4,real,29,6.0,0.09888806795545325,0.04890878233189688,13
4,real,29,8.0,0.1025522270976329,0.05183462802114436,11
4,real,29,12.0,0.10936965727620038,0.04855170474949411,8
4,r2,29,0.5,0.15744022726264745,0.0719501162810614,14
4,r2,29,1.0,0.14201254139924446,0.11104896255101171,14
4,r2,29,2.0,0.12769611130526776,0.1444384421700866,14
4,r2,29,3.0,0.12259687720678493,0.15565983004695305,14
4,r2,29,4.0,0.12235108856274904,0.16408592789013388,13
4,r2,29,6.0,0.1267028210017278,0.1777735414802426,13
4,r2,29,8.0,0.130686339183942,0.18480733899054114,13
4,r2,29,12.0,0.13705180392247548,0.19143174726612,12
4,r5,29,0.5,0.15176643340268095,0.04946404391500592,14
4,r5,29,1.0,0.13913736219880157,0.07578974453032261,14
4,r5,29,2.0,0.1272473373424747,0.09795166806371858,14
4,r5,29,3.0,0.12290935576675995,0.10526152536499378,14
4,r5,29,4.0,0.12292584888803156,0.11136549460424605,13
4,r5,29,6.0,0.12769160500163684,0.12246003665154792,13
4,r5,29,8.0,0.1319072438117758,0.12805587414147668,13
4,r5,29,12.0,0.13859199088608418,0.1333993802429052,12
4,margin,29,0.5,0.11407130517747167,0.002405947521044949,14
4,margin,29,1.0,0.1077875285046462,0.0004790806959136251,14
4,margin,29,2.0,0.10168759241605384,-0.003869495188849159,14
4,margin,29,3.0,0.0993511929543461,-0.006133106910302,14
4,margin,29,4.0,0.10143410133530026,-0.003754140248087512,13
4,margin,29,6.0,0.10645283279804982,0.0003993566701449014,13
4,margin,29,8.0,0.1105569158242981,0.0027076311369845785,12
4,margin,29,12.0,0.11727149539103815,0.00384907027941761,9
4,real,47,0.5,0.10847841309262128,0.023463115692463954,14
4,real,47,1.0,0.10018609217801619,0.03306716989100267,14
4,real,47,2.0,0.09280305211428808,0.03860179466073632,14
4,real,47,3.0,0.09029287916689326,0.0397863236527094,13
4,real,47,4.0,0.09253624135073045,0.045542152562501825,13
4,real,47,6.0,0.09700831796272315,0.05233097224984096,13
4,real,47,8.0,0.10077032998813411,0.05528861986332145,11
4,real,47,12.0,0.10740762366931292,0.05193311666140754,8
4,r2,47,0.5,0.1638870474625776,0.030997293260052183,14
4,r2,47,1.0,0.15316970832327098,0.04653200709532934,14
4,r2,47,2.0,0.14269190808346435,0.05857310242123004,14
4,r2,47,3.0,0.1386405724851949,0.0621005405878674,14
4,r2,47,4.0,0.13859873746625928,0.06622001420672452,13
4,r2,47,6.0,0.14404658772019827,0.07658474905787005,13
4,r2,47,8.0,0.14871305566919454,0.08218062623961242,13
4,r2,47,12.0,0.1559353223797081,0.08805297971466564,13
4,r5,47,0.5,0.1763713313958178,0.059099158803718854,14
4,r5,47,1.0,0.1613108282615047,0.09133496909430672,14
4,r5,47,2.0,0.14677225865784493,0.1187508350971146,14
4,r5,47,3.0,0.14128062320490345,0.12775642369393114,14
4,r5,47,4.0,0.1394158710617465,0.1318681714746497,13
4,r5,47,6.0,0.14467947796455183,0.14698722924945795,13
4,r5,47,8.0,0.14948229789477965,0.15506457159420406,13
4,r5,47,12.0,0.15715195020767864,0.16353778598287094,13
4,margin,47,0.5,0.11400308925830833,0.0008434028136506955,14
4,margin,47,1.0,0.10771805612437105,-0.001766820715543349,14
4,margin,47,2.0,0.10166184062398678,-0.00654530121631014,14
4,margin,47,3.0,0.09936135624550292,-0.008956163661527294,14
4,margin,47,4.0,0.10158670806559024,-0.005886480972474906,13
4,margin,47,6.0,0.1066141765344146,-0.00086445827719972,13
4,margin,47,8.0,0.11067390399575361,0.002114614976303719,11
4,margin,47,12.0,0.11720402267658385,0.002707416670556295,9
7,real,11,0.5,0.13304514072954943,0.0464607976068353,10
7,real,11,1.0,0.12010622614992834,0.061212061728796785,10
7,real,11,2.0,0.11164807595994379,0.06759420748854184,10
7,real,11,3.0,0.11531089948686914,0.07632521947909321,9
7,real,11,4.0,0.12019121379135136,0.08232478688821865,9
7,real,11,6.0,0.12828134158453622,0.08842622497419927,9
7,real,11,8.0,0.1346128367939236,0.09120992390414795,9
7,real,11,12.0,0.14587572038657634,0.06478137195901468,3
7,r2,11,0.5,0.1655468481204909,0.05824908797051398,10
7,r2,11,1.0,0.14741726968276753,0.07850250137476644,10
7,r2,11,2.0,0.1346276242665049,0.08785551759731391,10
7,r2,11,3.0,0.1364325569511073,0.09759148482876567,9
7,r2,11,4.0,0.14179320025619357,0.10635257658921349,9
7,r2,11,6.0,0.15105360441392482,0.11566654806925747,9
7,r2,11,8.0,0.1584832851658539,0.12028695912382303,9
7,r2,11,12.0,0.17073495713453868,0.11449425011777392,4
7,r5,11,0.5,0.18164517627263044,0.07100459293608896,10
7,r5,11,1.0,0.16272380966565042,0.09912781262220349,10
7,r5,11,2.0,0.14871821211701067,0.11480475517715905,10
7,r5,11,3.0,0.14832601302091294,0.124041819772291,9
7,r5,11,4.0,0.15415280760465172,0.1359294540724082,9
7,r5,11,6.0,0.16435731074830798,0.14860828648424595,9
7,r5,11,8.0,0.1726519541297042,0.15491690286876236,9
7,r5,11,12.0,0.18791501894630866,0.13238938890687946,4
7,margin,11,0.5,0.13375380879073656,-0.004262840915105315,10
7,margin,11,1.0,0.12411045687152004,-0.010743146298807016,10
7,margin,11,2.0,0.11735691827429438,-0.017090479158292537,9
7,margin,11,3.0,0.12309381434384407,-0.011629180198066358,9
7,margin,11,4.0,0.12832975153152643,-0.007942248692061615,9
7,margin,11,6.0,0.13691804741582872,-0.0037490122915015966,9
7,margin,11,8.0,0.14368654859849922,-0.0018172333816720565,9
7,margin,11,12.0,0.15299043675205104,-0.0011504737932368503,5
7,real,29,0.5,0.1278616551748361,0.03793157613442688,10
7,real,29,1.0,0.11474519740171879,0.05036329101604997,10
7,real,29,2.0,0.1058738655598541,0.05659432912240103,10
7,real,29,3.0,0.10979263742336491,0.06814865841789475,9
7,real,29,4.0,0.11431538728163565,0.07530681193090805,9
7,real,29,6.0,0.12198227873266197,0.0834504733547069,9
7,real,29,8.0,0.12806666559608823,0.08784737291414069,9
7,real,29,12.0,0.13960590749597226,0.06428615041471797,3
7,r2,29,0.5,0.17940367956969788,0.03783352158184261,10
7,r2,29,1.0,0.1632975954567201,0.049498270000917444,10
7,r2,29,2.0,0.1512105082385058,0.05310961274411463,10
7,r2,29,3.0,0.15303199514523527,0.06120492521436638,9
7,r2,29,4.0,0.15865493502317168,0.06999157049038807,9
7,r2,29,6.0,0.16840273146561952,0.0798628527909726,9
7,r2,29,8.0,0.17635665808003573,0.08496947909893304,9
7,r2,29,12.0,0.18942103340359828,0.07830220630339757,6
7,r5,29,0.5,0.18097025436324138,0.060897503285943344,10
7,r5,29,1.0,0.16268884705481057,0.08271129390885434,10
7,r5,29,2.0,0.14921965718306138,0.0927094044485608,10
7,r5,29,3.0,0.14995094168253886,0.1024310533159336,9
7,r5,29,4.0,0.15550415032472847,0.11368651190616696,9
7,r5,29,6.0,0.16518297845463273,0.12632433832434153,9
7,r5,29,8.0,0.17304077546695337,0.13339744532272446,9
7,r5,29,12.0,0.18732428371529997,0.11545509277926946,4
7,margin,29,0.5,0.1404824882646288,-0.005892289717644994,10
7,margin,29,1.0,0.13115772206459694,-0.012905502729279372,10
7,margin,29,2.0,0.12434880999265241,-0.019854942219702965,10
7,margin,29,3.0,0.12964593158246265,-0.013756962961884,9
7,margin,29,4.0,0.13470675075782326,-0.009312612162434952,9
7,margin,29,6.0,0.14299626888819023,-0.003955505275622606,9
7,margin,29,8.0,0.14948270202215924,-0.0010772044855787977,9
7,margin,29,12.0,0.15869960738698285,-0.0007372705591277562,6
7,real,47,0.5,0.1297514330247097,0.04926792968999871,10
7,real,47,1.0,0.11693007974353573,0.06588729363167789,10
7,real,47,2.0,0.10871185055813455,0.07386008285460866,9
7,real,47,3.0,0.11324363328358829,0.0835592159106523,9
7,real,47,4.0,0.11769991036608635,0.08867369742746256,9
7,real,47,6.0,0.12509346195876664,0.09349470663422177,9
7,real,47,8.0,0.1308765548127399,0.09531521759649852,9
7,real,47,12.0,0.1423776727708728,0.07193569476763484,4
7,r2,47,0.5,0.17059368791452786,0.022395832140340688,10
7,r2,47,1.0,0.15618001530668874,0.026436739171544765,10
7,r2,47,2.0,0.1454692373146863,0.025270756413959927,10
7,r2,47,3.0,0.1478853102022021,0.03262796630375109,9
7,r2,47,4.0,0.15358398179292646,0.0409526593918339,9
7,r2,47,6.0,0.1631525474794778,0.05069226369153279,9
7,r2,47,8.0,0.17072079439872367,0.05603156723665659,9
7,r2,47,12.0,0.18304130682836836,0.053658980358031405,5
7,r5,47,0.5,0.16772102599087393,0.05775662056236874,10
7,r5,47,1.0,0.1515571655195594,0.07951353374719672,10
7,r5,47,2.0,0.1399035620655337,0.09186442178380305,10
7,r5,47,3.0,0.14186281449866656,0.10303538956901437,9
7,r5,47,4.0,0.14733957285915728,0.11295515539500467,9
7,r5,47,6.0,0.15672781694058863,0.12358966488740142,9
7,r5,47,8.0,0.1642804558940576,0.1290486841864401,9
7,r5,47,12.0,0.1770636249122798,0.11571078571859506,5
7,margin,47,0.5,0.1384857384962804,-0.004385934705805616,10
7,margin,47,1.0,0.12901520578923786,-0.010764880075055383,10
7,margin,47,2.0,0.12213100798735237,-0.017220269520034526,10
7,margin,47,3.0,0.12636196441615327,-0.012502195916807124,9
7,margin,47,4.0,0.1318244620365546,-0.007860000385902732,9
