q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp
1,real,,,11,0.01937122604126207,,24.078861350315293,19.894635303869197
1,margin,,,11,-0.009981653041237992,0.0,,
1,plant,2.0,0.05,11,-0.010449056579296068,0.05917301964924151,,
1,plant,2.0,0.08,11,-0.008750049796609316,0.0946768314387864,,
1,plant,2.0,0.12,11,-0.0004508024980542924,0.1420152471581796,,
1,plant,2.0,0.2,11,0.036897636694291136,0.23669207859696603,,
1,plant,2.0,0.3,11,0.10636969331361823,0.35503811789544903,,
1,plant,5.0,0.05,11,-0.011208645114468396,0.1085843343171352,,
1,plant,5.0,0.08,11,-0.0006467863363267545,0.17373493490741632,,
1,plant,5.0,0.12,11,0.026254221760335206,0.2606024023611245,,
1,plant,5.0,0.2,11,0.09629029797062183,0.4343373372685408,,
1,plant,5.0,0.3,11,0.17219348932862666,0.6515060059028112,,
1,plant,10.0,0.05,11,-0.0066524748275333945,0.15907530093303957,,
1,plant,10.0,0.08,11,0.01137037404182073,0.25452048149286327,,
1,plant,10.0,0.12,11,0.04416286694428595,0.3817807222392949,,
1,plant,10.0,0.2,11,0.10366429944565803,0.6363012037321583,,
1,plant,10.0,0.3,11,0.14466047926276115,0.9544518055982373,,
1,real,,,29,0.018571130304663952,,24.078861350315293,19.894635303869197
1,margin,,,29,-0.007338000750115703,0.0,,
1,plant,2.0,0.05,29,-0.013775764189315809,0.05717588453089066,,
1,plant,2.0,0.08,29,-0.011240438287749455,0.09148141524942505,,
1,plant,2.0,0.12,29,-0.0031685505582695894,0.13722212287413757,,
1,plant,2.0,0.2,29,0.03145539365677763,0.22870353812356264,,
1,plant,2.0,0.3,29,0.08916166953888127,0.34305530718534394,,
1,plant,5.0,0.05,29,-0.007182924000246227,0.121913895171979,,
1,plant,5.0,0.08,29,0.0020218612994121754,0.19506223227516636,,
1,plant,5.0,0.12,29,0.02208701650627387,0.2925933484127495,,
1,plant,5.0,0.2,29,0.08205665787836325,0.487655580687916,,
1,plant,5.0,0.3,29,0.14114957173440967,0.7314833710318739,,
1,plant,10.0,0.05,29,-0.006701852712282297,0.16951398382447364,,
1,plant,10.0,0.08,29,0.011926844458388652,0.27122237411915784,,
1,plant,10.0,0.12,29,0.046958730016112504,0.4068335611787367,,
1,plant,10.0,0.2,29,0.1067426946119635,0.6780559352978945,,
1,plant,10.0,0.3,29,0.1482497120579349,1.0170839029468417,,
4,real,,,11,0.04709498287491831,,23.711076937630665,15.874767818677038
4,margin,,,11,-0.006369991217756943,0.0,,
4,plant,2.0,0.05,11,-0.008468404798505302,0.07865294974156944,,
4,plant,2.0,0.08,11,-0.006909677023105409,0.12584471958651108,,
4,plant,2.0,0.12,11,0.002418149753886545,0.18876707937976664,,
4,plant,2.0,0.2,11,0.03385409502557524,0.3146117989662778,,
4,plant,2.0,0.3,11,0.09263141070272041,0.4719176984494166,,
4,plant,5.0,0.05,11,-0.0067654228739231215,0.1137823230254699,,
4,plant,5.0,0.08,11,2.5509675525947628e-05,0.1820517168407518,,
4,plant,5.0,0.12,11,0.017647018359729927,0.2730775752611277,,
4,plant,5.0,0.2,11,0.08270355729128465,0.4551292921018796,,
4,plant,5.0,0.3,11,0.15760703088911365,0.6826939381528192,,
4,plant,10.0,0.05,11,-0.005572346466809042,0.14828480868901467,,
4,plant,10.0,0.08,11,-0.0013878614277949008,0.23725569390242346,,
4,plant,10.0,0.12,11,0.0204345950726581,0.35588354085363516,,
4,plant,10.0,0.2,11,0.06408307750459019,0.5931392347560587,,
4,plant,10.0,0.3,11,0.1002487112779018,0.8897088521340879,,
4,real,,,29,0.04293087227210901,,23.711076937630665,15.874767818677038
4,margin,,,29,-0.007161057389052927,0.0,,
4,plant,2.0,0.05,29,-0.008732312541951726,0.06721714284189358,,
4,plant,2.0,0.08,29,-0.0060082173642327374,0.10754742854702974,,
4,plant,2.0,0.12,29,0.002335634694162203,0.16132114282054458,,
4,plant,2.0,0.2,29,0.03375591946200773,0.2688685713675743,,
4,plant,2.0,0.3,29,0.08342299704422829,0.4033028570513615,,
4,plant,5.0,0.05,29,-0.003947257852851105,0.1272028060471351,,
