q,draw,world,v,v_ref,n,m,planted_pp
1,0,real,0.1865989575663862,0.1865989575663862,15250,16,
1,0,nullnull,0.1865989575663862,0.1865989575663862,15250,16,
1,1,real,0.1865989575663862,0.18659895756638617,15250,16,
1,1,nullnull,0.1865989575663862,0.18659895756638617,15250,16,
1,2,real,0.1865989575663862,0.1865989575663862,15250,16,
1,2,nullnull,0.1865989575663862,0.1865989575663862,15250,16,
1,0,plant0.05,1.3222182182230773,1.3222182182230773,15250,16,9.73228759708555
1,0,plant0.1,1.3392390970555839,1.3392390970555836,15250,16,17.894150789158967
1,0,plant0.2,1.368802975519935,1.3688029755199345,15250,16,29.25468430108193
4,0,real,0.15017878095655415,0.15017878095655415,2897,14,
4,0,nullnull,0.15017878095655413,0.15017878095655415,2897,14,
4,1,real,0.15017878095655415,0.15017878095655415,2897,14,
4,1,nullnull,0.15017878095655415,0.15017878095655415,2897,14,
4,2,real,0.15017878095655415,0.15017878095655413,2897,14,
4,2,nullnull,0.15017878095655415,0.15017878095655413,2897,14,
4,0,plant0.05,0.19749996003276465,0.19749996003276465,2897,14,11.050042949274848
4,0,plant0.1,0.21779092770121664,0.21779092770121664,2897,14,20.355897162505197
4,0,plant0.2,0.24498425165346094,0.24498425165346088,2897,14,32.296657359387304
7,0,real,0.21317579218683574,0.21317579218683572,1289,10,
7,0,nullnull,0.21317579218683577,0.21317579218683572,1289,10,
7,1,real,0.21317579218683574,0.21317579218683577,1289,10,
7,1,nullnull,0.21317579218683574,0.21317579218683577,1289,10,
7,2,real,0.21317579218683574,0.21317579218683574,1289,10,
7,2,nullnull,0.21317579218683574,0.21317579218683574,1289,10,
7,0,plant0.05,0.2598064782792469,0.2598064782792469,1289,10,10.870058013979127
7,0,plant0.1,0.26253295540523164,0.26253295540523164,1289,10,20.713775844609298
7,0,plant0.2,0.2731084317829243,0.2731084317829243,1289,10,32.74056447517735
8,0,real,0.21234663378487378,0.21234663378487376,1468,10,
8,0,nullnull,0.21234663378487378,0.21234663378487376,1468,10,
8,1,real,0.21234663378487378,0.21234663378487378,1468,10,
8,1,nullnull,0.21234663378487376,0.21234663378487378,1468,10,
8,2,real,0.21234663378487378,0.21234663378487378,1468,10,
8,2,nullnull,0.2123466337848738,0.21234663378487378,1468,10,
8,0,plant0.05,0.2520968412581631,0.2520968412581631,1468,10,10.999845799518305
8,0,plant0.1,0.25484962187318544,0.25484962187318544,1468,10,20.73068738300574
8,0,plant0.2,0.2601409533016675,0.2601409533016675,1468,10,31.659214738144787
13,0,real,0.1321308038467513,0.1321308038467513,8648,19,
13,0,nullnull,0.1321308038467513,0.1321308038467513,8648,19,
13,1,real,0.1321308038467513,0.1321308038467513,8648,19,
13,1,nullnull,0.1321308038467513,0.1321308038467513,8648,19,
13,2,real,0.1321308038467513,0.1321308038467513,8648,19,
13,2,nullnull,0.1321308038467513,0.1321308038467513,8648,19,
13,0,plant0.05,0.1964510162136915,0.1964510162136915,8648,19,10.617815677184083
13,0,plant0.1,0.21403017422118414,0.21403017422118414,8648,19,18.5782117387555
