v_entry,grid,retr
17,True,True
18,True,False
19,True,False
20,True,True
21,False,False
22,False,False
23,True,False
24,False,False
25,False,False
26,False,True
27,False,False
28,False,False
29,False,False
30,True,False
31,True,False
32,False,False
33,True,False
34,True,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,True,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,True,False
53,True,False
54,False,False
55,False,True
56,False,False
57,False,False
58,False,True
59,False,True
60,False,False
61,False,True
62,False,False
63,False,False
64,False,True
65,False,False
66,False,False
67,False,True
68,True,True
69,False,False
70,False,False
71,True,True
72,True,True
73,True,False
74,False,False
75,False,False
76,False,False
77,True,False
78,True,False
79,False,False
80,True,True
81,True,True
82,True,False
83,True,True
84,False,False
85,True,True
86,False,False
87,False,False
88,False,True
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,True,False
99,False,False
100,False,True
101,False,True
102,False,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,True
108,False,True
109,True,False
110,False,True
111,False,False
112,False,True
113,False,True
114,False,True
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,False,True
123,False,False
124,False,False
125,False,False
126,False,False
127,False,True
128,True,True
129,True,False
130,False,True
131,False,False
132,False,True
133,False,True
134,True,True
135,True,True
136,False,True
137,False,False
138,False,True
139,False,False
140,False,True
141,False,True
142,True,False
143,False,True
144,False,True
145,False,False
146,True,True
147,False,False
148,False,True
149,True,False
150,False,False
151,False,False
152,True,False
153,True,False
154,True,False
155,True,False
156,False,False
157,False,False
158,False,False
159,True,False
160,True,False
161,False,False
162,False,False
163,False,False
164,False,True
165,True,False
166,True,False
167,True,False
168,True,False
169,False,False
170,False,False
171,False,False
172,False,False
173,False,False
174,False,False
175,False,True
176,False,False
177,True,False
178,False,False
179,True,True
180,False,True
181,True,False
182,False,True
183,False,True
184,False,True
185,False,False
186,False,False
187,False,True
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,True,False
195,False,False
196,False,False
197,False,False
198,False,False
199,False,True
200,False,True
201,False,False
202,False,False
203,False,False
204,False,False
205,True,False
206,False,True
207,False,True
208,False,False
209,False,False
210,False,True
211,False,False
212,False,False
213,True,False
214,False,False
215,False,False
216,False,False
217,True,False
218,True,False
219,False,False
220,False,False
221,False,False
222,False,False
223,False,True
224,False,False
225,False,False
226,False,False
227,False,False
228,True,False
229,True,True
230,False,True
231,False,False
232,False,True
233,False,False
234,True,False
235,True,True
236,True,True
237,False,False
238,False,True
239,False,False
240,True,False
241,True,False
242,False,False
243,False,False
244,True,False
245,False,False
246,False,False
247,False,True
248,True,False
249,True,False
250,True,False
251,True,True
252,True,True
253,True,False
254,False,True
255,True,True
256,True,False
257,True,True
258,False,True
259,True,False
260,True,False
261,False,False
262,False,False
263,False,False
264,False,False
265,True,False
266,True,False
267,False,False
268,False,False
269,True,False
270,True,False
271,True,False
272,True,False
273,True,False
274,True,False
275,True,False
276,False,False
277,False,True
278,False,False
279,False,False
280,True,False
281,False,False
282,False,False
283,True,False
284,True,False
285,True,False
286,True,False
287,True,False
288,False,False
289,False,False
290,True,False
291,False,False
292,False,False
293,True,True
294,True,True
295,False,False
296,False,False
297,True,False
298,True,True
299,True,True
300,True,False
301,True,False
302,True,False
303,False,False
304,True,False
305,True,False
306,True,False
307,True,False
308,True,False
309,True,True
310,True,True
311,True,False
312,True,False
313,True,False
314,True,False
315,False,False
316,False,False
317,True,True
318,True,False
