seed,world,q,T
11,real,50,0.8289574980020342
11,real,75,1.0602908590736433
11,real,90,1.5846638203466192
11,real,95,2.106135251584858
11,real,99,3.324490466702234
11,real,-1,0.9890027153450027
11,real,-2,0.05976095617529881
11,null,50,0.9051616416321304
11,null,75,1.0827931992086626
11,null,90,1.521842224006412
11,null,95,1.8216549598918306
11,null,99,2.3060740008126195
11,null,-1,0.9932125292442754
11,null,-2,0.035856573705179286
11,sparse5,50,0.9216035259435096
11,sparse5,75,1.0846024395202518
11,sparse5,90,1.2917797750383209
11,sparse5,95,1.3658093598023617
11,sparse5,99,1.957305557297901
11,sparse5,-1,0.9798240733030109
11,sparse5,-2,0.00796812749003984
11,sparse5null,50,0.9530926184438917
11,sparse5null,75,1.1244782306236252
11,sparse5null,90,1.2737778085110294
11,sparse5null,95,1.4183990962622794
11,sparse5null,99,1.6763119040130874
11,sparse5null,-1,0.9942418376251774
11,sparse5null,-2,0.00398406374501992
29,real,50,0.8307728698068131
29,real,75,1.0240960835862105
29,real,90,1.7346364586444092
29,real,95,1.9614171057324612
29,real,99,2.774810429515419
29,real,-1,0.9611820958057751
29,real,-2,0.05019305019305019
29,null,50,0.862529704980689
29,null,75,1.0615587712923706
29,null,90,1.3248135987646161
29,null,95,1.789446280586144
29,null,99,2.184282316673171
29,null,-1,0.9630531080953566
29,null,-2,0.023166023166023165
29,sparse5,50,0.95989813635395
29,sparse5,75,1.1435688559202486
29,sparse5,90,1.370389137897399
29,sparse5,95,1.5645705948306885
29,sparse5,99,2.0212843765608492
29,sparse5,-1,1.0229643179126546
29,sparse5,-2,0.011583011583011582
29,sparse5null,50,0.9675399448837646
29,sparse5null,75,1.1381430473021177
29,sparse5null,90,1.3327443889802149
29,sparse5null,95,1.441945320093334
29,sparse5null,99,1.7485750524109618
29,sparse5null,-1,1.0041172262871516
29,sparse5null,-2,0.0
47,real,50,0.8462069135555816
47,real,75,1.1724497288567037
47,real,90,1.8394967258678905
47,real,95,2.071363863373268
47,real,99,2.3820386433997234
47,real,-1,1.0130133924237097
47,real,-2,0.06756756756756757
47,null,50,0.9070792456662868
47,null,75,1.0910947131518438
47,null,90,1.472803244927056
47,null,95,1.824948171142425
47,null,99,2.203584253996215
47,null,-1,0.9937897871608521
47,null,-2,0.02702702702702703
47,sparse5,50,0.9962655888496188
47,sparse5,75,1.1575847165277975
47,sparse5,90,1.4007196372871842
47,sparse5,95,1.4825747781521132
47,sparse5,99,1.8600914850877173
47,sparse5,-1,1.0371705631482675
47,sparse5,-2,0.0045045045045045045
47,sparse5null,50,0.9530736155468729
47,sparse5null,75,1.1604139022261066
47,sparse5null,90,1.3481926711872374
47,sparse5null,95,1.4951373840476374
47,sparse5null,99,1.7233928093135626
47,sparse5null,-1,1.0166237518959613
47,sparse5null,-2,0.0
