seed,world,qq,T
1,real,50,0.8470040421875753
1,real,75,1.1975587606212232
1,real,90,1.9388266781864796
1,real,95,2.148601276339591
1,real,99,2.6035965835238235
1,real,-2,0.07142857142857142
1,cb,50,0.8389247940440665
1,cb,75,1.0381447544001934
1,cb,90,1.7361148299037672
1,cb,95,1.924392104130221
1,cb,99,2.3895122927694534
1,cb,-2,0.029411764705882353
1,sp5,50,0.9765073246996927
1,sp5,75,1.165236713892271
1,sp5,90,1.3891780272041057
1,sp5,95,1.5425359378312518
1,sp5,99,1.804866539624228
1,sp5,-2,0.004201680672268907
1,sp5cb,50,0.9858673933419604
1,sp5cb,75,1.1823978188749247
1,sp5cb,90,1.4158668861669752
1,sp5cb,95,1.5346102832286996
1,sp5cb,99,2.0916612568573116
1,sp5cb,-2,0.012605042016806723
2,real,50,0.8742305989920246
2,real,75,1.2379948576522353
2,real,90,1.8533897627042812
2,real,95,2.0817357155265683
2,real,99,2.4731660807168536
2,real,-2,0.06882591093117409
2,cb,50,0.8376906435277839
2,cb,75,1.0773193931448168
2,cb,90,1.6245557329541147
2,cb,95,2.0446063591266603
2,cb,99,2.9048817031908407
2,cb,-2,0.05668016194331984
2,sp5,50,0.9542166248761763
2,sp5,75,1.0958054206092807
2,sp5,90,1.3388999060177167
2,sp5,95,1.472489418682979
2,sp5,99,1.9872528015737068
2,sp5,-2,0.012145748987854251
2,sp5cb,50,0.9756254330410491
2,sp5cb,75,1.155490297551037
2,sp5cb,90,1.3944717308916517
2,sp5cb,95,1.5792303011738378
2,sp5cb,99,2.194949966829846
2,sp5cb,-2,0.02834008097165992
3,real,50,0.8722208115119011
3,real,75,1.1397805710702753
3,real,90,1.7609970207104813
3,real,95,1.964731587322175
3,real,99,2.4246955495792752
3,real,-2,0.04435483870967742
3,cb,50,0.8526450878496372
3,cb,75,1.1014610282927018
3,cb,90,1.826875538598827
3,cb,95,1.9956489318594757
3,cb,99,2.256343680285321
3,cb,-2,0.04435483870967742
3,sp5,50,0.9723688810847861
3,sp5,75,1.1549427077155745
3,sp5,90,1.4105629998579448
3,sp5,95,1.6746644398834714
3,sp5,99,2.244096397458592
3,sp5,-2,0.020161290322580645
3,sp5cb,50,0.9770071525115409
3,sp5cb,75,1.1697421839423106
3,sp5cb,90,1.3421350032099524
3,sp5cb,95,1.5946277347702185
3,sp5cb,99,2.28760402592415
3,sp5cb,-2,0.024193548387096774
4,real,50,0.8298389101966924
4,real,75,1.1709987961275066
4,real,90,1.8128338586477115
4,real,95,2.2272563321524155
4,real,99,2.8336981472971137
4,real,-2,0.07142857142857142
4,cb,50,0.8560511960687736
4,cb,75,1.146144304418792
4,cb,90,1.8165179275022343
4,cb,95,2.206371482110873
4,cb,99,2.944065597282977
4,cb,-2,0.07518796992481203
4,sp5,50,0.9565292120835396
4,sp5,75,1.12828582627523
4,sp5,90,1.2709952061473782
4,sp5,95,1.5294881992140499
4,sp5,99,1.6467906885782648
4,sp5,-2,0.0037593984962406013
4,sp5cb,50,0.9831610180297455
4,sp5cb,75,1.1874268629144076
4,sp5cb,90,1.3869729332396599
4,sp5cb,95,1.6014222780613239
4,sp5cb,99,2.095102660043987
4,sp5cb,-2,0.015037593984962405
5,real,50,0.8303590540789558
5,real,75,1.0864389868844035
5,real,90,1.5654632965610769
5,real,95,1.8258083967743939
5,real,99,2.3986464269827383
5,real,-2,0.03879310344827586
5,cb,50,0.8499987804296767
5,cb,75,1.1295265743162914
5,cb,90,1.8088156882002973
5,cb,95,2.0499211572455165
5,cb,99,2.999369816611207
5,cb,-2,0.06465517241379311
6,real,50,0.840458237189271
6,real,75,1.0989057088771534
6,real,90,1.7257913563676275
6,real,95,2.0298845679935797
6,real,99,2.9129814955576863
6,real,-2,0.058823529411764705
6,cb,50,0.8399875748018097
6,cb,75,1.016580302052905
6,cb,90,1.587232636222223
6,cb,95,1.9196638716116994
6,cb,99,2.899636946006355
6,cb,-2,0.03361344537815126
7,real,50,0.8006077744438633
7,real,75,1.0500680693858293
7,real,90,1.7265013548722605
7,real,95,2.0369453674515268
7,real,99,2.3927400704546913
7,real,-2,0.05603448275862069
7,cb,50,0.8836318120573017
7,cb,75,1.071776580820974
7,cb,90,1.7371720999638638
7,cb,95,2.014513934967722
7,cb,99,2.43520926572359
7,cb,-2,0.05603448275862069
8,real,50,0.8034382063605514
8,real,75,1.088258304914907
8,real,90,1.8530762635221094
8,real,95,2.1312660464346975
8,real,99,3.103685384822219
8,real,-2,0.0625
8,cb,50,0.8182109668027954
8,cb,75,1.03943177177214
8,cb,90,1.767457106504642
8,cb,95,1.9485312215621264
8,cb,99,2.2509489817456365
8,cb,-2,0.036458333333333336
