seed,world,qq,S
1,real,50,0.6987687867624217
1,real,75,0.8076311106314379
1,real,90,0.9105482061667473
1,real,95,0.9791570038345906
1,real,99,1.1017792716634704
1,cb,50,0.704606609797755
1,cb,75,0.7944679762673441
1,cb,90,0.874559838894124
1,cb,95,0.9266054763236325
1,cb,99,1.0293753061849236
1,n0,50,0.6987687867624217
1,n0,75,0.8076311106314379
1,n0,90,0.9105482061667473
1,n0,95,0.9791570038345906
1,n0,99,1.1017792716634704
1,n1,50,0.7087120102793877
1,n1,75,0.827261218226832
1,n1,90,0.9490339624319752
1,n1,95,1.0236368169433523
1,n1,99,1.1588205861924206
1,n2,50,0.7088033861575574
1,n2,75,0.8298268122921484
1,n2,90,0.974900119654785
1,n2,95,1.1420171516177755
1,n2,99,1.396814019822339
1,n0cb,50,0.7041314047036611
1,n0cb,75,0.7936690728067011
1,n0cb,90,0.876248937453145
1,n0cb,95,0.93135565940183
1,n0cb,99,1.0324023814588987
1,n1cb,50,0.719423556989834
1,n1cb,75,0.8096571594862934
1,n1cb,90,0.8943335789020707
1,n1cb,95,0.9421606738129413
1,n1cb,99,1.0479842081340545
1,n2cb,50,0.7323242029277686
1,n2cb,75,0.8246529515464951
1,n2cb,90,0.9091074597398279
1,n2cb,95,0.9614215561138093
1,n2cb,99,1.0544909451253441
2,real,50,0.6987687867624217
2,real,75,0.8076311106314379
2,real,90,0.9105482061667473
2,real,95,0.9791570038345906
2,real,99,1.1017792716634704
2,cb,50,0.7048081379709153
2,cb,75,0.7932736532091326
2,cb,90,0.8761601901178919
2,cb,95,0.9290858199708765
2,cb,99,1.0320196806764035
2,n0,50,0.6987687867624217
2,n0,75,0.8076311106314379
2,n0,90,0.9105482061667473
2,n0,95,0.9791570038345906
2,n0,99,1.1017792716634704
2,n1,50,0.7082123080889777
2,n1,75,0.8268553293489427
2,n1,90,0.9506834493433333
2,n1,95,1.0271374542719443
2,n1,99,1.1589291418982102
2,n2,50,0.7084706743774222
2,n2,75,0.8285550407320568
2,n2,90,0.9749622150372507
2,n2,95,1.1453355094534416
2,n2,99,1.3959075994761134
2,n0cb,50,0.7047760470079233
2,n0cb,75,0.793033529489644
2,n0cb,90,0.8770151234009746
2,n0cb,95,0.9307393666010201
2,n0cb,99,1.0293734101931633
2,n1cb,50,0.7195264797771194
2,n1cb,75,0.8086046942487806
2,n1cb,90,0.893861180902625
2,n1cb,95,0.9464120972525835
2,n1cb,99,1.0449713640100777
2,n2cb,50,0.7314797118381534
2,n2cb,75,0.8251526142152893
2,n2cb,90,0.9093636750532867
2,n2cb,95,0.9600249025619902
2,n2cb,99,1.0554038294273387
3,real,50,0.6987687867624217
3,real,75,0.8076311106314379
3,real,90,0.9105482061667473
3,real,95,0.9791570038345906
3,real,99,1.1017792716634704
3,cb,50,0.7044195359052092
3,cb,75,0.7940614059644586
3,cb,90,0.8770062360917308
3,cb,95,0.9289188151240015
3,cb,99,1.0277654282891913
3,n0,50,0.6987687867624217
3,n0,75,0.8076311106314379
3,n0,90,0.9105482061667473
3,n0,95,0.9791570038345906
3,n0,99,1.1017792716634704
3,n1,50,0.7087120102793877
3,n1,75,0.8254907777791896
3,n1,90,0.9454164591822145
3,n1,95,1.0241578908150462
3,n1,99,1.1609204716341885
3,n2,50,0.7089922710625995
3,n2,75,0.8276214512296507
3,n2,90,0.9713309901883121
3,n2,95,1.1306450478891121
3,n2,99,1.4097715535352124
3,n0cb,50,0.7041697860296264
3,n0cb,75,0.7940867719933464
3,n0cb,90,0.8768157520530248
3,n0cb,95,0.9294405758960804
3,n0cb,99,1.0274912178419258
3,n1cb,50,0.7177041432163437
3,n1cb,75,0.8065767966389907
3,n1cb,90,0.893728823250848
3,n1cb,95,0.9442013724054281
3,n1cb,99,1.0460113145974592
3,n2cb,50,0.7310565847693761
3,n2cb,75,0.8239896688865573
3,n2cb,90,0.9068916423823205
3,n2cb,95,0.9618141184009307
3,n2cb,99,1.0552048148203992
4,real,50,0.6987687867624217
4,real,75,0.8076311106314379
4,real,90,0.9105482061667473
4,real,95,0.9791570038345906
4,real,99,1.1017792716634704
4,cb,50,0.7040776345586311
4,cb,75,0.7934851926105659
4,cb,90,0.8762533912694901
4,cb,95,0.9283483903027219
4,cb,99,1.0280718808903235
4,n0,50,0.6987687867624217
4,n0,75,0.8076311106314379
4,n0,90,0.9105482061667473
4,n0,95,0.9791570038345906
4,n0,99,1.1017792716634704
4,n1,50,0.7088943630244933
4,n1,75,0.8268100945807234
4,n1,90,0.9512602477146752
4,n1,95,1.0302324696690577
4,n1,99,1.169714097512221
4,n2,50,0.7089655152402118
4,n2,75,0.8283997307049149
4,n2,90,0.9759841403033556
4,n2,95,1.1460717579931659
4,n2,99,1.4304607306754806
4,n0cb,50,0.7056252620091619
4,n0cb,75,0.7943328819075584
4,n0cb,90,0.8776129168997003
4,n0cb,95,0.9292846151495008
4,n0cb,99,1.0295281156184473
4,n1cb,50,0.719875036248957
4,n1cb,75,0.8102014699331563
4,n1cb,90,0.895955297037166
4,n1cb,95,0.9438190918784651
4,n1cb,99,1.0405413319439993
4,n2cb,50,0.7326845623301825
4,n2cb,75,0.8248731923570487
4,n2cb,90,0.910489951103368
4,n2cb,95,0.9602617945199643
4,n2cb,99,1.0638160997005528
5,real,50,0.6987687867624217
5,real,75,0.8076311106314379
5,real,90,0.9105482061667473
5,real,95,0.9791570038345906
5,real,99,1.1017792716634704
5,cb,50,0.704313667013837
5,cb,75,0.7941549076073204
5,cb,90,0.8785094151023527
5,cb,95,0.9292945267418381
5,cb,99,1.0328032387720545
5,n0,50,0.6987687867624217
5,n0,75,0.8076311106314379
5,n0,90,0.9105482061667473
5,n0,95,0.9791570038345906
5,n0,99,1.1017792716634704
5,n1,50,0.7092537505343286
5,n1,75,0.8275105313272124
5,n1,90,0.9472031769404995
5,n1,95,1.0235516732706271
5,n1,99,1.1616530705008736
5,n2,50,0.7096221215645577
5,n2,75,0.8296782113816309
5,n2,90,0.9747829936811565
5,n2,95,1.1426197770442905
5,n2,99,1.4039142227677863
5,n0cb,50,0.7047642792072899
5,n0cb,75,0.7928519674549884
5,n0cb,90,0.8759954669193131
5,n0cb,95,0.9288241857266212
5,n0cb,99,1.034043766696741
5,n1cb,50,0.7200162115134829
5,n1cb,75,0.8114024773724544
5,n1cb,90,0.8944472021954036
5,n1cb,95,0.943992435945099
5,n1cb,99,1.0471635652360056
5,n2cb,50,0.7330078649714252
5,n2cb,75,0.8261961422064416
5,n2cb,90,0.9105968366866052
5,n2cb,95,0.9600832403864723
5,n2cb,99,1.0531603379307297
6,real,50,0.6987687867624217
6,real,75,0.8076311106314379
6,real,90,0.9105482061667473
6,real,95,0.9791570038345906
6,real,99,1.1017792716634704
6,cb,50,0.7043960565359141
6,cb,75,0.7926138197485473
6,cb,90,0.8782394333414746
6,cb,95,0.9307120771630079
6,cb,99,1.030533804352272
6,n0,50,0.6987687867624217
6,n0,75,0.8076311106314379
6,n0,90,0.9105482061667473
6,n0,95,0.9791570038345906
6,n0,99,1.1017792716634704
6,n1,50,0.7082314426224913
6,n1,75,0.8266995222745228
6,n1,90,0.948901910333359
6,n1,95,1.0277884536878648
6,n1,99,1.160310516463834
6,n2,50,0.7085943593465288
6,n2,75,0.8285364778307969
6,n2,90,0.9745415407317897
6,n2,95,1.1383713884502367
6,n2,99,1.3937942430595602
6,n0cb,50,0.7060238061986488
6,n0cb,75,0.7936621682823135
6,n0cb,90,0.8749636385141566
6,n0cb,95,0.9290366577278399
6,n0cb,99,1.031503351318569
6,n1cb,50,0.719339062525232
6,n1cb,75,0.8077811252617746
6,n1cb,90,0.8947268800486216
6,n1cb,95,0.9467852554168489
6,n1cb,99,1.0424218518281347
6,n2cb,50,0.7326948419927701
6,n2cb,75,0.8235867844189129
6,n2cb,90,0.9081289415266115
6,n2cb,95,0.956831559016657
6,n2cb,99,1.0619380767258733
