seed,world,qq,S
1,real,50,0.6987687867624217
1,real,75,0.8076311106314379
1,real,90,0.9105482061667473
1,real,95,0.9791570038345906
1,real,99,1.1017792716634704
1,cb,50,0.7032377227384622
1,cb,75,0.7936680622167424
1,cb,90,0.8778669539347195
1,cb,95,0.9296240531659461
1,cb,99,1.0317990117438447
1,s0,50,0.6987687867624217
1,s0,75,0.8076311106314379
1,s0,90,0.9105482061667473
1,s0,95,0.9791570038345906
1,s0,99,1.1017792716634704
1,s1,50,0.7096221215645577
1,s1,75,0.8186585632074943
1,s1,90,0.9202562735358765
1,s1,95,0.9848731919408109
1,s1,99,1.1067500838481727
1,s2,50,0.7163824774315426
1,s2,75,0.825323689798418
1,s2,90,0.9270683111854215
1,s2,95,0.9918456161392538
1,s2,99,1.108791486188495
1,s0cb,50,0.7050841407668593
1,s0cb,75,0.7917666803429884
1,s0cb,90,0.878879525090814
1,s0cb,95,0.9299110797236181
1,s0cb,99,1.0303763171036562
1,s1cb,50,0.7154250618503435
1,s1cb,75,0.802406549060243
1,s1cb,90,0.8862362723260394
1,s1cb,95,0.9410381545977956
1,s1cb,99,1.03698227950584
1,s2cb,50,0.7192659228576147
1,s2cb,75,0.8103040376272007
1,s2cb,90,0.8913220629286727
1,s2cb,95,0.9430320449418533
1,s2cb,99,1.0494729022839782
2,real,50,0.6987687867624217
2,real,75,0.8076311106314379
2,real,90,0.9105482061667473
2,real,95,0.9791570038345906
2,real,99,1.1017792716634704
2,cb,50,0.7049540636568061
2,cb,75,0.792818397971762
2,cb,90,0.8763023584190154
2,cb,95,0.9293524579949919
2,cb,99,1.0320488700451638
2,s0,50,0.6987687867624217
2,s0,75,0.8076311106314379
2,s0,90,0.9105482061667473
2,s0,95,0.9791570038345906
2,s0,99,1.1017792716634704
2,s1,50,0.7107287265350313
2,s1,75,0.8185446958738631
2,s1,90,0.9221311287206423
2,s1,95,0.9866035621096488
2,s1,99,1.1090895887353256
2,s2,50,0.7180353717656275
2,s2,75,0.8285364778307969
2,s2,90,0.9290126136589875
2,s2,95,0.9950771941372757
2,s2,99,1.1158044403025127
2,s0cb,50,0.7042825878518829
2,s0cb,75,0.7916874065780821
2,s0cb,90,0.8772965149361077
2,s0cb,95,0.9312906532737278
2,s0cb,99,1.032566764305356
2,s1cb,50,0.7170811281373118
2,s1cb,75,0.8047755700157854
2,s1cb,90,0.8888695211733018
2,s1cb,95,0.9373021064911311
2,s1cb,99,1.0360573556606125
2,s2cb,50,0.7224647499113356
2,s2cb,75,0.8116381445156129
2,s2cb,90,0.8951176886613366
2,s2cb,95,0.9490758319340549
2,s2cb,99,1.040748074362668
3,real,50,0.6987687867624217
3,real,75,0.8076311106314379
3,real,90,0.9105482061667473
3,real,95,0.9791570038345906
3,real,99,1.1017792716634704
3,cb,50,0.7033618982809049
3,cb,75,0.7918059005642187
3,cb,90,0.878326413031753
3,cb,95,0.9284240167223553
3,cb,99,1.0270478936314817
3,s0,50,0.6987687867624217
3,s0,75,0.8076311106314379
3,s0,90,0.9105482061667473
3,s0,95,0.9791570038345906
3,s0,99,1.1017792716634704
3,s1,50,0.7096038447438461
3,s1,75,0.8173012862802657
3,s1,90,0.9199833980737776
3,s1,95,0.9853812425165313
3,s1,99,1.1088743398790564
3,s2,50,0.7175259066616483
3,s2,75,0.8251474428190813
3,s2,90,0.9280474307587696
3,s2,95,0.9944454283273984
3,s2,99,1.1189595185825645
3,s0cb,50,0.7058292888068751
3,s0cb,75,0.7925418643207067
3,s0cb,90,0.8743931892771198
3,s0cb,95,0.9273897013492557
3,s0cb,99,1.0319061639718345
3,s1cb,50,0.7163901413319571
3,s1cb,75,0.8032516059245955
3,s1cb,90,0.8869375480040905
3,s1cb,95,0.9378804703108407
3,s1cb,99,1.0354259033245758
3,s2cb,50,0.7224793965774847
3,s2cb,75,0.8107832365972691
3,s2cb,90,0.8928797535160629
3,s2cb,95,0.9435429573648095
3,s2cb,99,1.0442751039117497
4,real,50,0.6987687867624217
4,real,75,0.8076311106314379
4,real,90,0.9105482061667473
4,real,95,0.9791570038345906
4,real,99,1.1017792716634704
4,cb,50,0.7036478887908361
4,cb,75,0.793014616195506
4,cb,90,0.8745695211540523
4,cb,95,0.927655268643994
4,cb,99,1.0326186482936595
4,s0,50,0.6987687867624217
4,s0,75,0.8076311106314379
4,s0,90,0.9105482061667473
4,s0,95,0.9791570038345906
4,s0,99,1.1017792716634704
4,s1,50,0.7106548502591483
4,s1,75,0.8176244351513512
4,s1,90,0.9224196592226047
4,s1,95,0.9857872192138586
4,s1,99,1.1081880082977267
4,s2,50,0.7167970152072306
4,s2,75,0.8253578436942364
4,s2,90,0.929569339553781
4,s2,95,0.9940986326538893
4,s2,99,1.1134408714655428
4,s0cb,50,0.7045534243181852
4,s0cb,75,0.7928893814110152
4,s0cb,90,0.8788500646951799
4,s0cb,95,0.9284181770754361
4,s0cb,99,1.0348378053388112
4,s1cb,50,0.715100736038617
4,s1cb,75,0.8024778129626633
4,s1cb,90,0.8881695281823452
4,s1cb,95,0.9396245860384113
4,s1cb,99,1.0369811559422577
4,s2cb,50,0.7210144311478663
4,s2cb,75,0.8105129285214077
4,s2cb,90,0.8937416526059149
4,s2cb,95,0.944615836696771
4,s2cb,99,1.045836212724171
5,real,50,0.6987687867624217
5,real,75,0.8076311106314379
5,real,90,0.9105482061667473
5,real,95,0.9791570038345906
5,real,99,1.1017792716634704
5,cb,50,0.7045166649085276
5,cb,75,0.79281480562722
5,cb,90,0.8789814145105197
5,cb,95,0.9284536327887728
5,cb,99,1.0302959879129998
5,s0,50,0.6987687867624217
5,s0,75,0.8076311106314379
5,s0,90,0.9105482061667473
5,s0,95,0.9791570038345906
5,s0,99,1.1017792716634704
5,s1,50,0.7100037114781492
5,s1,75,0.8180941273484458
5,s1,90,0.9222575268509687
5,s1,95,0.9858568052148741
5,s1,99,1.1083337610809048
5,s2,50,0.7180956504651633
5,s2,75,0.8292806832389101
5,s2,90,0.9295984061964065
5,s2,95,0.9924362199780384
5,s2,99,1.1149426630826738
5,s0cb,50,0.7046173430958762
5,s0cb,75,0.7920402362697987
5,s0cb,90,0.8750711845621161
5,s0cb,95,0.9289916288499112
5,s0cb,99,1.036916172168881
5,s1cb,50,0.7157934963085375
5,s1cb,75,0.8054221477232639
5,s1cb,90,0.88811173522463
5,s1cb,95,0.9403418723977633
5,s1cb,99,1.0432044791211588
5,s2cb,50,0.7240021025869262
5,s2cb,75,0.8120290156163303
5,s2cb,90,0.8972946215217776
5,s2cb,95,0.9468871808778482
5,s2cb,99,1.0425935630910046
6,real,50,0.6987687867624217
6,real,75,0.8076311106314379
6,real,90,0.9105482061667473
6,real,95,0.9791570038345906
6,real,99,1.1017792716634704
6,cb,50,0.7036180316465167
6,cb,75,0.794310171825413
6,cb,90,0.8757176551204553
6,cb,95,0.9298034806644445
6,cb,99,1.0342086052152863
6,s0,50,0.6987687867624217
6,s0,75,0.8076311106314379
6,s0,90,0.9105482061667473
6,s0,95,0.9791570038345906
6,s0,99,1.1017792716634704
6,s1,50,0.7108863856455875
6,s1,75,0.8177085623239755
6,s1,90,0.9202624113009047
6,s1,95,0.9873867571629298
6,s1,99,1.1100501914828804
6,s2,50,0.7178918280584093
6,s2,75,0.8256832379383213
6,s2,90,0.9297406265731785
6,s2,95,0.9952040663408022
6,s2,99,1.1174000231851131
6,s0cb,50,0.7044870808401469
6,s0cb,75,0.7941723710658621
6,s0cb,90,0.8781730816374842
6,s0cb,95,0.9295835997222388
6,s0cb,99,1.0270997891463858
6,s1cb,50,0.7151379615092937
6,s1cb,75,0.8026861577818964
6,s1cb,90,0.8878243683600258
6,s1cb,95,0.942026759061775
6,s1cb,99,1.0408537662424164
6,s2cb,50,0.72072009658149
6,s2cb,75,0.8121775600398101
6,s2cb,90,0.8937609652534745
6,s2cb,95,0.9454507608299948
6,s2cb,99,1.0445688639318444
