var,measure,n,r,sd,z
biomale,affinity,7316,0.09302163829867276,0.011120720584110379,8.364713203170025
biomale,null_minus_null,7316,-0.008434342962462043,0.012658056972061465,0.6663220888544037
biomale,breadth,7316,0.11412924404869342,0.011128333538726626,10.255735384954395
age,affinity,7316,-0.01568169022693695,0.011399806679146276,1.3756101895678237
age,null_minus_null,7316,0.007989183747600784,0.011697490400344632,0.6829827145970905
age,breadth,7316,0.04159781214677235,0.01190738493513871,3.4934464933620437
openness,affinity,7316,0.02342469090009024,0.011787133411758577,1.9873102375105298
openness,null_minus_null,7316,-0.01418974276357125,0.011059268245245219,1.28306344044706
openness,breadth,7316,0.07116121496070651,0.01198635830073165,5.936850307266622
neuroticism,affinity,7316,-0.03177130125580902,0.011936254923168212,2.6617478815856286
neuroticism,null_minus_null,7316,0.018672119641488422,0.010945405964991979,1.7059321235968525
neuroticism,breadth,7316,-0.005454550940254667,0.011951872188867157,0.45637627762915944
extroversion,affinity,7316,-0.035706579040133475,0.012136506911493069,2.9420803943447633
extroversion,null_minus_null,7316,0.011324197548579062,0.0122224983552751,0.9265043217364525
extroversion,breadth,7316,0.017587394196397408,0.012310646884751053,1.4286328217392503
conscientious,affinity,7316,-0.047047940128257706,0.011252881156162207,4.1809683649323635
conscientious,null_minus_null,7316,-0.00693657243759692,0.01130102700217683,0.6138001826082515
conscientious,breadth,7316,-0.012441815305978687,0.011454772535133353,1.086168692378477
agreeable,affinity,7316,-0.05548006433092509,0.011299851598990884,4.909804685919915
agreeable,null_minus_null,7316,-0.013010963669609863,0.012397897892334838,1.0494491713513838
agreeable,breadth,7316,9.811024599943603e-05,0.012680067311319978,0.007737360030561453
powerlessness,affinity,7316,-0.005803356331960004,0.01192397458224706,0.48669646953124984
powerlessness,null_minus_null,7316,-0.0005628150635039164,0.01143167472580469,0.049232949414968516
powerlessness,breadth,7316,0.020516883603166006,0.012307528681221452,1.6670189551920527
mean_onset_age,affinity,7316,-0.08382753669961654,0.01181239677998046,7.096573054647696
mean_onset_age,null_minus_null,7316,0.0006841992180747505,0.012431056187755673,0.055039508127126976
mean_onset_age,breadth,7316,-0.1596361801534604,0.010834960510031895,14.733434423287113
