var,measure,n,r,sd,r_true
biomale,affinity,7316,0.05581503345722348,0.011127194095699807,0.08491986909007461
biomale,null_affinity,7316,-0.031611119610322744,0.011957850768757786,-0.031611119610322744
biomale,breadth,7316,0.11412924404869342,0.011859720233309655,0.11412924404869342
age,affinity,7316,-0.004333779102934958,0.012134207743120042,-0.006593634927561054
age,null_affinity,7316,0.0010413222524870741,0.010420946875719072,0.0010413222524870741
age,breadth,7316,0.04159781214677235,0.010689182188900713,0.04159781214677235
openness,affinity,7316,0.010943059870753363,0.011527159045546631,0.016649335387058845
openness,null_affinity,7316,-0.00502210921709889,0.01202652914126692,-0.00502210921709889
openness,breadth,7316,0.07116121496070651,0.012743760060427144,0.07116121496070651
neuroticism,affinity,7316,-0.023323804954599344,0.01199651468950677,-0.03548603916801338
neuroticism,null_affinity,7316,-0.0028274627069430703,0.011659637545361414,-0.0028274627069430703
neuroticism,breadth,7316,-0.005454550940254667,0.011249209415836197,-0.005454550940254667
extroversion,affinity,7316,-0.03447132539312836,0.011662167764547225,-0.052446451402547334
extroversion,null_affinity,7316,-0.001954356758161666,0.012503679457692936,-0.001954356758161666
extroversion,breadth,7316,0.017587394196397408,0.012840401289754586,0.017587394196397408
conscientious,affinity,7316,-0.04537952515848947,0.01180302607584626,-0.06904274882827188
conscientious,null_affinity,7316,-0.013497491688772671,0.012632460426641559,-0.013497491688772671
conscientious,breadth,7316,-0.012441815305978687,0.011997865525321928,-0.012441815305978687
agreeable,affinity,7316,-0.07407630727728087,0.012951149835860919,-0.11270351242347453
agreeable,null_affinity,7316,-0.051656825770191754,0.012364166490237031,-0.051656825770191754
agreeable,breadth,7316,9.811024599943603e-05,0.011491956457386458,9.811024599943603e-05
powerlessness,affinity,7316,0.007635790820665923,0.012381564713230774,0.011617485769082251
powerlessness,null_affinity,7316,0.02222238907470044,0.011671318459102012,0.02222238907470044
powerlessness,breadth,7316,0.020516883603166006,0.012301688338540428,0.020516883603166006
mean_onset_age,affinity,7316,-0.09316234377893685,0.011616445581727395,-0.14174199221604109
mean_onset_age,null_affinity,7316,-0.048331189276008046,0.011935846824564814,-0.048331189276008046
mean_onset_age,breadth,7316,-0.1596361801534604,0.01054919218427006,-0.1596361801534604
