v_col,n,k,r_breadth,r_S,n_breadth,n_S,p0,p05,p15
youfeelmost,12386,21,-0.015755041949356546,0.13612268601136876,-0.005376393493147538,0.0005922168441587309,0.13612268601136876,0.4034575569537237,0.5772986076102609
otherfeel1most,12181,22,0.019901048397505665,0.12315698651727446,-0.007828325746881028,0.00027217438346068695,0.12315698651727446,0.4156354230613398,0.5870129340513781
bondagemost,8045,19,-0.016632318699432803,0.3167658711603615,-0.004837741965774493,0.015923938268940587,0.3167658711603615,0.4672704594686848,0.6024995015713047
gentleness2most,7426,9,-0.0010311450346638775,0.14373718163064989,-0.0024945516180029676,-0.007606665353148598,0.14373718163064989,0.3769948679233479,0.5419315548054293
nonconsent1most,5017,16,-0.019382330217485932,0.0953056184368284,-0.0012008625187290062,0.007026037906188469,0.0953056184368284,0.36031353853194914,0.553284707508264
powerdynamic2most,8011,18,-0.02305823066364307,0.21281411235097908,0.006881796125807288,0.010228279530772023,0.21281411235097908,0.42888816577196204,0.5854088158628702
pregnancy2most,1913,7,-0.039595907921225346,0.2047110162986414,-0.011534048660480268,0.03236091836371916,0.2047110162986414,0.3966841475850468,0.5387252661905872
toys2most,7757,21,-0.021217873042983972,0.25889735454610474,-0.00042082490161355056,0.009619952629411108,0.25889735454610474,0.4729891685982965,0.6122269133655686
humiliation2most,3228,21,-0.05508558532313781,0.24272503904279227,-0.002514988356354477,0.01947746500197758,0.24272503904279227,0.4310978573437772,0.5817640698846116
mentalalteration2most,2742,10,-0.027678569670236196,0.08729515478683299,-0.00730504770959487,-0.008441349377117305,0.08729515478683299,0.3535046463494542,0.5477810870555286
