a,b,e_with,e_without,n
17,18,0.05177723516208258,0.05293084138912881,735
9,12,0.043893228609573974,0.04391094653861142,702
4,17,0.014976387443937625,0.015856611396288835,4035
1,13,0.006780907809537513,0.00785469908357735,1104
4,18,0.006840899462768668,0.005757409322891888,896
17,29,0.028657192923692842,0.02836049501893793,4415
14,20,-0.004800774697096315,-0.005125862186639352,1626
16,20,0.013793053490876412,0.014153244546562638,714
13,26,-0.010691212497456675,-0.010665757358051864,949
9,15,0.001071305550760071,0.001071305550760071,674
8,22,-0.0039846003875944405,-0.0039846003875944405,1122
1,14,0.011821801099044366,0.011697088193061627,2092
9,10,0.03154515076706118,0.03154515076706118,976
13,20,0.04866494813889762,0.048665896422107724,849
1,4,0.023135233670820342,0.023771676755213265,3482
20,26,0.011453723511870129,0.011649414766583654,1213
6,8,0.02053294486552411,0.02015604044499897,1001
6,9,-0.015435083604168082,-0.015273691065993782,637
13,14,-0.01989963303128406,-0.019969028103823876,936
8,10,0.02659291335786392,0.02660586502233886,1914
3,9,0.010833527363133293,0.010839713858568672,1052
9,22,0.04671519401137766,0.04671519401137766,587
1,17,0.016467680680533097,0.018255636576015328,2774
16,17,0.01497622694414084,0.0125085837136872,1294
1,16,0.004849163970517635,0.004974573945098405,1152
4,20,0.006775376915568471,0.004453417951195877,2201
18,26,0.03978950959759549,0.03744084878534919,448
6,15,0.004230684888152442,0.004213980738476897,621
3,8,0.0027543131989618726,0.0027567221484269995,2822
26,29,0.015068096230793564,0.015068096230793564,2798
13,29,0.009720625124672571,0.009558871436070444,1655
15,22,0.003391789949588331,0.003391789949588331,653
8,12,-0.003198903903364303,-0.0031834735817555613,1551
13,17,0.003795296063223411,0.0026301982740372463,1354
3,10,0.02442346968162427,0.024418005069852144,2127
4,26,0.02185340766019417,0.02185340766019417,2435
6,12,0.00633612734763922,0.006302673148789885,831
18,20,0.041074266061253605,0.04011575238806053,484
13,16,0.021432881170739014,0.021432881170739014,590
14,16,0.053617569204334546,0.053617569204334546,914
1,20,0.014832924836975958,0.014975124718461113,1391
10,15,0.023725831131352737,0.02372259428376111,1006
10,12,0.029239890478148012,0.029239890478148012,1240
8,15,0.03902891742773684,0.03902891742773684,1275
17,20,0.031147625356696573,0.03103046841397561,1818
