a,b,kind,n,bal,gap,eff_base,eff_type
3,22,same,1427,0.21583742116327964,4.802382620882971,0.04225704728803442,0.0377934109096244
8,26,cross,1833,0.36224768139661756,4.522640480087289,0.017506836437824747,0.0024466583082807802
6,26,cross,666,0.3858858858858859,4.66966966966967,0.03876563157525806,-0.007121877779118657
14,26,same,1441,0.3303261623872311,4.193615544760583,0.0186349284131182,0.016334266050932023
26,29,same,2798,0.16869192280200143,5.403502501786991,0.01517123203879267,0.01479769825602667
6,17,cross,1248,0.36378205128205127,4.7391826923076925,0.04307897242614872,-0.00578021011753771
5,6,same,900,0.37555555555555553,4.799444444444444,0.05549599922163187,0.052559951708574054
8,29,cross,4132,0.24854791868344628,4.834341723136496,0.03448872750047377,0.014082641351889247
5,20,cross,1660,0.3578313253012048,5.067469879518073,-0.001388173342259963,-0.013619609874436611
4,5,cross,3228,0.41728624535315983,4.408302354399009,0.02748035063466653,0.015518810879392275
4,21,cross,400,0.3175,4.33625,0.013721464008628226,-0.0069341188942870224
3,14,cross,2755,0.35716878402903807,3.9303085299455534,-0.0002399180898517428,-0.01525245004835929
8,20,cross,1641,0.42413162705667273,5.135588056063376,0.011239892670930868,-0.01616450321985613
15,16,cross,525,0.4780952380952381,5.17047619047619,0.01114116657362868,-0.0328933008538278
10,22,same,1142,0.4597197898423818,4.204903677758319,0.02794326465643443,0.025594619403482788
6,10,same,832,0.44591346153846156,4.718149038461538,0.08799572451555165,0.0796133863155365
13,17,same,1354,0.4689807976366322,4.10930576070901,0.016375323301224848,0.008825733712654188
9,23,same,625,0.23519999999999996,5.3064,0.07557590171486106,0.06783872417554063
11,13,cross,1209,0.45905707196029777,3.899503722084367,0.0629561104721183,0.013921682536518598
15,30,cross,2307,0.1378413524057217,6.103381014304292,-0.010908954407264748,-0.010267221327753151
5,9,same,1075,0.39627906976744187,4.4730232558139535,0.010170076979569287,0.007568033994324236
4,14,same,3107,0.4499517219182491,3.9615384615384617,0.011556618846020217,0.010489733375369348
2,18,same,760,0.49473684210526314,4.582894736842105,0.03187510894554757,0.03825826844593694
16,17,same,1294,0.31993817619783615,4.664219474497681,0.029552781384213467,0.023032672554535727
1,15,cross,1113,0.1922731356693621,5.860287511230908,0.020714406249174144,-0.006165738196818316
20,30,same,2924,0.3115595075239398,5.120554035567715,0.019344599173769073,0.019727006125258406
8,30,cross,5740,0.24581881533101047,5.12116724738676,0.012206607307046147,0.015465415088803003
2,22,cross,1420,0.38802816901408455,4.13556338028169,0.0018450730613430166,0.0025657275742478336
4,17,same,4035,0.483271375464684,4.414622057001239,0.035580329718275405,0.028288138274766395
1,14,same,2092,0.29110898661567874,4.5896271510516256,0.026978324000869414,0.009772157780048918
2,13,same,1405,0.4277580071174377,4.15693950177936,0.09504396700507867,0.09655193623611297
11,12,same,1591,0.30421118793211815,4.340037712130735,0.0796356449115756,0.07004975500762528
10,29,cross,2841,0.19711369236184442,5.415522703273496,0.030663609146541926,0.009760944053782306
8,16,cross,1231,0.2818846466287571,4.789601949634443,-0.03472797005660844,-0.019974327170574402
5,18,cross,615,0.4666666666666667,4.928455284552846,-0.050505308202314,-0.07177367181350411
5,15,same,1159,0.35634167385677307,5.135461604831751,-0.0053300121824441105,-0.017689130761178368
2,11,cross,3253,0.4792499231478635,4.075929910851522,0.03151120145334935,0.02808488735016601
8,15,same,1275,0.2901960784313725,5.29843137254902,0.042738551515806744,0.04069743931523295
4,22,cross,1652,0.3299031476997578,4.22639225181598,0.030255819294845,0.010482023457679679
3,4,cross,3782,0.3043363299841354,4.104574299312533,0.014923142628317065,0.014500164905362656
1,26,same,1814,0.2342888643880926,5.109426681367144,0.0515967801636768,0.049086196938083915
10,30,cross,4006,0.17598602096854718,5.503494757863205,0.022124081910728177,0.016903706626157533
16,26,same,808,0.3316831683168317,4.29269801980198,0.049491129570128356,0.04623684714945886
1,29,same,3151,0.390352269120914,4.147730879086004,0.002187685299106068,0.0035305405128656653
10,15,same,1006,0.411530815109344,4.915009940357853,0.04576951400561974,0.04425573493088508
3,20,cross,1627,0.4917025199754149,4.7317148125384145,-0.021535816283957954,-0.00041325039450446077
12,18,cross,661,0.31013615733736766,4.530257186081695,-0.047803119442278996,-0.04934266818414379
12,26,cross,1052,0.3032319391634981,4.640209125475285,0.05109484659267555,0.013494868502948343
9,12,same,702,0.4586894586894587,4.435185185185185,0.06560094906727748,0.06378509863203102
12,29,cross,1947,0.3266563944530046,4.678736517719568,0.04183433441037199,0.005124083700023763
9,11,same,1022,0.37279843444227,4.6007827788649704,0.06532233603651305,0.05541893268157122
2,5,cross,2554,0.47846515270164447,4.5863351605324985,0.0249552454322996,0.0191186411539368
13,29,same,1655,0.22416918429003022,4.669486404833837,0.012820337621358313,0.0029086546368817523
1,3,cross,2325,0.381505376344086,4.026451612903226,0.01593850705682187,0.004815493503328938
10,12,same,1240,0.29435483870967744,4.538306451612903,0.06531695103324264,0.05730327974705085
13,22,cross,632,0.3623417721518988,4.3164556962025316,0.0714455984251065,0.012869841557040879
16,23,cross,602,0.4651162790697675,4.571428571428571,0.021962519217821275,0.0003917355805597156
13,20,same,849,0.3957597173144876,4.773262661955242,0.01628834410036331,-0.005025282434634931
14,18,same,677,0.3412112259970458,4.18685376661743,0.03335252095100005,0.04160388432890033
1,16,same,1152,0.17795138888888884,5.60546875,-0.025381219076205774,-0.025537865741785848
10,16,cross,819,0.4444444444444444,4.760683760683761,-0.0031990789786761897,-0.04158509158398113
6,20,cross,723,0.2959889349930844,5.433609958506224,0.05666212116550537,-0.020339824003632795
17,20,same,1818,0.3833883388338834,5.005225522552255,0.02219366545484136,0.015174289558223752
6,30,cross,2129,0.15406294034758103,5.512447158290277,0.03567956361779612,0.007678749695080811
9,29,cross,1163,0.3353396388650043,4.773430782459157,0.043684378560670256,0.014858200385403808
5,26,cross,1703,0.4950088079859072,4.611274221961245,0.012920324341973377,0.004501448055695412
