a,b,arm,e,n
17,18,real,0.05177723516208258,735
17,18,null_synth,-0.021000857505761528,735
17,18,null_perm,0.005776210039849221,735
9,12,real,0.043893228609573974,702
9,12,null_synth,0.023098077743585705,702
9,12,null_perm,0.018834091633258703,702
4,17,real,0.014976387443937625,4035
4,17,null_synth,-0.008095436948784304,4035
4,17,null_perm,0.011711089015154164,4035
1,13,real,0.006780907809537513,1104
1,13,null_synth,-0.015162401217338212,1104
1,13,null_perm,-0.026246607304549013,1104
4,18,real,0.006840899462768668,896
4,18,null_synth,-0.0003480994067161687,896
4,18,null_perm,0.02074732297134337,896
17,29,real,0.028657192923692842,4415
17,29,null_synth,0.01015735756786244,4415
17,29,null_perm,-0.005175023526680238,4415
14,20,real,-0.004800774697096315,1626
14,20,null_synth,0.0029066523289000105,1626
14,20,null_perm,0.01908766711021263,1626
16,20,real,0.013793053490876412,714
16,20,null_synth,0.021290484022106832,714
16,20,null_perm,0.03718157758077138,714
13,26,real,-0.010691212497456675,949
13,26,null_synth,-0.009116282280060634,949
13,26,null_perm,0.013502570843767473,949
9,15,real,0.001071305550760071,674
9,15,null_synth,0.06314877316715706,674
9,15,null_perm,0.004673078516047403,674
8,22,real,-0.0039846003875944405,1122
8,22,null_synth,0.017827660058313856,1122
8,22,null_perm,0.007208102864353954,1122
1,14,real,0.011821801099044366,2092
1,14,null_synth,-0.005283816981154432,2092
1,14,null_perm,-0.007119631478129126,2092
9,10,real,0.03154515076706118,976
9,10,null_synth,0.010395673575353242,976
9,10,null_perm,0.03684917232455768,976
13,20,real,0.04866494813889762,849
13,20,null_synth,0.02233541995908398,849
13,20,null_perm,-0.017819086599262308,849
1,4,real,0.023135233670820342,3482
1,4,null_synth,0.01336962968151308,3482
1,4,null_perm,0.028029493873840072,3482
20,26,real,0.011453723511870129,1213
20,26,null_synth,0.026398270330346807,1213
20,26,null_perm,-0.004758236901047412,1213
6,8,real,0.02053294486552411,1001
6,8,null_synth,0.009167043087646414,1001
6,8,null_perm,0.026756125413101794,1001
6,9,real,-0.015435083604168082,637
6,9,null_synth,0.001913261309372822,637
6,9,null_perm,0.020864132285236186,637
13,14,real,-0.01989963303128406,936
13,14,null_synth,-0.0223879909495653,936
13,14,null_perm,0.007083723111666607,936
8,10,real,0.02659291335786392,1914
8,10,null_synth,-0.003172325351275835,1914
8,10,null_perm,-0.00021396144790503113,1914
3,9,real,0.010833527363133293,1052
3,9,null_synth,-0.0005033083667031306,1052
3,9,null_perm,0.03238845478235597,1052
9,22,real,0.04671519401137766,587
9,22,null_synth,-0.0008274960574992836,587
9,22,null_perm,-0.01154359796341059,587
1,17,real,0.016467680680533097,2774
1,17,null_synth,-0.002025802766595735,2774
1,17,null_perm,3.0307289204611898e-05,2774
16,17,real,0.01497622694414084,1294
16,17,null_synth,-0.007778623106253213,1294
16,17,null_perm,0.008950091993774853,1294
1,16,real,0.004849163970517635,1152
1,16,null_synth,0.022755985205391495,1152
1,16,null_perm,-0.01878055818750522,1152
4,20,real,0.006775376915568471,2201
4,20,null_synth,0.004275884675711012,2201
4,20,null_perm,0.003442645965385349,2201
18,26,real,0.03978950959759549,448
18,26,null_synth,0.006173819387111628,448
18,26,null_perm,0.03930298165357238,448
6,15,real,0.004230684888152442,621
6,15,null_synth,-0.025846369331907166,621
6,15,null_perm,0.03576653839531402,621
3,8,real,0.0027543131989618726,2822
3,8,null_synth,-0.006109976444715929,2822
3,8,null_perm,0.011183831772655509,2822
26,29,real,0.015068096230793564,2798
26,29,null_synth,0.014351769275398201,2798
26,29,null_perm,0.006838867779479989,2798
13,29,real,0.009720625124672571,1655
13,29,null_synth,-0.025493425581537,1655
13,29,null_perm,0.02967193856622204,1655
15,22,real,0.003391789949588331,653
15,22,null_synth,0.015654123155429283,653
15,22,null_perm,-0.015148866159930607,653
8,12,real,-0.003198903903364303,1551
8,12,null_synth,0.009723286528766787,1551
8,12,null_perm,-0.011960684636809975,1551
13,17,real,0.003795296063223411,1354
13,17,null_synth,-0.009479807933721902,1354
13,17,null_perm,-0.033051196741581745,1354
3,10,real,0.02442346968162427,2127
3,10,null_synth,0.0036387098522347623,2127
3,10,null_perm,0.03430156375153139,2127
4,26,real,0.02185340766019417,2435
4,26,null_synth,-0.003744261174138435,2435
4,26,null_perm,-0.008058398120016833,2435
6,12,real,0.00633612734763922,831
6,12,null_synth,-0.0008669192143985587,831
6,12,null_perm,0.005958544117315778,831
18,20,real,0.041074266061253605,484
18,20,null_synth,0.03183408045229781,484
18,20,null_perm,-0.011641597274361908,484
13,16,real,0.021432881170739014,590
13,16,null_synth,-0.0071331417954448115,590
13,16,null_perm,-0.011916592338656754,590
14,16,real,0.053617569204334546,914
14,16,null_synth,0.023606248294457156,914
14,16,null_perm,0.028336035517870322,914
1,20,real,0.014832924836975958,1391
1,20,null_synth,-0.0030836441740830604,1391
1,20,null_perm,0.01036959320125419,1391
10,15,real,0.023725831131352737,1006
10,15,null_synth,-0.007647791567485407,1006
10,15,null_perm,0.03022534337116687,1006
10,12,real,0.029239890478148012,1240
10,12,null_synth,-0.012417115390124467,1240
10,12,null_perm,0.01794600807541828,1240
8,15,real,0.03902891742773684,1275
8,15,null_synth,-0.02287273452465562,1275
8,15,null_perm,0.009785994351469873,1275
17,20,real,0.031147625356696573,1818
17,20,null_synth,-0.004783103849115584,1818
17,20,null_perm,-0.00619263543292083,1818
16,29,real,0.0038165566430804487,1611
16,29,null_synth,0.009400214659595542,1611
16,29,null_perm,0.05879708109401727,1611
17,26,real,0.007989990936319136,2032
17,26,null_synth,-0.004441767818333386,2032
17,26,null_perm,0.008195190956003332,2032
18,29,real,-0.017029390686948014,856
18,29,null_synth,-0.0241170169870704,856
18,29,null_perm,0.021820510861049563,856
