a,b,n,base,full,inc,perm
4,21,400,0.5135391802460146,0.5153833137126096,0.001844133466594955,-0.021020116614980138
10,23,1099,0.5694571755921614,0.5572879367187197,-0.012169238873441679,-0.020436617507746762
5,18,615,0.5173330537807881,0.49773000120349725,-0.019603052577290836,0.00883481021889985
1,2,2820,0.6101287770834878,0.6365903722508515,0.026461595167363683,-0.02994677555653243
3,19,735,0.5992092462415306,0.6177171516655677,0.01850790542403713,-0.049772788248094536
11,18,730,0.6096787929379892,0.5873909801949684,-0.02228781274302083,-0.021967814608454612
20,30,2924,0.6261590664983893,0.613937374942214,-0.012221691556175251,-0.027986244330073795
0,10,950,0.5814148679971716,0.5757821397409806,-0.005632728256190989,-0.027816762007551638
1,19,654,0.6092306141194757,0.5634434809250918,-0.04578713319438388,-0.04065473655642541
0,4,1521,0.5318774187372693,0.5325921439731006,0.0007147252358312706,-0.006260496489493598
5,15,1159,0.5009497382655492,0.5133699684181203,0.012420230152571099,-0.0017075871002977065
1,29,3151,0.5810342440690723,0.5612260168848042,-0.019808227184268112,-0.031178067580970675
15,22,653,0.5307995673334489,0.5360555807198569,0.0052560133864080205,-0.03326144885716983
2,5,2554,0.6151818834801936,0.6186208229823889,0.003438939502195204,-0.031536874675282246
6,23,645,0.5071462395828146,0.5548625885472959,0.04771634896448129,0.0011323064288551084
7,9,1018,0.522944550708852,0.5395918759509819,0.016647325242129862,-0.027764737179103754
15,23,677,0.5375756624541725,0.5521977368143094,0.01462207436013685,-0.011601921094625081
17,29,4415,0.5951045076877107,0.6030174206767932,0.007912912989082477,-0.03559838534873575
12,16,729,0.4959673089524864,0.5116560215856415,0.015688712633155077,-0.021251986544947532
20,29,1911,0.5478556938911813,0.5340190425441522,-0.01383665134702905,-0.018889475080712852
7,12,1308,0.5852359061777319,0.584985394549441,-0.0002505116282909281,-0.01803287464737857
8,25,512,0.5999388789345821,0.6160509881134005,0.016112109178818446,-0.03886387747119661
9,10,976,0.6089047773580306,0.6378288361561026,0.028924058798072028,-0.016989791731166475
12,22,708,0.501048907986563,0.48733371600536624,-0.01371519198119675,-0.04051371759469028
21,29,418,0.550871776319476,0.4664346555385512,-0.08443712078092486,0.0009015263654625905
4,26,2435,0.5582720882213467,0.568345929201285,0.010073840979938353,-0.028347078757620325
4,8,3683,0.5364708929947558,0.5414642617482718,0.00499336875351597,-0.013452958994637573
9,16,404,0.5767357986027192,0.5567865928566073,-0.01994920574611192,-0.009310796288997855
8,15,1275,0.5698866479869944,0.5834474512838094,0.013560803296814972,-0.045025973881343696
5,25,587,0.5646459731827635,0.5468028324727126,-0.017843140710050998,-0.03831621668906423
17,23,1303,0.5586713761058184,0.5585894406861307,-8.193541968770646e-05,-0.015757827758610416
10,15,1006,0.6124522224409668,0.6350639229618311,0.022611700520864364,-0.031116410326204085
4,6,1424,0.520199742442922,0.5699897958420792,0.04979005339915721,-0.00497661582420524
14,16,914,0.5819848656023274,0.592437494009515,0.010452628407187525,-0.029415793109673977
17,20,1818,0.5378064996423134,0.5479051221388582,0.010098622496544807,-0.023060147718327022
5,19,599,0.5206692329473933,0.5780254629482318,0.05735623000083845,-0.03733795939905471
11,25,615,0.5668481544369846,0.5942773910651635,0.027429236628178977,-0.034505717511931176
15,30,2307,0.6710514393342676,0.6397370271497754,-0.03131441218449216,-0.04721955379391577
4,23,1629,0.5495069863956535,0.5463159732626988,-0.0031910131329547786,-0.011038272055984214
12,29,1947,0.5497001768509405,0.5670394245403164,0.017339247689375892,-0.006538935297760173
9,18,413,0.533387512363918,0.5907378291991753,0.057350316835257265,-0.007466922030864205
11,14,2252,0.6294514303950555,0.6193412798985227,-0.010110150496532744,-0.029616674686528326
15,18,486,0.4881037443480879,0.5219623113024128,0.033858566954324876,0.000603377987764997
2,13,1405,0.5376785132444146,0.6234452136079968,0.08576670036358214,-0.017775479819292523
17,26,2032,0.5956906883285595,0.5861754569182124,-0.009515231410347158,-0.016774544209457454
20,22,919,0.5626149556114852,0.5287069270845578,-0.033908028526927425,-0.02910472333817719
0,13,699,0.48840016456842206,0.5320080796170631,0.04360791504864103,0.0022502506024729327
14,15,1047,0.5339091537862612,0.5505995115414263,0.01669035775516503,0.0038361541730336235
9,30,1763,0.6726527370902222,0.6432469846323586,-0.029405752457863588,-0.0446406463849105
1,8,2810,0.5680944167033827,0.5841721318659455,0.016077715162562844,-0.006417323927962977
0,7,1065,0.5408448318591578,0.533874243437367,-0.006970588421790769,-0.011689892866461141
5,11,2534,0.5914956465772028,0.5980579639925645,0.006562317415361729,-0.02509687603736536
6,18,564,0.49640996589453656,0.5153615861906988,0.018951620296162264,-0.0016370348242848443
6,29,1339,0.6012467323135615,0.5908966540487517,-0.010350078264809826,-0.02501903256485231
19,29,863,0.5414680117908268,0.5320231970101772,-0.009444814780649624,-0.013201880784687314
8,19,781,0.5848890419004711,0.5379728215290773,-0.04691622037139376,-0.018597405533887928
7,8,2119,0.5641655059200646,0.5672734962632606,0.0031079903431959766,-0.02970106765736724
9,25,522,0.5672001547166775,0.5563635776046622,-0.010836577112015355,-0.07486657569681392
1,4,3482,0.5741459351153053,0.5726612167808574,-0.0014847183344479653,-0.026420476217915805
13,29,1655,0.5615160910311487,0.5633053024878706,0.0017892114567218398,-0.029342486582640565
15,20,960,0.5251143627985762,0.5416305941401796,0.016516231341603405,-0.0013277819110346645
4,5,3228,0.556402980869298,0.5602045438968958,0.0038015630275978207,-0.023717433216772037
12,17,1636,0.5458980478827438,0.5395825627242604,-0.006315485158483347,-0.021907452197462356
1,5,2225,0.5776398453555386,0.5755828746173327,-0.0020569707382058766,-0.023222252666149818
15,17,1267,0.5945760031749959,0.6035458951805935,0.008969892005597613,-0.03225764621969388
16,20,714,0.5144216934542104,0.516583999683226,0.002162306229015587,0.001745412046009846
2,3,3078,0.640640712408393,0.6696202128038081,0.02897950039541508,-0.020006741921498355
4,7,3019,0.5258957188178774,0.553282087896612,0.027386369078734596,-0.022830016626494237
0,30,2166,0.6404058463216954,0.6342144278108645,-0.006191418510830937,-0.03659266600006509
2,26,2239,0.54902209083678,0.5734124833645955,0.024390392527815496,-0.034813810931655954
3,8,2822,0.5867318240827293,0.5764796294673269,-0.010252194615402388,-0.025548066202485547
2,20,1837,0.517649496594877,0.5509413830049684,0.0332918864100914,0.027405990978765598
2,30,6268,0.6158562185277054,0.6366054958492622,0.020749277321556736,-0.023673392532226334
14,20,1626,0.49602746894053473,0.4893331357196084,-0.0066943332209263295,-0.00521964328842021
11,13,1209,0.5183889565843878,0.552860108115126,0.03447115153073821,-0.020636341756341603
10,16,819,0.5137489914333055,0.5354070417665127,0.021658050333207113,-0.0019499210416045558
20,23,911,0.46521493908131734,0.5362316809787175,0.0710167418974002,0.042990274849529865
1,26,1814,0.6144790759487725,0.6321130578779435,0.017633981929170983,-0.04031986506881091
12,14,1269,0.577554068917507,0.573692569269444,-0.003861499648063038,-0.03758868720784366
14,22,1094,0.583179639591858,0.5894586432315314,0.006279003639673375,-0.02865626481458165
1,6,945,0.5660974783127809,0.5764749555106651,0.010377477197884177,-0.03137848353573802
7,15,1092,0.5342134111183646,0.5321034332529396,-0.0021099778654249945,-0.028918980941960288
9,15,674,0.5260410045493814,0.5011930276792386,-0.02484797687014284,-0.009027858922484533
3,13,1251,0.630007496356269,0.6031956653531917,-0.02681183100307727,-0.019538185482744663
7,11,2341,0.659439718356451,0.6712376153141263,0.011797896957675302,-0.023836616235021164
3,7,2413,0.5165053830385835,0.5117884155246804,-0.004716967513903159,-0.008684981871374897
9,17,1012,0.5752891713516911,0.5704275838548652,-0.004861587496825859,-0.035205334673411914
11,30,6156,0.6516439451111647,0.6569792173086604,0.005335272197495633,-0.029900576320180765
3,9,1052,0.546757989451917,0.5412392159578113,-0.005518773494105678,0.011000858818236628
13,22,632,0.4800877451224479,0.5246294947261976,0.04454174960374968,0.004052449916659854
4,19,908,0.5833502511145064,0.5610184901237529,-0.022331760990753513,-0.009404640729680835
4,12,1960,0.5499994039134227,0.5703242520469844,0.020324848133561724,-0.02417640320955487
11,26,1904,0.5311143943244779,0.5449159804062285,0.013801586081750528,-0.015280988730429249
15,25,465,0.5911886160106639,0.5355209690754229,-0.055667646935240955,-0.04209257459236785
6,25,447,0.6042019351696334,0.5644671172345646,-0.039734817935068834,-0.0230137324804852
4,30,7899,0.6115954267954897,0.6070318093689939,-0.004563617426495803,-0.027668000504526707
13,16,590,0.4879221297639056,0.5057234519843117,0.01780132222040609,-0.010358869340066893
5,9,1075,0.5179270895253841,0.5400545307139253,0.022127441188541153,-0.004548292406418464
4,11,3923,0.5887451021781318,0.6081729568973178,0.019427854719185955,-0.017490666199226273
5,30,4916,0.6567853005493649,0.6507362369343818,-0.006049063614983141,-0.029134826688378374
7,18,625,0.533574674143827,0.5387340196491179,0.005159345505290958,-0.011320658373409306
1,10,1846,0.6334487337552673,0.6325088232404927,-0.0009399105147746001,-0.029823628350571767
