arm,cat,n,diff,early,late,dy
real,0,2538,0.05514669097466264,0.0315881888833176,-0.02355850209134504,0.0
shuf,0,2742,0.025646709518161857,0.005362362349696763,-0.020284347168465094,0.0
plant10,0,2538,0.059478998217040155,0.03592049612569511,-0.02355850209134504,0.0003850402091196692
plant25,0,2540,0.07832804611544358,0.0680706470501975,-0.010257399065246087,0.01821256356927936
real,1,2422,-0.027325143509952923,0.10230969427687243,0.12963483778682536,0.0
shuf,1,2482,0.027858402087960768,0.1394036856106077,0.11154528352264693,0.0
plant10,1,2422,-0.00858109338757257,0.11964663695979316,0.12822773034736573,0.008495531317494143
plant25,1,2424,0.07069377106646617,0.1927037136262156,0.12200994255974944,-0.02388097897161945
real,3,6520,-0.0031322800494611377,0.059538042434314174,0.06267032248377531,0.0
shuf,3,7268,-0.0007915856963151002,0.07102822137531829,0.07181980707163339,0.0
plant10,3,6520,0.018580147665483132,0.08125047014925844,0.06267032248377531,0.0021723431499958146
plant25,3,6544,0.059991853838832744,0.11942687604384872,0.059435022205015973,0.02652761699268469
real,4,9600,0.008442768300676286,0.055190340606409316,0.04674757230573303,0.0
shuf,4,10210,-0.00717247179211087,0.056780670984000935,0.0639531427761118,0.0
plant10,4,9600,0.029545858193287346,0.07629343049902038,0.04674757230573303,0.003505697267899066
plant25,4,9536,0.08141662524009538,0.1314497175030637,0.050033092262968315,0.013697177435489483
real,6,2396,0.025503820751005227,0.037435466269121954,0.011931645518116726,0.0
shuf,6,2522,-0.03071857393848974,0.022218824822482646,0.052937398760972386,0.0
plant10,6,2396,0.04520025860853649,0.05713190412665322,0.011931645518116726,0.002785413541288584
plant25,6,2408,0.12095578602339564,0.11929646583769055,-0.0016593201857051005,0.04339870286465253
real,7,4788,0.017553113449554014,0.09621202547481024,0.07865891202525623,0.0
shuf,7,4828,-0.027913799088002664,0.08294007550256412,0.11085387459056678,0.0
plant10,7,4784,0.024565207232687472,0.10929231526020572,0.08472710802751825,0.007910731558343542
plant25,7,4800,0.08229283347043811,0.16718040938549286,0.08488757591505475,0.03007208854968013
real,8,6980,0.005782951125164526,0.027912999855113512,0.022130048729948986,0.0
shuf,8,6976,0.003679791862581272,0.02559201471486076,0.02191222285227949,0.0
plant10,8,6980,0.03499900682161346,0.057129055551562447,0.022130048729948986,0.003071988570333861
plant25,8,6962,0.10393075104655825,0.12727048636650873,0.023339735319950483,0.0165997603910899
real,9,2080,-0.0211052345755852,0.030083488898590565,0.05118872347417577,0.0
shuf,9,2290,-0.02072963914103334,0.051079090699800524,0.07180872984083386,0.0
plant10,9,2080,0.0047475238442852286,0.055936247318460995,0.05118872347417577,0.007354068264743496
plant25,9,2062,0.03295352676530889,0.08917601493306414,0.05622248816775525,0.02308453719475434
real,10,4784,0.054424266474479135,0.13085588546551352,0.07643161899103439,0.0
shuf,10,5264,0.02114118248174475,0.1182269815729548,0.09708579909121005,0.0
plant10,10,4784,0.07204683208909936,0.14847845108013374,0.07643161899103439,-0.001876055109120145
plant25,10,4758,0.104985970863463,0.1826932387779133,0.0777072679144503,0.008995014985366367
real,12,3266,0.029590978626611864,0.09262298973171613,0.06303201110510427,0.0
shuf,12,3468,0.018891748943623596,0.10325120726797486,0.08435945832435127,0.0
plant10,12,3266,0.057114345480790696,0.12014635658589497,0.06303201110510427,-0.004015419407943366
plant25,12,3222,0.08683742383687133,0.1561861132322511,0.06934868939537976,0.012632763911412326
real,13,2764,-0.0064968637411128224,0.047990292519117496,0.05448715626023032,0.0
shuf,13,2884,0.005944352014909504,0.0563454813435873,0.050401129328677796,0.0
plant10,13,2764,0.008348398427756129,0.06283555468798645,0.05448715626023032,0.0012192134251240994
plant25,13,2722,0.051445606136690906,0.09754469331710998,0.04609908718041907,0.006201871442554907
real,14,5462,-0.0013458025780048039,0.07988222373966615,0.08122802631767095,0.0
shuf,14,5998,-0.024629134924116114,0.08525723910710668,0.1098863740312228,0.0
plant10,14,5462,0.026841887364698988,0.10806991368236994,0.08122802631767095,0.005331892904087532
plant25,14,5446,0.08473220511894225,0.15658551018239197,0.07185330506344972,0.02017896643274586
real,15,2674,0.049343698224266506,0.04775667167594507,-0.0015870265483214352,0.0
