v_out,only,uniq,leak,six,n
animated,2.648022422241303,1.0790516581708043,1.5689707640704986,7.555228512422119,4563
written,0.08576920367121543,0.05732781650679142,0.028441387164424015,2.1432296041245413,4563
"""I am ashamed or embarrassed about at le",0.29985102387729556,0.007561945270806447,0.2922890786064891,2.7877456300756,4718
"""Engaging with or fantasizing about what",1.5996015227528582,0.5901630487015863,1.0094384740512719,1.6750695761956536,4716
"""I can get aroused by a partner doing wh",1.005188551404168,0.3216380550000508,0.6835504964041172,0.9817193055440376,4717
"""I've acted upon or experimented with al",0.7025178483561323,0.036458734992828035,0.6660591133633043,1.9789358491260955,4717
"""I sometimes find people who have clearl",2.8273110233092646,1.1137397648926517,1.713571258416613,3.5216242451866497,4717
allrollidentity,0.6432191209818972,0.20876326927732336,0.4344558517045738,2.3852081312420004,3442
"""I find it erotic when two people of the",2.5705929098904345,1.2839005777785073,1.2866923321119272,4.241640033067373,4715
knowwhatarousesyou,0.6564385821982599,0.12768589301781486,0.528752689180445,0.894181962505658,4718
highenergy,0.5603450777079022,0.05177546846817371,0.5085696092397285,1.3392712352686131,4615
"""I find the thought of existing (in *non",0.897188759327483,0.20631051361530428,0.6908782457121787,1.4271080490791732,3919
"""I find the thought of existing (in *non",0.36139705181841286,0.015905702462859495,0.34549134935555337,0.9852898512105912,3919
inducefetish,3.2842457299655625,1.3051612330848394,1.979084496880723,3.1210480038146082,4595
"""I find the thought of masturbating alon",0.5496425574952224,0.6762740815790647,-0.12663152408384226,1.3903196417225816,3919
"""I find the thought of masturbating alon",1.731365514692429,1.0296408254393374,0.7017246892530915,2.0585787961682533,3919
"""If my partner is aroused by something, ",1.0364020924047534,0.6507765466573834,0.38562554574737007,2.2997809522239065,4718
"""I am aroused by being dominant in sexua",0.683773888215844,0.8114504363852193,-0.12767654816937535,4.337338401529889,4521
"""I am aroused by being submissive in sex",0.11331593066614687,0.049437253776640766,0.0638786768895061,0.7315479532576497,4520
age,0.20454003616859895,0.27941174562896576,-0.07487170946036681,1.1667831781730253,4718
openness,0.19424318735804524,0.09148575392237124,0.102757433435674,0.3819689934877135,4718
conscientiousness,0.0006293284800396037,0.04355798690992563,-0.042928658429886024,0.5545039483089154,4718
extroversion,0.004948916182412333,9.35457120543326e-05,0.004855370470358,1.6114629901268551,4718
neuroticism,0.01111082767529803,0.06305518725386872,-0.05194435957857069,0.9368272157466495,4718
agreeableness,0.0017812121763438604,0.14443416663372233,-0.14265295445737847,0.6347415647418142,4718
powerlessness,0.22150800617570798,0.10811443523247588,0.1133935709432321,0.9501777370329201,4718
关系风格,1.0327879866291134,0.3159482118384016,0.7168397747907118,1.3396383299449477,4718
0–14 岁被打屁股,0.10272418413066475,0.07926227653234363,0.02346190759832112,0.319633188739743,4716
成长期性开放度,0.023805197881632267,0.030565757737821553,-0.0067605598561892855,0.2849421289874976,4718
