v_out,v_coord,v_com
animated,S 位置,1.8004447716809313
animated,D 块间对比,0.0638560267281485
animated,c1,0.19243402953385003
animated,c2,0.04486254825880609
animated,c3⁻,0.49774437685513595
animated,清晰度,0.05379925699976473
written,S 位置,0.0651736388904478
written,D 块间对比,0.016786099897492246
written,c1,0.06880016699328806
written,c2,0.001372247413899963
written,c3⁻,0.046974676340527655
written,清晰度,-0.05697167791164359
"""I am ashamed or embarrassed about a",S 位置,0.2987994008178618
"""I am ashamed or embarrassed about a",D 块间对比,0.05290959227073344
"""I am ashamed or embarrassed about a",c1,0.13636525446573122
"""I am ashamed or embarrassed about a",c2,-0.000982158429974067
"""I am ashamed or embarrassed about a",c3⁻,0.10049361225105136
"""I am ashamed or embarrassed about a",清晰度,0.0012689236057905617
"""Engaging with or fantasizing about ",S 位置,0.9042292853175593
"""Engaging with or fantasizing about ",D 块间对比,-0.024953995230103665
"""Engaging with or fantasizing about ",c1,0.056483447080601934
"""Engaging with or fantasizing about ",c2,-0.015305516884123183
"""Engaging with or fantasizing about ",c3⁻,-0.05255419372393044
"""Engaging with or fantasizing about ",清晰度,0.15445503480654432
"""I can get aroused by a partner doin",S 位置,0.6545412424090125
"""I can get aroused by a partner doin",D 块间对比,0.016390597733551004
"""I can get aroused by a partner doin",c1,0.04706045066816822
"""I can get aroused by a partner doin",c2,-0.001756135899333433
"""I can get aroused by a partner doin",c3⁻,-0.01822930690406066
"""I can get aroused by a partner doin",清晰度,0.0832333780784289
"""I've acted upon or experimented wit",S 位置,0.6151092787794354
"""I've acted upon or experimented wit",D 块间对比,-0.011810444509863238
"""I've acted upon or experimented wit",c1,0.023375019820137677
"""I've acted upon or experimented wit",c2,-0.009135902290824394
"""I've acted upon or experimented wit",c3⁻,-0.040601539567242106
"""I've acted upon or experimented wit",清晰度,0.21315158471340023
"""I sometimes find people who have cl",S 位置,1.7908746513405904
"""I sometimes find people who have cl",D 块间对比,-0.07427672834027232
"""I sometimes find people who have cl",c1,-0.2121500206507143
"""I sometimes find people who have cl",c2,0.009456806135266227
"""I sometimes find people who have cl",c3⁻,0.22980850261888897
"""I sometimes find people who have cl",清晰度,0.1883756275786741
allrollidentity,S 位置,0.4487871081689798
allrollidentity,D 块间对比,-0.018834895260644302
allrollidentity,c1,-0.25074887335879703
allrollidentity,c2,0.003294125118757929
allrollidentity,c3⁻,-0.07084785823877615
allrollidentity,清晰度,0.13072727992651245
"""I find it erotic when two people of",S 位置,1.216764254482705
"""I find it erotic when two people of",D 块间对比,-0.05162542277220572
"""I find it erotic when two people of",c1,-0.6250999099783439
"""I find it erotic when two people of",c2,-0.008217012565892023
"""I find it erotic when two people of",c3⁻,-0.30699880220184106
"""I find it erotic when two people of",清晰度,0.27638060351034
knowwhatarousesyou,S 位置,0.4873880502920924
knowwhatarousesyou,D 块间对比,0.0035048628973854967
knowwhatarousesyou,c1,0.08038898345391621
knowwhatarousesyou,c2,0.0017580632881153413
knowwhatarousesyou,c3⁻,-0.0074806796944049125
knowwhatarousesyou,清晰度,0.04466177680222394
highenergy,S 位置,0.44614039652469684
highenergy,D 块间对比,0.02023772256399825
highenergy,c1,0.14378301554359707
highenergy,c2,-0.0005218078277025029
highenergy,c3⁻,0.02186563112962503
highenergy,清晰度,0.20038353441932388
"""I find the thought of existing (in ",S 位置,0.7173655986471239
"""I find the thought of existing (in ",D 块间对比,0.00351670495786216
"""I find the thought of existing (in ",c1,-0.09615821193670326
"""I find the thought of existing (in ",c2,-0.0013428312449326185
"""I find the thought of existing (in ",c3⁻,-0.01689887622688957
"""I find the thought of existing (in ",清晰度,0.04688607925058541
"""I find the thought of existing (in ",S 位置,0.3408539073760819
"""I find the thought of existing (in ",D 块间对比,-0.0014582179923561256
"""I find the thought of existing (in ",c1,-0.014878368184900737
"""I find the thought of existing (in ",c2,-0.0011114985022930846
"""I find the thought of existing (in ",c3⁻,-0.021553623889147833
"""I find the thought of existing (in ",清晰度,0.0294944599226854
inducefetish,S 位置,2.054539500683017
inducefetish,D 块间对比,0.059976632735259106
inducefetish,c1,-0.01173081440614121
inducefetish,c2,-0.023009062778622802
