v_page,v_val,v_kind,v_win
README.md,2.8%,可核而未核,100
README.md,0.14%,可核而未核,100
README.md,49%,可核而未核,100
README.md,0.869%,孤立,100
README.md,+0.609,孤立,100
README.md,+0.892,孤立,100
README.md,+0.432,孤立,100
README.md,+0.1185,孤立,100
README.md,+0.6785,孤立,100
README.md,+0.7826,可核而未核,100
README.md,+0.4290,孤立,100
README.md,+0.6429,孤立,100
README.md,+0.5778,孤立,100
README.md,+0.5631,孤立,100
README.md,−0.1086,孤立,100
README.md,+0.1286,孤立,100
README.md,20,孤立,100
README.md,59.6%,可核而未核,100
README.md,18.9%,孤立,100
README.md,28.9%,可核而未核,100
README.md,37.1%,孤立,100
README.md,28.2%,孤立,100
README.md,−0.00042,已核,100
README.md,+0.5316,孤立,100
README.md,+0.3382,孤立,100
README.md,+0.0454,可核而未核,100
README.md,−0.1229,孤立,100
README.md,+0.9039,可核而未核,100
README.md,−0.2270,孤立,100
README.md,84.3%,孤立,100
README.md,−18.5%,孤立,100
README.md,0.139,可核而未核,100
README.md,0.383,孤立,100
README.md,0.700,孤立,100
README.md,0.718,孤立,100
README.md,1.077,孤立,100
README.md,1.034,孤立,100
README.md,−0.0150,可核而未核,100
README.md,+0.1502,可核而未核,100
README.md,10%,孤立,100
README.md,54.8%,可核而未核,100
README.md,+0.975,孤立,100
README.md,+0.1169,可核而未核,100
README.md,−0.1024,孤立,100
README.md,−0.0810,孤立,100
README.md,0.924,可核而未核,100
README.md,−0.1065,可核而未核,100
README.md,−0.0684,可核而未核,100
README.md,+0.2219,已核,100
README.md,77.1%,已核,100
README.md,+0.3406,可核而未核,100
README.md,−0.0287,可核而未核,100
README.md,−0.0327,可核而未核,100
README.md,−0.0287,可核而未核,100
README.md,−0.0148,可核而未核,100
README.md,48.4%,可核而未核,100
README.md,2,孤立,100
README.md,0.7695,可核而未核,100
README.md,+0.6667,可核而未核,100
README.md,+0.0797,孤立,100
README.md,0.380,已核,100
README.md,+0.2345,已核,100
README.md,+0.1293,可核而未核,100
README.md,+0.0791,孤立,100
README.md,+0.0168,孤立,100
README.md,+0.0985,孤立,100
README.md,+0.0515,孤立,100
README.md,−0.061,可核而未核,100
README.md,−0.267,可核而未核,100
README.md,+0.1477,孤立,100
README.md,+0.1715,孤立,100
README.md,1.21%,孤立,100
README.md,0.67,孤立,100
README.md,0.994,孤立,100
README.md,102%,孤立,100
README.md,−0%,孤立,100
README.md,+0.986,孤立,100
README.md,67%,孤立,100
README.md,+0.26,孤立,100
README.md,+0.60,孤立,100
README.md,4.5%,孤立,100
README.md,+0.5631,孤立,100
README.md,+0.2036,孤立,100
README.md,+0.1512,可核而未核,100
README.md,0.57,可核而未核,100
README.md,0.83,可核而未核,100
README.md,2.8%,孤立,100
README.md,−0.0589,孤立,100
README.md,+0.1012,孤立,100
README.md,+0.1601,孤立,100
README.md,+0.0015,可核而未核,100
