v_round,v_plant,v_contested,v_ratio,v_kind
R101_forced_choice_vs_indu,0.25,,,UNCOMPARABLE(争议幅度抽不到)
R351_admission_threshold,,,,无法抽取种植幅度
R352_retro_scan,,,,无法抽取种植幅度
R353_quadrants,,,,无法抽取种植幅度
R354_two_profiles,,,,无法抽取种植幅度
R355_dose_response_and_mde,,,,无法抽取种植幅度
R356_joint_buffer_test,,,,无法抽取种植幅度
R357_guard21,,,,无法抽取种植幅度
R358_retro_apply,,,,无法抽取种植幅度
R359_joint_amplify_test,,,,无法抽取种植幅度
R360_split_half_replicatio,,,,无法抽取种植幅度
R361_three_worlds,,,,无法抽取种植幅度
R362_reliability_sweep,,,,无法抽取种植幅度
R363_bias_grid,,,,无法抽取种植幅度
R364_retraction_risk,,,,无法抽取种植幅度
R365_bootstrap_intervals,,,,无法抽取种植幅度
R366_r_true_interval,,,,无法抽取种植幅度
R367_classify,,,,无法抽取种植幅度
R368_resolve_forward,,,,无法抽取种植幅度
R369_counterfactual_embodi,,,,无法抽取种植幅度
R370_solidify,,,,无法抽取种植幅度
R371_leave_one_block,,,,无法抽取种植幅度
R372_block_loadings,,,,无法抽取种植幅度
R373_structural_regression,,,,无法抽取种植幅度
R374_c3_without_prevalence,,,,无法抽取种植幅度
R375_all_three_stripped,,,,无法抽取种植幅度
R376_years_carried,,,,无法抽取种植幅度
R153_paired_swap_diffuse,,,,无法抽取种植幅度
R154_rare_affinity_on_forc,0.15,,,UNCOMPARABLE(争议幅度抽不到)
R377_solidify_onset,,,,无法抽取种植幅度
R378_increments_and_intera,,,,无法抽取种植幅度
R379_familywise,,,,无法抽取种植幅度
R380_which_subadditivity,,,,无法抽取种植幅度
R381_relative_onset,,,,无法抽取种植幅度
R382_cell_level,,,,无法抽取种植幅度
R383_category_shame_profil,,,,无法抽取种植幅度
R384_explain_the_residual,,,,无法抽取种植幅度
R386_drop_humiliation,,,,无法抽取种植幅度
R387_acted_upon,,,,无法抽取种植幅度
R388_split_half_residual,,,,无法抽取种植幅度
R390_two_ends,,,,无法抽取种植幅度
R391_coverage_tradeoff,,,,无法抽取种植幅度
R393_wide_caliber_rerun,,,,无法抽取种植幅度
R394_wide_familywise,,,,无法抽取种植幅度
R397_nine_cells,,,,无法抽取种植幅度
R158_type_or_restructuring,,,,无法抽取种植幅度
R159_is_there_a_dose,,,,无法抽取种植幅度
R160_between_pair_dose,,,,无法抽取种植幅度
R162_dose_on_the_correct_n,,,,无法抽取种植幅度
R163_dose_with_balance_con,,,,无法抽取种植幅度
R166_does_memory_pull_belo,0.8,,,UNCOMPARABLE(争议幅度抽不到)
R170_direction_at_double_n,0.15,,,UNCOMPARABLE(争议幅度抽不到)
R398_increment_compare,,,,无法抽取种植幅度
R399_ncat_as_predictor,,,,无法抽取种植幅度
R400_all_outcomes,,,,无法抽取种植幅度
R401_which_coordinate,,,,无法抽取种植幅度
