tag,n,sd,rho_mean,rho_sd,rho_corr_S,corr_S,n_S,corr_age,seed,corr_plant
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.050197967187357626,-0.03852680622753614,9696,0.12335205596500551,1,
null,9944,3.0151674602144616,0.0016323208587624403,0.31264056609881774,0.008787188158312425,0.00480560987539655,9696,0.0048545011371008435,1,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.05019796718735765,-0.03852680622753618,9696,0.12335205596500548,1,0.0015750363716145752
plant0.8,9944,2.474672669012717,-0.024880010829802283,0.3922007537578575,-0.053530345622964694,-0.0396887534668897,9696,0.11496071485450324,1,0.32466298862155996
plant2.0,9944,3.0806607104702604,-0.012494834641435266,0.4882850936438284,-0.04432117058301822,-0.035737369060528414,9696,0.09028354389020361,1,0.6502035617383349
plant5.0,9944,5.5226464990643045,-0.0020240870328198744,0.6512512966706093,-0.02585848310257673,-0.025343382117738067,9696,0.04748448683414898,1,0.9057453563225514
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.050197967187357626,-0.03852680622753614,9696,0.12335205596500551,2,
null,9944,2.976938806561336,0.0029940389776546414,0.312160343001356,0.011723020065976406,0.010687223739123283,9696,0.012752966952819661,2,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.05019796718735765,-0.03852680622753618,9696,0.12335205596500548,2,-0.02594857520337838
plant0.8,9944,2.452860513070163,-0.02641221266850829,0.392342676862573,-0.04955742725932589,-0.04166448399038717,9696,0.11837522825798401,2,0.2999639360778078
plant2.0,9944,3.0335295609616413,-0.013055594583685192,0.48946144177628986,-0.04237653343293306,-0.0395715293253692,9696,0.0965220284583052,2,0.6363974179198687
plant5.0,9944,5.445872209699172,-0.0035945938982155845,0.6524885353208679,-0.03282613788746397,-0.030265096354159797,9696,0.054888119631473116,2,0.9029650172647511
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.050197967187357626,-0.03852680622753614,9696,0.12335205596500551,3,
null,9944,2.993248897730548,0.00165500295391979,0.3134717680815473,0.0037790602557405116,0.002486997453869371,9696,-0.0023865073252825808,3,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.05019796718735765,-0.03852680622753618,9696,0.12335205596500548,3,0.023372500844592782
plant0.8,9944,2.491963657347499,-0.025809538562946148,0.3959148529422774,-0.050835396229341016,-0.03686085752689395,9696,0.11368160595161933,3,0.3439715221775012
plant2.0,9944,3.1179593314697867,-0.011492181177191571,0.4936229220803508,-0.03758626304965814,-0.030232696055023437,9696,0.08824159198837234,3,0.6609611075179245
plant5.0,9944,5.583975253546417,0.001631071406335029,0.655740350994997,-0.02021849692360177,-0.0179883730630527,9696,0.04562016218839946,3,0.9079666230508995
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.050197967187357626,-0.03852680622753614,9696,0.12335205596500551,4,
null,9944,2.9826573155161413,0.0007789236415749641,0.31115034692172405,0.012485721107354273,0.007870724062059388,9696,-0.005739005224126256,4,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.05019796718735765,-0.03852680622753618,9696,0.12335205596500548,4,0.012315983316738784
plant0.8,9944,2.482026395163913,-0.025161840975324815,0.39405767740635383,-0.04552843224714802,-0.036375177198187385,9696,0.1112704724693451,4,0.3329075422360355
plant2.0,9944,3.093209603604336,-0.011347351015523635,0.4913250527114838,-0.030879338187896763,-0.02919658529319363,9696,0.08319780292010326,4,0.6538423768349132
plant5.0,9944,5.532449566005828,0.0003973012602436494,0.653602522578322,-0.015334328031587892,-0.01634321082298735,9696,0.03800815963750046,4,0.906097198029042
