tag,n,delta,rank,corr_S,seed
real,9648,-0.23449349211621173,0.3251926133222775,0.016227245139232977,
perm,9648,0.004264665433362441,0.5022889027086788,0.018225504475520574,0.0
perm,9648,0.004859070211420191,0.5002332089552238,-0.0037480003664577943,1.0
perm,9648,0.004935794817648064,0.5028049854892206,-0.0045896937285568856,2.0
perm,9648,-0.0013746910345736089,0.5020729684908789,0.011391583268681504,3.0
perm,9648,0.0010814746147906594,0.5022565125760088,0.008134705561390907,4.0
plant0.0,9648,-0.23449349211621173,0.3251926133222775,0.016227245139232977,
plant0.1,9648,-0.18600788823684417,0.3627716452459922,0.02640850016262902,
plant0.25,9647,-0.11581218976640786,0.4174246743374452,0.03674870374372453,
plant0.5,9641,0.005226087729887009,0.513231251944819,0.062407688864288956,
rating_corrected,9944,-0.19353443130694822,0.379183846205417,-0.011499968959411888,
