seed,summary,acc,pairs,acc_fair,pairs_fair,ties
1,mean,66.38274026337909,35690,66.38274026337909,35690,0
1,median,75.90995389205315,18435,63.383300644438215,35690,574
1,q25,76.25568149128358,17381,62.786494816475205,35690,548
1,q40,72.93933054393305,19120,62.28915662650602,35690,450
1,q60,71.10932691021009,22419,63.260016811431775,35690,422
1,q75,70.36902013205331,24687,64.08938077892967,35690,402
1,trimmed20,66.52563743345475,35690,66.52563743345475,35690,0
1,random,41.01989352759877,0,41.01989352759877,0,0
2,mean,67.06706136855288,35132,67.06706136855288,35132,0
2,median,75.74073074639755,18529,63.575942160992824,35132,538
2,q25,76.64773399597681,16902,62.82022088124786,35132,630
2,q40,72.79286019666525,18712,62.13992940908573,35132,450
2,q60,70.84452538128842,21965,63.032278264829785,35132,422
2,q75,72.35119179723911,22529,64.33308664465444,35132,462
2,trimmed20,67.16099282705225,35132,67.16099282705225,35132,0
2,random,53.267676192644885,0,53.267676192644885,0,0
3,mean,66.47985204281791,35686,66.47985204281791,35686,0
3,median,76.41325536062378,17442,62.90982458106821,35686,614
3,q25,76.39254193699223,17109,62.65342150983579,35686,630
3,q40,74.35746412508031,18676,62.74729585831979,35686,474
3,q60,71.24118413368672,22261,63.25029423303256,35686,428
3,q75,70.51426275612695,24890,64.30813204057614,35686,390
3,trimmed20,66.7656784173065,35686,66.7656784173065,35686,0
3,random,52.793812699658126,0,52.793812699658126,0,0
4,mean,67.10404054624806,35515,67.10404054624806,35515,0
4,median,77.5649627912651,16394,62.724201041813316,35515,662
4,q25,77.0233631381598,17335,63.190201323384485,35515,620
4,q40,74.52613593891826,18729,62.93397156131212,35515,462
4,q60,72.10441189684607,22258,63.8533014219344,35515,422
4,q75,71.8097754293263,22710,63.94621990708151,35515,468
4,trimmed20,67.05898915951006,35515,67.05898915951006,35515,0
4,random,49.35942559481909,0,49.35942559481909,0,0
5,mean,66.97263205315915,35516,66.97263205315915,35516,0
5,median,77.01111658726248,18261,63.88810676878027,35516,574
5,q25,76.78999546426489,15433,61.641232120734315,35516,630
5,q40,74.0394934535308,18636,62.61403311183692,35516,474
5,q60,71.4098390305661,22116,63.33201937155085,35516,428
5,q75,71.16421873703428,24102,64.36254082666967,35516,420
5,trimmed20,67.18380448248676,35516,67.18380448248676,35516,0
5,random,47.89953823628787,0,47.89953823628787,0,0
6,mean,66.46303699116041,35522,66.46303699116041,35522,0
6,median,75.91725639629831,18370,63.40296154495805,35522,528
6,q25,76.46145887221935,15464,61.519621642925514,35522,630
6,q40,74.35829019691552,18739,62.84978323292607,35522,474
6,q60,70.7949828550803,22164,62.97505771071449,35522,438
6,q75,73.36155170007908,21499,64.13912504926525,35522,494
6,trimmed20,66.5615674793086,35522,66.5615674793086,35522,0
6,random,47.446652778559766,0,47.446652778559766,0,0
7,mean,66.61288496376811,35328,66.61288496376811,35328,0
7,median,75.7512726476545,18269,63.31663269927536,35328,574
7,q25,76.37187941592087,16984,62.67832880434783,35328,630
7,q40,75.16789791806582,17868,62.72927989130435,35328,510
7,q60,70.8981275785465,22057,63.04772418478261,35328,422
7,q75,70.64337628014536,24216,64.1502490942029,35328,402
7,trimmed20,66.5619338768116,35328,66.5619338768116,35328,0
7,random,43.01403985507246,0,43.01403985507246,0,0
8,mean,66.50987240514885,35503,66.50987240514885,35503,0
8,median,75.55567691551526,18311,63.18057628932766,35503,574
8,q25,76.14469132907311,17057,62.5609103456046,35503,630
8,q40,74.60265798752373,18435,62.77497676252711,35503,490
8,q60,71.197352314458,22057,63.169309635805426,35503,428
8,q75,70.76343998036167,24442,64.2945666563389,35503,402
8,trimmed20,66.43945582063488,35503,66.43945582063488,35503,0
8,random,45.92006309325973,0,45.92006309325973,0,0
