v_round,v_disc,v_mde
R001_schema,False,False
R002_column_kinds,False,False
R003_explode_multiselects,False,False
R004_gated_tree,False,False
R005_reliability_ceilings,False,False
R006_option_census,False,False
R007_residual_spectrum,False,False
R008_pc1_transfer,False,False
R009_cv_cca_and_rarity,False,False
R010_joint_factorisation,False,False
R011_why_the_null_tied,False,False
R012_leave_one_block_out,False,False
R013_attack_the_foundation,False,False
R014_erotic_covariates,False,False
R015_do_factors_reach_excluded,False,False
R016_relationality_predicts_on,False,False
R017_different_framing_same_qu,False,False
R018_the_item_margin,False,False
R019_item_margin_done_properly,False,False
R020_one_structure_or_two,False,False
R021_within_block_vs_cross_dom,False,False
R022_accumulation_curve,False,False
R023_are_blocks_interchangeabl,False,False
R024_blocks_or_total_sample,False,False
R025_agent_patient_axis,False,False
R026_named_axis_prediction,False,False
R027_role_variance,False,False
R028_placebo_contrast,False,False
R029_dimensionality,False,False
R030_svd_naming_failed,False,False
R031_gcca,False,False
R032_attack_each_coordinate,False,False
R033_three_role_axes,False,False
R034_disattenuation,False,False
R035_additivity,False,False
R036_source_or_orientation,False,False
R037_which_pairs_transfer,False,False
R038_coordinate_count_specific,False,False
R039_does_the_count_saturate,True,False
R040_discriminant_validity,False,False
R041_whitened_discriminant,False,False
R042_why_the_gate_failed,False,False
R043_power_substance_ladder,False,False
R044_additivity_variance_decom,False,False
R045_source_asymmetry_uncentre,False,False
R046_feasibility_or_role,False,False
R047_does_substance_reach_outs,False,False
R048_does_power_reach_outside,False,False
R049_the_last_survivor,False,False
R050_onset_census,False,False
R051_acquired_vs_liked,False,False
R052_intensity_leakage,False,False
R053_onset_beyond_preference,False,False
R054_unit_vs_tempo,False,False
R055_binning_null,False,False
R056_shared_schedule,False,False
R057_the_unit_is_the_category,False,False
R058_synthetic_rival_world,False,False
R059_schedule_specification_cu,False,False
R060_rival_world_full_categori,False,False
R061_coord_with_a_validated_me,False,False
R062_onset_rsa_framing_swap,False,False
R063_schedule_as_a_ranking_tas,False,False
R064_schedule_or_rarity,False,False
R065_rarity_or_censoring,False,False
R066_is_the_order_individual,False,False
R067_group_level_orderings,False,False
R068_the_tie_bias,False,False
R069_individual_order_with_a_s,False,True
R070_the_cap_audit_rerun,False,False
R071_reprice_the_capped_headli,False,False
R072_modality_invariance,False,False
R073_deficit_reference_class,False,False
R074_coverage_confound,False,False
R075_matched_modality,False,False
R076_induction_timing,False,False
R077_timing_mde,False,False
R078_single_interest_power,False,False
R079_off_manifold,False,False
R080_manifold_mde,False,False
R081_matching_removed_it,False,False
R082_breadth_or_attribution,False,False
R083_does_matching_correct_or_,False,False
R084_breadth_has_no_shape,False,False
R085_acquiescence_attack,False,False
R086_out_of_sample_concentrati,False,False
R087_nestedness,False,False
R088_correlate_scan,False,False
R089_non_sexual_variables,False,False
R090_specification_grid,False,False
R091_theta_or_coordinates,False,False
R092_escalating_match,False,False
R093_reliability_ceiling,False,False
R094_the_control_was_the_thing,False,False
R095_concentration_k_sweep,False,False
R096_nestedness_synthetic_cont,False,False
R097_shrink_the_person_effect,False,False
R098_is_breadth_content,False,False
R100_gated_vs_ungated_outcome,False,False
R101_forced_choice_vs_inductio,False,False
R102_sweep_K_on_every_deficit,False,False
R103_is_the_coverage_law_one_p,False,False
R104_block_inclusion_sweep,False,False
R105_modality_properly_gated,False,False
R106_triple_matched_resolvabil,False,False
R107_seed_spread_every_headlin,False,False
R108_reconcile_max_vs_mean,False,False
R109_published_estimand_seed_s,False,False
R110_graded_positive_control,False,False
R111_predictable_variance_sort,False,False
R112_item_person_interaction,False,False
R113_per_block_additive_floor,False,False
R114_fixed_margin_null,False,False
R115_rank_selected_by_predicti,False,False
R351_admission_threshold,True,False
R352_retro_scan,True,False
R353_quadrants,False,False
R354_two_profiles,False,False
R355_dose_response_and_mde,False,False
R356_joint_buffer_test,False,False
R357_guard21,False,False
R358_retro_apply,True,True
R359_joint_amplify_test,False,False
R360_split_half_replication,False,False
R361_three_worlds,False,False
R362_reliability_sweep,False,False
R363_bias_grid,False,False
R116_derivation_or_measurement,False,False
R117_the_four_way_decompositio,False,False
R118_compute_matched_general_v,False,False
R119_how_many_cross_block_dime,False,False
R120_is_the_transfer_the_gate,False,False
R121_gate_or_demographics,False,False
R122_charge_the_shared_basis,False,False
R123_the_metric_was_never_swep,False,False
R124_rank_sweep_under_l1,False,False
R125_symmetric_correction,False,False
R126_does_the_specific_spectru,False,False
R127_matched_dimensional_budge,False,False
R128_every_component_against_i,False,False
R129_soft_threshold_the_intera,False,False
R130_regularised_throughout,False,False
R131_effective_rank_under_soft,False,False
R132_magnitude_in_percentage_p,False,False
R133_is_the_magnitude_shape_ro,False,False
R134_direct_interaction_varian,False,False
R364_retraction_risk,True,False
R365_bootstrap_intervals,False,False
R366_r_true_interval,False,False
R367_classify,True,False
R368_resolve_forward,True,False
R369_counterfactual_embodiment,False,False
R370_solidify,False,False
R371_leave_one_block,False,False
R372_block_loadings,False,False
R373_structural_regression,False,False
R374_c3_without_prevalence,False,False
R375_all_three_stripped,False,False
R376_years_carried,False,False
R135_per_person_misfit,False,False
R136_row_preserving_null_more_,False,False
R137_surprisal_conditioned_on_,False,False
R138_surprisal_fixed_reference,False,False
R139_control_at_the_derived_ma,False,False
R140_spiky_or_flat,False,False
R141_sd_as_a_function_of_mean,False,False
R142_plants_rebased_on_the_nul,False,False
R143_one_family_from_spiky_to_,False,False
R144_mixture_or_gradient,False,False
R145_how_broad_is_the_minority,False,False
R146_is_it_elevation_or_just_w,False,False
R147_is_it_a_trait,False,False
R148_external_correlates,False,False
R149_matched_difference_correl,False,False
R150_does_the_onset_link_survi,False,False
R151_reaudit_with_gates,False,False
R152_diffuse_or_concentrated,True,False
R153_paired_swap_diffuse,True,False
R154_rare_affinity_on_forced_c,False,False
R155_rare_affinity_leave_block,False,False
R156_disjointness_audit,False,False
R377_solidify_onset,False,False
R378_increments_and_interactio,False,False
R379_familywise,False,False
R380_which_subadditivity,False,False
R381_relative_onset,False,False
R382_cell_level,False,False
R383_category_shame_profile,False,False
R384_explain_the_residual,False,False
R386_drop_humiliation,False,False
R387_acted_upon,False,False
R388_split_half_residual,False,False
R390_two_ends,False,False
R391_coverage_tradeoff,False,False
R393_wide_caliber_rerun,False,False
R394_wide_familywise,False,False
R397_nine_cells,True,False
R157_does_order_matter,False,False
R158_type_or_restructuring,False,False
R159_is_there_a_dose,False,False
R160_between_pair_dose,False,False
R161_why_does_the_effect_shrin,False,False
R162_dose_on_the_correct_null,False,False
R163_dose_with_balance_control,False,False
R164_early_arrival_reshapes,False,False
R165_earliness_or_remembered_c,False,False
R166_does_memory_pull_beloved_,False,False
R167_recall_corrected_onsets,False,False
R168_order_effect_vs_mean_rati,False,False
R169_fix_the_null_and_name_the,False,False
R170_direction_at_double_n,False,False
R398_increment_compare,False,False
R399_ncat_as_predictor,False,False
R400_all_outcomes,False,False
R401_which_coordinate,False,False
R402_audit_the_schedule,False,False
R403_where_is_the_gap,False,False
R404_s_shame_vs_coverage,False,False
R405_fixed_people_varying_bloc,False,False
R407_all_outcomes_curve,False,False
R406_guard22,False,False
R408_two_strata,False,False
R409_nested_vs_disjoint,False,False
R410_commonality_vs_person_var,False,False
R411_is_it_one_kind_of_person,False,False
R412_where_along_the_line,False,False
R413_interaction_not_quintiles,False,False
R414_within_person_order,False,True
R415_wide_caliber_replication,False,False
R416_is_it_just_earlier,False,True
R417_card_vs_object,True,False
R418_removed_means_removed,False,False
R419_third_indicator_hunt,False,False
R171_memory_or_present_narrati,False,False
R172_which_interests_move,False,False
R420_identity_checker,False,False
R421_constrained_or_alone,True,False
R422_routes_by_sex,False,True
R423_early_by_sex_wide,False,True
R424_independent_confirmation,False,False
R425_S_by_sex,False,False
R426_guard26_and_audit,False,False
R428_believe_or_resign,False,True
R429_early_strata,False,True
R430_acted_then_belief,False,True
R431_chain_is_untestable_here,False,True
R432_belief_residual_scan,True,True
R433_family_from_blocks,False,True
R434_intensity_vs_breadth,True,True
R435_is_it_a_family,True,True
R436_resolve_the_scale,True,False
R437_is_it_just_responsiveness,True,True
R439_five_items_and_shame,True,True
R440_the_class_of_empty_separa,False,False
R173_does_the_map_radiate_outw,True,False
R174_is_the_trait_link_just_co,False,False
R175_the_first_thing_you_ever_,False,False
R176_is_the_schedule_a_mean_ar,False,False
R177_is_the_first_bin_effect_c,True,False
R441_five_items_vs_c3,True,True
R442_therapeutic_scan,True,True
R443_partner_responsiveness,True,True
