v_page,v_win,v_term,v_named,v_pos,v_ctx
README.md,80,breadth,True,3507,t grows with how well the outcome is explained (`r` = **+0.609**). Swapping the breadth proxy for block coverage keeps it (25/29 positive; the two sha
README.md,80,pick count,False,4418,"e distinguishing prediction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's split-half replication is **0."
README.md,80,breadth,False,4440,"ction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's split-half replication is **0.4672 / 0.4611 / 0.4718"
README.md,80,pick count,False,5965,k are | **+0.432** | blocks (32 multi-select) | untested | **+0.1185** | 9/20 | pick count controlled (+0.1155) · sex · content score | | **Between-bl
README.md,80,breadth,False,6197," (onset instrument, +0.1384) | +0.0830 | ~8–10/31  ⚠ **`#259`: this row and the breadth-type c3 row overlap heavily** — their outcome profiles correla"
README.md,80,pick count,False,6530,"wo rows because the residual is resolvable, not because they are independent. | pick count near-absent on the onset instrument (+0.0428) | | **Breadth"
README.md,80,pick count,False,6949,"""predicts nothing"" is **withdrawn**: that reading came from one unlucky seed) | pick count controlled · block-level property ruled out (`#228b`) | | B"
README.md,80,pick count,False,7137,"| untested | `UNCOMPUTED` | 13 → **9 after control, read as 6–12** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | Breadth ty"
README.md,80,pick count,False,7315," | untested | `UNCOMPUTED` | 11 → **6 after control, read as 4–8** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | **Breadth "
README.md,80,category count,False,7733,* (`#257`) | correlates only +0.2036 with position; both survive jointly; total category count controlled — the gap **grows** to +0.4905 ⚠ **`#366`: a
README.md,80,pick count,False,8109,"lationship style, gender tolerance, politics, straightness, BMI, partner count, pick count, porn habit, self-reported honesty), a commonality decompos"
README.md,80,breadth,False,12030,t rho_i (−0.8499 vs 0.8779) |  **Read the reliability column first.** The three breadth types (0.56–0.72) are the most reliable person-level quantitie
README.md,80,category count,False,19242,"whether they have acted on everything that arouses them. Controlling S, c3⁻ and category count, shame predicts **−0.0833** (se 0.0123) on having acted"
README.md,80,category count,False,22587,"son-level variables against the belief residual (after removing acting, S, c3⁻, category count and shame), the largest is **+0.0888** against a max-of"
README.md,80,category count,False,25535," score predicts shame at **+0.0827** raw and **+0.0657** controlling S, c3⁻ and category count (se 0.0126), **+5.10 sd** past a permutation threshold "
README.md,80,category count,False,27639,"re not one construct.** That item is not inverted shame: with shame, S, c3⁻ and category count removed, the residual still has structure (largest \|r\"
README.md,80,category count,False,37305,"fying the shame→acted relation by partner count (0 versus ≥1), controlling age, category count and — in the narrow arm — S and c3⁻, the coefficient is"
README.md,80,breadth,False,38073,"se they require ≥8 blocks. ⚠ **`#390`: put in one model, intensity survives and breadth collapses — the withdrawal is reversed by a test registered in"
README.md,80,breadth,False,38388,"1, threshold 0.0253 from permuting both columns together) while the block-count breadth score falls from −0.0430 alone to **−0.0009**. So `#389`'s −0."
README.md,80,breadth,False,38466,t breadth score falls from −0.0430 alone to **−0.0009**. So `#389`'s −0.026 was breadth speaking for intensity. **The three outcomes and their predict
README.md,80,category count,False,43681,"arry more shame.** Regressing shame on that within-person ordering, controlling category count and S, gives **−0.0287** (95% CI [−0.047, −0.011], −3.0"
README.md,80,breadth,False,50237,"). Everything else in > this project ends up pointing at it — position +0.1185, breadth-type c3 +0.1286, the between-block > contrast on the disjoint "
README.md,80,breadth,False,51258,"nterval **[+0.088, +0.167]**, `#320`) — the same size as position (+0.1185) and breadth-type c3 (+0.1286). It survives controlling response style (**+"
README.md,80,breadth,False,53486," are compared; the split is a description, not a causal claim. ⚠ **`#421`: and ""breadth"" on this page is not one quantity.** Enumerating the five brea"
README.md,80,breadth,True,53552,"*`#421`: and ""breadth"" on this page is not one quantity.** Enumerating the five breadth measures actually used — onset-category count, fetish-category"
README.md,80,category count,True,53591,"not one quantity.** Enumerating the five breadth measures actually used — onset-category count, fetish-category count, endorsed-sex-act count, block c"
README.md,80,category count,True,53614,"merating the five breadth measures actually used — onset-category count, fetish-category count, endorsed-sex-act count, block coverage and total picks"
README.md,80,category count,True,53749,"and total picks — only **6 of their 10 pairwise correlations reach 0.6**. Onset-category count, block coverage and total picks intercorrelate at **+0."
README.md,80,category count,True,53912, and behave as one thing (how much of the survey a person engaged with); fetish-category count sits at its edge (+0.62 to +0.74); and **the endorsed-s
README.md,80,category count,True,54096,"lating only +0.26 to +0.51 with the rest** — its weakest link being with fetish-category count at **+0.2615**. **So ""breadth"" is at least two things —"
README.md,80,breadth,True,54133,"est** — its weakest link being with fetish-category count at **+0.2615**. **So ""breadth"" is at least two things — how many kinds of thing interest you"
README.md,80,breadth,False,57615," the position score reads **19–21** of 31, the between-block contrast **6–12**, breadth component 1 **10–12**, component 3 **18–22**. Width is driven "
README.md,80,pick count,False,61492," survives at **+0.986** under the same treatment; **67%** survives removing the pick count, and its correlation with pick count (+0.608) is **lower** "
README.md,80,pick count,False,61529,"e treatment; **67%** survives removing the pick count, and its correlation with pick count (+0.608) is **lower** than the null's (+0.719). **And it is"
