var,cA,cB,diff,over,boot,z,pass_mult
开放性,0.05723496252197704,-0.002088100299089757,0.059323062821066794,False,0.01440548832993122,4.1180875970589215,True
无力感,-0.052658181104783514,-0.008533918925903142,-0.04412426217888037,False,0.015533662629222657,2.8405575189892263,True
年龄,-0.0055947164589404685,-0.04246313890278971,0.03686842244384924,False,0.014576192229609335,2.5293589617291548,False
外向性,0.024995826344760073,-0.010569905986276364,0.03556573233103644,False,0.014697032657577,2.4199260598839762,False
宜人性,0.017639534583664265,-0.014361659081878997,0.032001193665543264,False,0.013655846034517938,2.3434061562098543,False
成年后性侵受害,-0.026816496912480062,-0.05729701944192183,0.030480522529441768,False,0.015012025124082597,2.0304071088013496,False
成长期性开放度,0.02527247054171077,-0.002737686606366177,0.028010157148076947,False,0.015084103788689941,1.8569321413101758,False
尽责性,0.018823693320268415,-0.004681339229037069,0.023505032549305485,False,0.014178903241300658,1.6577468757131686,False
神经质,-0.059912489250110716,-0.04579699734669867,-0.014115491903412047,False,0.01352165701809392,1.0439173160895512,False
性别(biomale),0.07055309491861501,0.08159711461404642,-0.011044019695431409,False,0.015584540566218448,0.7086522473027393,False
0-14 岁被打屁股,-0.013604485922325037,-0.01936805773757027,0.005763571815245233,False,0.012563565813443962,0.4587528652954384,False
