var,all,male,female,partial,boot
开放性,0.10608164153626479,0.09296140661193322,0.07018500123271604,0.08313451993132756,0.016790676095729984
尽责性,-0.004439803063701871,0.03527712077722643,-0.03212588746788373,2.186746751610142e-05,0.018379507403677862
外向性,0.0956243449889487,0.060717103422249695,0.11272756515044785,0.08831001801718699,0.017874901352833757
神经质,-0.12307883421490445,-0.04207648934475107,-0.0847393110929168,-0.06389564170884071,0.01744307145690313
宜人性,-0.036826231199005036,-0.011056392488057475,-0.026786075345431305,-0.020638916696491465,0.018605300853153418
无力感,-0.09310125287870924,-0.04192751799861728,-0.07706618179740862,-0.058957264552409384,0.01820372933211663
年龄,0.04501891301805913,0.02973254481216162,0.034567316231992065,0.03267954745960691,0.016217479183950775
成年后性侵受害,-0.0712510616851632,-0.01250745734429579,-0.011093223989890613,-0.014819870548903533,0.018946267866330753
成长期性开放度,-0.019926367220991614,0.008849039835162074,-0.018096348116001807,-0.006006230249510337,0.015876464441038202
0-14 岁被打屁股,-0.014195775853401999,-0.011805785030446245,-0.009544437111157676,-0.011211655768972803,0.017551249677605473
