round,unbounded,at_risk
R002_column_kinds,2,1
R005_reliability_ceilings,1,1
R006_option_census,2,1
R007_residual_spectrum,1,1
R008_pc1_transfer,2,1
R010_joint_factorisation,3,1
R011_why_the_null_tied,1,1
R012_leave_one_block_out,1,1
R013_attack_the_foundation,1,1
R014_erotic_covariates,1,1
R015_do_factors_reach_excluded_blocks,2,1
R016_relationality_predicts_onset,1,1
R017_different_framing_same_question,1,1
R018_the_item_margin,3,1
R019_item_margin_done_properly,3,1
R020_one_structure_or_two,2,1
R021_within_block_vs_cross_domain,2,1
R022_accumulation_curve,1,1
R023_are_blocks_interchangeable,1,1
R024_blocks_or_total_sample,6,1
R025_agent_patient_axis,1,1
R026_named_axis_prediction,1,1
R028_placebo_contrast,1,1
R031_gcca,3,1
R032_attack_each_coordinate,2,1
R033_three_role_axes,1,1
R034_disattenuation,2,1
R035_additivity,1,1
R037_which_pairs_transfer,2,1
R038_coordinate_count_specification_curve,3,1
R039_does_the_count_saturate,1,1
R040_discriminant_validity,3,1
R041_whitened_discriminant,2,1
R042_why_the_gate_failed,1,1
R043_power_substance_ladder,4,1
R044_additivity_variance_decomposition,1,1
R045_source_asymmetry_uncentred,1,1
R046_feasibility_or_role,2,1
R047_does_substance_reach_outside,1,1
R048_does_power_reach_outside,1,1
R050_onset_census,1,1
R056_shared_schedule,1,1
R057_the_unit_is_the_category,4,1
R058_synthetic_rival_world,4,1
R059_schedule_specification_curve,2,1
R060_rival_world_full_categories,1,1
R064_schedule_or_rarity,1,1
R065_rarity_or_censoring,2,1
R066_is_the_order_individual,1,1
R067_group_level_orderings,4,1
R068_the_tie_bias,1,1
R069_individual_order_with_a_stronger_instrument,4,1
R070_the_cap_audit_rerun,6,1
R071_reprice_the_capped_headlines,8,1
R072_modality_invariance,1,1
R073_deficit_reference_class,1,1
R074_coverage_confound,2,1
R075_matched_modality,1,1
R076_induction_timing,2,1
R077_timing_mde,5,1
R078_single_interest_power,2,1
R079_off_manifold,3,1
R080_manifold_mde,3,1
R081_matching_removed_it,1,1
R083_does_matching_correct_or_just_subsample,2,1
R087_nestedness,1,1
R089_non_sexual_variables,3,1
R090_specification_grid,2,1
R091_theta_or_coordinates,1,1
R092_escalating_match,1,1
R093_reliability_ceiling,4,1
R094_the_control_was_the_thing,2,1
R095_concentration_k_sweep,1,1
R096_nestedness_synthetic_controls,2,1
R097_shrink_the_person_effect,2,1
R098_is_breadth_content,2,1
R100_gated_vs_ungated_outcome,1,1
R101_forced_choice_vs_induction,2,1
R102_sweep_K_on_every_deficit,2,1
R103_is_the_coverage_law_one_point,1,1
R104_block_inclusion_sweep,2,1
R105_modality_properly_gated,2,1
R106_triple_matched_resolvability,1,1
R107_seed_spread_every_headline,1,1
R108_reconcile_max_vs_mean,1,1
R109_published_estimand_seed_spread,1,1
R110_graded_positive_control,1,1
R111_predictable_variance_sort,3,1
R112_item_person_interaction,6,1
R113_per_block_additive_floor,2,1
R114_fixed_margin_null,5,1
R115_rank_selected_by_prediction,3,1
R351_admission_threshold,1,1
R352_retro_scan,2,1
R354_two_profiles,1,1
R355_dose_response_and_mde,4,1
R356_joint_buffer_test,2,1
R357_guard21,1,1
R359_joint_amplify_test,1,1
R360_split_half_replication,2,1
R361_three_worlds,3,1
R362_reliability_sweep,3,1
R363_bias_grid,2,1
R116_derivation_or_measurement,3,1
R117_the_four_way_decomposition,5,1
R118_compute_matched_general_vs_specific,4,1
R119_how_many_cross_block_dimensions,2,1
R120_is_the_transfer_the_gate,3,1
R121_gate_or_demographics,4,1
R122_charge_the_shared_basis,3,1
R123_the_metric_was_never_swept,8,1
R124_rank_sweep_under_l1,4,1
R125_symmetric_correction,3,1
R126_does_the_specific_spectrum_have_a_cliff,3,1
R127_matched_dimensional_budget,4,1
R128_every_component_against_its_own_null,2,1
R129_soft_threshold_the_interaction,2,1
R130_regularised_throughout,2,1
R131_effective_rank_under_soft_threshold,3,1
R132_magnitude_in_percentage_points,3,1
R133_is_the_magnitude_shape_robust,2,1
R134_direct_interaction_variance,1,1
R364_retraction_risk,2,1
R365_bootstrap_intervals,1,1
R367_classify,3,1
R368_resolve_forward,1,1
R372_block_loadings,2,1
R373_structural_regression,1,1
R376_years_carried,1,1
R135_per_person_misfit,5,1
R136_row_preserving_null_more_seeds,4,1
R137_surprisal_conditioned_on_count,4,1
R138_surprisal_fixed_reference,4,1
R139_control_at_the_derived_magnitude,3,1
R140_spiky_or_flat,1,1
R141_sd_as_a_function_of_mean,2,1
R142_plants_rebased_on_the_null,2,1
R143_one_family_from_spiky_to_flat,2,1
R144_mixture_or_gradient,2,1
R145_how_broad_is_the_minority,1,1
R146_is_it_elevation_or_just_width,1,1
R147_is_it_a_trait,1,1
R148_external_correlates,1,1
R149_matched_difference_correlates,1,1
R150_does_the_onset_link_survive_breadth,1,1
R152_diffuse_or_concentrated,4,1
R153_paired_swap_diffuse,3,1
R154_rare_affinity_on_forced_choice,1,1
R155_rare_affinity_leave_block_out,2,1
R156_disjointness_audit,1,1
R378_increments_and_interactions,1,1
R379_familywise,2,1
R381_relative_onset,1,1
R382_cell_level,2,1
R384_explain_the_residual,1,1
R390_two_ends,1,1
R391_coverage_tradeoff,2,1
R393_wide_caliber_rerun,3,1
R394_wide_familywise,5,1
R157_does_order_matter,1,1
R158_type_or_restructuring,2,1
R159_is_there_a_dose,5,1
R160_between_pair_dose,2,1
R161_why_does_the_effect_shrink,4,1
R162_dose_on_the_correct_null,2,1
R163_dose_with_balance_controlled,2,1
R164_early_arrival_reshapes,2,1
R165_earliness_or_remembered_centrality,1,1
R166_does_memory_pull_beloved_earlier,2,1
R167_recall_corrected_onsets,1,1
R168_order_effect_vs_mean_rating,1,1
R169_fix_the_null_and_name_the_direction,2,1
R170_direction_at_double_n,1,1
R398_increment_compare,4,1
R399_ncat_as_predictor,1,1
R401_which_coordinate,2,1
R404_s_shame_vs_coverage,3,1
R406_guard22,1,1
R408_two_strata,1,1
R410_commonality_vs_person_variables,1,1
R411_is_it_one_kind_of_person,1,1
R412_where_along_the_line,2,1
R413_interaction_not_quintiles,2,1
R414_within_person_order,1,1
R417_card_vs_object,2,1
R418_removed_means_removed,1,1
R419_third_indicator_hunt,2,1
R171_memory_or_present_narrative,1,1
R172_which_interests_move,2,1
R420_identity_checker,4,1
R421_constrained_or_alone,1,1
R422_routes_by_sex,2,1
R423_early_by_sex_wide,2,1
R424_independent_confirmation,1,1
R425_S_by_sex,2,1
R428_believe_or_resign,1,1
R429_early_strata,2,1
R430_acted_then_belief,1,1
R433_family_from_blocks,1,1
R434_intensity_vs_breadth,1,1
R435_is_it_a_family,4,1
R436_resolve_the_scale,1,1
R437_is_it_just_responsiveness,1,1
R439_five_items_and_shame,1,1
R173_does_the_map_radiate_outward,3,1
R174_is_the_trait_link_just_coverage,1,1
R175_the_first_thing_you_ever_wanted,3,1
R176_is_the_schedule_a_mean_artifact,3,1
R177_is_the_first_bin_effect_censoring,2,1
R441_five_items_vs_c3,1,1
R442_therapeutic_scan,1,1
R443_partner_responsiveness,1,1
R444_flexibility,1,1
R445_shame_and_healing,1,1
R446_are_they_a_type,2,1
R447_both_halves,3,1
R448_beyond_its_parts,1,1
R449_stable_division_of_labour,3,1
R451_saturating_mde_audit,1,1
R455_wide_caliber_audience,1,1
R456_fantasy_has_no_audience,1,1
R457_difference_of_differences,1,1
R178_expansion_or_deepening,1,1
R180_is_there_a_boundary_at_all,2,1
R181_does_it_arrive_as_a_package,1,1
R458_arriving_off_schedule,2,1
R459_both_vs_therapeutic_only,2,1
R460_interaction_needs_all_four,3,1
R461_who_is_low_on_both,2,1
R462_faint_needs_an_anchor,2,1
R464_form_splits_them,1,1
R465_which_breadth,4,1
R466_find_the_unnamed,3,1
R467_the_mirror_fib,1,1
R468_the_biggest_unanchored_family,1,1
R472_the_last_unanchored_cell,1,1
R470_find_the_percolumn_nulls,1,1
R473_anchor_or_say_unverified,2,1
R182_do_they_have_different_external_anchors,3,1
R183_which_line_is_the_real_one,3,1
R184_are_the_two_sides_isomorphic,2,1
R185_what_are_the_extra_dimensions,1,1
R474_which_columns_partially_parse,1,1
R475_which_lessons_are_checkable,3,1
R476_who_is_at_risk_of_truncation,2,1
R186_reprice_the_three_axes,2,1
R187_hardcoded_verdict_constants,1,1
R191_split_delta_by_the_content_line,2,1
R192_is_the_breadth_link_an_arithmetic_bound,1,1
R196_amplify_with_forced_choice,2,1
R199_redraw_the_curveball_null,1,1
R205_what_versus_when_same_design,1,1
R206_three_quantities_one_machine,2,1
R208_position_or_content,1,1
R210_how_big_is_the_content_side,3,1
R211_does_leakage_need_a_noisy_covariate,6,1
R212_two_denominators_for_three_headline_claims,3,1
R213_the_tenth_guard_and_a_census,2,1
R214_does_the_public_face_promise_precision,7,1
R215_named_defects_still_live,1,1
R217_backtest_the_gate,1,1
R219_triage_the_forty_naked_numbers,3,1
R222_the_seventeen_uncited_lines,4,1
R223_literals_printed_as_results,1,1
R224_shame_and_the_position,1,1
R226_developmental_window_or_sequence_position,1,1
R227_within_person_slope,1,1
R228_is_it_recall_distance,2,1
R229_discriminant_panel,1,1
R231_reliability_band,1,1
R233_ten_outcomes_three_terms,1,1
R234_two_loading_vectors,1,1
R235_raw_content_or_algebra,2,1
R236_desex_the_content_score,1,1
R237_matched_conditioning_both_sides,2,1
R239_is_breadth_acquiescence,2,1
R241_per_category_decomposition,2,1
R242_is_the_loo_shape_a_sampling_fact,1,1
R243_the_distribution_of_rho_i,3,1
R245_three_predictors_one_outcome,2,1
R246_is_animated_written_one_axis,1,1
R248_look_at_the_loadings,1,1
R249_do_the_loadings_replicate,1,1
R250_pairwise_block_pc_correlations,1,1
R251_non_likert_panel,1,1
R252_rho_panel_controlling_age,1,1
R255_rerun_with_the_original_code,1,1
R256_delta_dose_curve_over_censoring,1,1
R257_within_person_split_at_14,2,1
R258_where_is_the_turning_point,1,1
R259_bootstrap_the_whole_curve,2,1
R260_which_categories_carry_the_late_half,2,1
R261_is_it_just_item_count,1,1
R263_three_nulls_on_the_late_half,1,1
R264_curveball_on_the_main_delta,1,1
R271_content_structure_by_position_tertile,3,1
R273_does_breadth_have_block_level_structure,1,1
R274_is_the_breadth_profile_one_dimension_or_several,4,1
R275_do_the_breadth_types_predict_different_things,2,1
R276_does_shame_attach_only_to_the_transgressive_half,1,1
R277_two_levels_one_mechanism_or_two,2,1
R278_how_wide_is_n_over_31,1,1
R279_does_the_profile_sharpen_with_shame,2,1
R281_rebuild_the_shape_on_the_onset_instrument,1,1
R282_dose_response_for_the_person_signal,1,1
R284_does_it_survive_rating_residualisation,1,1
R287_clear_211_on_the_intersection,1,1
R288_selection_amplification_or_heterogeneity,2,1
R289_early_or_remembers_early,2,1
R290_delta_as_a_function_of_when_you_got_your_eighth,3,1
R291_which_clock_is_delta_a_function_of,2,1
R292_the_rate_curve_and_whether_it_is_a_surface,3,1
R293_rate_and_delta_from_disjoint_categories,2,1
R294_guard_13_and_the_hand_written_direction_census,1,1
R295_does_rate_have_its_own_outcome_profile,1,1
R296_the_person_level_dimension_table,4,1
R297_do_the_breadth_types_survive_three_controls,2,1
R299_per_person_profile_strength,2,1
R300_subtractive_power_for_the_four,2,1
R301_guard_11_seed_layer_and_rescan,1,1
R302_reissue_the_public_counts_with_the_seed_layer,2,1
R303_transgressive_half_on_the_onset_instrument,1,1
R304_are_c3_and_D_the_same_thing,1,1
R308_regress_out_the_named_candidate,1,1
R311_residual_spectrum_after_six_coordinates,2,1
R312_which_layer_gives_out_first,1,1
R315_shared_measurement_error,1,1
R317_caliber_list_and_table_note,1,1
R324_what_does_form_point_at,1,1
R326_is_rate_really_not_a_dimension,1,1
R329_add_form_and_refresh,1,1
R333_gender_referential_split,2,1
