draw,biomale,age,openness,neuroticism,extroversion,conscientious,agreeable,powerlessness
1,-0.01738427193444208,0.0018255442975072076,-0.010107464218505717,-0.012775401730338242,-0.013318387250619965,-0.010375062337529644,-0.04344193898546847,0.001628321699257261
2,-0.027628912345383613,0.004958465893883357,-0.0009719447114436485,-0.0034740531462138253,-0.004923049005934131,-0.006694066374432455,-0.04029502734075938,0.019120224638447304
3,-0.007541209300084022,0.0013306535396480155,-0.007406216265437216,-0.01093729407821349,-0.02765973289682655,-0.014837103238778836,-0.05016865621497284,0.019422607953091663
4,-0.025361619429800773,0.00306154347556701,-0.0075138655866649855,0.0015980057363413616,-0.004381485736961289,-0.014654877701932512,-0.04088392612693527,0.03152161971646509
5,-0.013732670652863573,-0.0028098877467783025,-0.012525121643294656,-0.008463816959485403,-0.009275742475893608,-0.01792628449342269,-0.04474732761105248,0.011865227587542033
6,-0.029784938522794555,0.008070799918588846,-0.0033397284324808755,0.005222464488721052,0.005564751127028956,-0.008651712304924362,-0.049830967975266496,0.008838224100546547
7,-0.02941822886522108,0.015437490348205359,-0.014767661777307886,0.009358872511282956,-0.004097984812641464,0.004828611620237148,-0.032003246306895806,0.005816238644882982
8,-0.021998767599368554,0.0017137649116789819,-0.005116400912469516,0.006143571313162901,0.0005004783997397376,-0.004643886647809614,-0.036552156188425694,0.01293511024208755
9,-0.026399271255299103,-0.003455911878176978,-0.017700733663014924,0.0058741934599335285,-0.008862618956336506,-0.016899670122200863,-0.03515580998982458,0.00700873338458011
10,-0.02630747507997289,-0.0018278106207333744,-0.011555599019920147,-0.000956777565605961,-0.0012405439367246887,-0.00697516028539676,-0.05431234429344254,0.02111872936083607
