k,kind,n,r,sb,sb_null,sb_plant
4,S,6639,0.39498088269393333,0.5662885959141769,-0.00779793468495533,0.9915300216433546
4,z,6639,0.05956729498083293,0.1124370207782045,0.012303864767726746,0.6647101571326289
4,a,5451,0.06283611240723325,0.11824233609246643,-0.014589144412702698,0.47416389018387295
5,S,4291,0.436000738208285,0.607243055811083,0.05753242833745098,0.9933868245512307
5,z,6214,0.039457722679642135,0.07591982207400058,-0.010351566921782993,0.6592288845656972
5,a,5413,0.07864352255514093,0.14581930157768247,-0.04742596385589599,0.5124268379719249
6,S,2670,0.46308420327381955,0.6330246779202663,0.010525604628150038,0.9942432954137947
6,z,4887,0.05624470117061879,0.10649937672261683,-0.02497960706317684,0.6723936577509982
6,a,4385,0.10862331135381736,0.19596072036618076,0.046584438608662355,0.5474562170463197
7,S,1629,0.5171482063141907,0.6817372279937862,-0.021747493922120584,0.9950627926409275
7,z,3309,0.08755810851777618,0.16101780278592817,0.021751347724954673,0.6567612899216161
7,a,3046,0.10709429329708359,0.19346914521281042,-0.005899099724748944,0.5770289507694941
