k,seed,strength,covariate,n,resid,position
6,0,0.05,真值 u,1652,0.06393626797858723,0.6803742003253065
6,0,0.05,估计位置,1652,0.04483139766136319,0.6803742003253065
6,0,0.25,真值 u,1652,0.6416036424060587,0.91966764949356
6,0,0.25,估计位置,1652,0.5027131253583882,0.91966764949356
6,0,0.6,真值 u,1652,0.30492660705541086,0.9303461584458763
6,0,0.6,估计位置,1652,0.28501294477797656,0.9303461584458763
6,0,0.0,未回归,1652,0.07654529369232436,0.005770502275463478
6,1,0.05,真值 u,1792,0.03354267279838702,0.6924111989058408
6,1,0.05,估计位置,1792,0.045663048647976906,0.6924111989058408
6,1,0.25,真值 u,1792,0.22906253469124696,0.9041549499748361
6,1,0.25,估计位置,1792,0.1897380128191924,0.9041549499748361
6,1,0.6,真值 u,1792,0.4992412243850927,0.9123562469762124
6,1,0.6,估计位置,1792,0.4470035074256504,0.9123562469762124
6,1,0.0,未回归,1792,0.03462102990947299,0.03313614147350661
6,2,0.05,真值 u,933,0.05397422191441107,0.6159853394570853
6,2,0.05,估计位置,933,0.05727713664219555,0.6159853394570853
6,2,0.25,真值 u,933,0.47114125696842113,0.8672530005148095
6,2,0.25,估计位置,933,0.32154784728348135,0.8672530005148095
6,2,0.6,真值 u,933,0.2642542970334459,0.8807803988673046
6,2,0.6,估计位置,933,0.2618114696969989,0.8807803988673046
6,2,0.0,未回归,933,0.06042077113032644,0.08097279947275195
6,3,0.05,真值 u,1461,0.10918661412920394,0.6197795479503818
6,3,0.05,估计位置,1461,0.09646342832754165,0.6197795479503818
6,3,0.25,真值 u,1461,0.006174139336603619,0.8855367155254914
6,3,0.25,估计位置,1461,0.09552632652993477,0.8855367155254914
6,3,0.6,真值 u,1461,0.2490172005001927,0.8997041934017262
6,3,0.6,估计位置,1461,0.08350756379384201,0.8997041934017262
6,3,0.0,未回归,1461,0.1217998714591445,0.11488409069573943
6,4,0.05,真值 u,819,0.007052675842933988,0.6699154131974778
6,4,0.05,估计位置,819,0.0017614963132448727,0.6699154131974778
6,4,0.25,真值 u,819,0.2382790499212793,0.8903655069162417
6,4,0.25,估计位置,819,0.10681155163462468,0.8903655069162417
6,4,0.6,真值 u,819,0.34227276905653947,0.9015036363555653
6,4,0.6,估计位置,819,0.32306020190566964,0.9015036363555653
6,4,0.0,未回归,819,0.10032419546937245,0.053539961536286755
6,5,0.05,真值 u,1175,0.024086378484189597,0.6786465393584034
6,5,0.05,估计位置,1175,0.020858024182098134,0.6786465393584034
6,5,0.25,真值 u,1175,0.1383814656940285,0.9121682347413513
6,5,0.25,估计位置,1175,0.15385677212713364,0.9121682347413513
6,5,0.6,真值 u,1175,0.05002968894196821,0.9232505169194194
6,5,0.6,估计位置,1175,0.17324106714459458,0.9232505169194194
6,5,0.0,未回归,1175,0.0009680161193196137,0.025727266726850773
8,0,0.05,真值 u,1101,0.14140085973457214,0.7210215128138081
8,0,0.05,估计位置,1101,0.15661068876512577,0.7210215128138081
8,0,0.25,真值 u,1101,0.01810382232149944,0.9220267335726411
8,0,0.25,估计位置,1101,0.05245299663056779,0.9220267335726411
8,0,0.6,真值 u,1101,0.05522461510329157,0.9300414466003709
8,0,0.6,估计位置,1101,0.18139144863130463,0.9300414466003709
8,0,0.0,未回归,1101,0.12297895253347588,0.000945772320028564
8,1,0.05,真值 u,460,0.025097598810462213,0.7056693058406351
8,1,0.05,估计位置,460,0.10328460630114794,0.7056693058406351
8,1,0.25,真值 u,460,0.08364012123474039,0.902581925782483
8,1,0.25,估计位置,460,0.2469811099265416,0.902581925782483
8,1,0.6,真值 u,460,0.10504388773369032,0.9124166775963494
8,1,0.6,估计位置,460,0.2161058622343107,0.9124166775963494
8,1,0.0,未回归,460,0.04275928026859144,0.05037696692376792
8,2,0.05,真值 u,1144,0.037874029396779384,0.7023966813679493
8,2,0.05,估计位置,1144,0.046378229474695915,0.7023966813679493
8,2,0.25,真值 u,1144,0.2396191623167971,0.9113802012913691
8,2,0.25,估计位置,1144,0.263674436673452,0.9113802012913691
8,2,0.6,真值 u,1144,0.057719196915811996,0.921043273206863
8,2,0.6,估计位置,1144,0.14129819903888727,0.921043273206863
8,2,0.0,未回归,1144,0.09628263369413334,0.1169283850887367
8,3,0.05,真值 u,1288,0.004279276350937896,0.7060227545407161
8,3,0.05,估计位置,1288,0.012114572837955726,0.7060227545407161
8,3,0.25,真值 u,1288,0.25980883799470367,0.918993066919633
8,3,0.25,估计位置,1288,0.0515270161384316,0.918993066919633
8,3,0.6,真值 u,1288,0.24228575464414345,0.9281853987958062
8,3,0.6,估计位置,1288,0.23985033999096503,0.9281853987958062
8,3,0.0,未回归,1288,0.007581689761540267,0.0942536225643842
8,4,0.05,真值 u,1136,0.027967057508472313,0.7284302786074917
8,4,0.05,估计位置,1136,0.027938636240339175,0.7284302786074917
8,4,0.25,真值 u,1136,0.3046470454456253,0.9218789967954579
8,4,0.25,估计位置,1136,0.21494396622028214,0.9218789967954579
8,4,0.6,真值 u,1136,0.3973407559720479,0.9304723377707775
8,4,0.6,估计位置,1136,0.35425410613158037,0.9304723377707775
8,4,0.0,未回归,1136,0.13080417933603103,0.14235626649545882
8,5,0.05,真值 u,669,0.01175298249914772,0.7013826578127258
8,5,0.05,估计位置,669,0.004201226559621413,0.7013826578127258
8,5,0.25,真值 u,669,0.14002269945249798,0.8939766595585769
8,5,0.25,估计位置,669,0.2501565911836608,0.8939766595585769
8,5,0.6,真值 u,669,0.6134112769136714,0.9023719832852922
8,5,0.6,估计位置,669,0.5779699264190223,0.9023719832852922
8,5,0.0,未回归,669,0.03273247476511702,0.08433618952108747
