seed,world,n,r_half,r_half_sd,rel,r_resid,rel_resid,r_vs_picks
1,real,7316,0.47456426396309287,0.0018457716683309745,0.6436671165319531,0.2686645958286376,0.42353920289413827,0.6077335031244112
1,cb,7316,0.3643003744789511,0.004922910435289869,0.5340471662892908,-0.011994098282424924,-0.024279406148433064,0.7194725984095299
1,plant,7316,0.7334605871646742,0.002190018026900875,0.846238550325918,0.720664184104305,0.8376581447581513,0.2307155851648496
2,real,7316,0.4827399251648307,0.007368243782732651,0.6511457835212285,0.2781707031671589,0.4352637757662324,0.6079204316943551
2,cb,7316,0.3632876583823699,0.006443464994958099,0.5329581855284079,-0.008990205194523844,-0.018143524396322476,0.7168900080608162
2,plant,7316,0.7274345222162193,0.0020286623649949393,0.8422137138754807,0.711374902637781,0.8313489949412285,0.25378227703758666
3,real,7316,0.4806364602735886,0.00946017441524288,0.6492295349592805,0.2757235127719027,0.43226217908739234,0.60781585662568
3,cb,7316,0.3633122594296634,0.0027939812787431684,0.5329846583814243,-0.018887810128979773,-0.038502854870171,0.72188933011285
3,plant,7316,0.7262520809389001,0.004072615743322461,0.8414206580349437,0.7113502169016027,0.8313321374855712,0.2444157074224221
4,real,7316,0.4885641023409744,0.005925220789905192,0.6564233298017053,0.2862861593020626,0.4451360332717894,0.6070672617404652
4,cb,7316,0.3723493664511013,0.004429327795677746,0.5426451537103816,-0.007908704747400725,-0.015943501944318678,0.7198635330851255
4,plant,7316,0.7273210048513666,0.003804445004698312,0.8421376256163242,0.7106498350710463,0.8308536563142179,0.2557251265430572
5,real,7316,0.4884750056473189,0.0043628099331296825,0.6563429063894658,0.28596018070277857,0.4447418901361332,0.6070573043916019
5,cb,7316,0.3757038465552817,0.008767904328484418,0.5461987294664212,0.004311052673459236,0.008585094552097751,0.717342082668785
5,plant,7316,0.725061112439129,0.005180456558188623,0.8406207840531954,0.7076302680763243,0.8287862792142732,0.26076835512460533
6,real,7316,0.4816256670080576,0.0072591366900144625,0.6501313762748663,0.2767117865843229,0.43347572959223546,0.6079870285657358
6,cb,7316,0.3630572287436551,0.00366575064153106,0.5327101769282115,-0.014219839640121025,-0.028849920523719583,0.7183585218086989
6,plant,7316,0.7204855005229285,0.004447515704072489,0.8375374280154554,0.7053714965611805,0.82723500185565,0.24415547913180924
7,real,7316,0.4792834392541594,0.006839187717790202,0.6479940578471013,0.2742253012250444,0.4304188607170228,0.607663955770868
7,cb,7316,0.3611932808783851,0.007556741644215942,0.5307009459307721,-0.019117722083866865,-0.038980665701254434,0.7201934274657416
7,plant,7316,0.7237399112535177,0.0014511019578226782,0.8397321504579054,0.709756186583801,0.8302425716054147,0.23673791380031797
8,real,7316,0.4748368400003438,0.004559874749737464,0.6439177909337187,0.26944221090260895,0.42450488661634783,0.6073454526114352
8,cb,7316,0.3606449098912527,0.0033491475511815,0.5301087848409717,-0.01851119583076204,-0.037720645925106565,0.7200023994495943
8,plant,7316,0.7237910158089367,0.002491345765384754,0.8397665484632749,0.7089839945384777,0.8297140251801404,0.24324911734374052
