entry,n_ctx,n_magnitudes,asserts_magnitude,sample
11,2,8,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
15,2,8,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
20,3,12,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
26,2,8,True,"82.7%, 10%, +0.2922, 85%, 82.7%"
64,2,0,False,
82,2,2,True,"−0.135, −0.135"
87,2,0,False,
89,2,0,False,
101,2,6,True,"+0.093, +0.141, +0.023, +0.093, +0.141"
102,4,12,True,"+0.093, +0.141, +0.023, −0.030, −0.028"
122,2,0,False,
129,2,22,True,"−0.0459, −0.0417, 91%, 100%, 17%"
130,6,60,True,"−0.0328, +0.0018, +0.0767, 4%, −0.5515"
134,2,8,True,"33.3%, 89%, −0.0165, −0.0069, 33.3%"
135,2,22,True,"−0.0127, +0.0210, −0.0048, 31%, 8.6%"
136,2,22,True,"−0.0127, +0.0210, −0.0048, 31%, 8.6%"
137,2,8,True,"+0.0706, +0.0816, +0.0593, −0.0441, +0.0706"
138,2,8,True,"+0.083, +0.088, −0.064, −0.059, +0.083"
139,4,8,True,"+0.083, +0.088, −0.064, −0.059, +0.083"
140,2,0,False,
142,2,2,True,"+0.0339, +0.0339"
143,2,10,True,"+1.018, +0.023, +0.605, 37%, 5%"
144,1,0,False,
147,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
148,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
149,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
150,2,22,True,"−0.0459, −0.0417, 91%, 100%, 17%"
151,2,22,True,"−0.0459, −0.0417, 91%, 100%, 17%"
152,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
154,2,6,True,"+0.093, +0.141, +0.023, +0.093, +0.141"
159,4,32,True,"+0.5321, −0.5515, +0.191, 61%, 104%"
