cat,rarity,n_people,loo_delta
How old were you when you first experienced sexual i,1.675978048444958,2901,-0.0016207539568002735
How old were you when you first experienced interest,0.830750582172063,6755,0.0024975166044630195
How old were you when you first experienced sexual i,0.5778254770588214,8699,0.0031643571982704136
How old were you when you first experienced interest,0.6495399308802479,8097,-0.00019957847632209175
How old were you when you first experienced interest,0.28727363279306156,11632,0.0014370741527734918
How old were you when you first experienced sexual i,0.8357966005963963,6721,-0.00030809415325881717
How old were you when you first experienced interest,1.7359996118756815,2732,-0.001380842234981798
How old were you when you first experienced sexual i,0.917129631029603,6196,-0.0018726971145695513
How old were you when you first experienced interest,0.5720941454600976,8749,0.0005813959309354452
How old were you when you first experienced interest,1.8663984969789025,2398,0.0010862654703674493
How old were you when you first experienced sexual i,1.0417549371503354,5470,-9.793783018779284e-05
How old were you when you first experienced sexual i,0.5730089539858743,8741,0.0022856714747871917
How old were you when you first experienced sexual i,1.4227504030808782,3737,0.0010552609703726804
How old were you when you first experienced sexual i,1.614806097883142,3084,0.0009026671524543298
How old were you when you first experienced sexual i,0.8700009034616624,6495,-0.0003615415631738478
How old were you when you first experienced interest,1.6170784572443202,3077,-0.0018132605125481503
How old were you when you first experienced interest,1.6842854690148141,2877,-0.003866056923631893
How old were you when you first experienced interest,0.6196106896642877,8343,0.00076145431226219
How old were you when you first experienced interest,2.190602675225875,1734,0.0006209754874770684
How old were you when you first experienced interest,2.208055125177101,1704,0.0006410592258542167
How old were you when you first experienced interest,1.3200962490207948,4141,0.0022083038637848995
How old were you when you first experienced interest,2.9529899155078705,809,0.0004819807530076006
How old were you when you first experienced interest,1.5102240953047295,3424,-0.0027452777168889032
How old were you when you first experienced sexual i,1.6650077635889111,2933,-0.002970844033246458
How old were you when you first experienced interest,3.4104642075268545,512,0.0002370128912376271
How old were you when you first experienced interest,2.4649181175039097,1318,0.001139817879228816
How old were you when you first experienced sexual i,1.108074446108779,5119,-0.0016102860470660028
How old were you when you first experienced interest,3.198318410422186,633,-0.00019909686607309796
How old were you when you first experienced interest,3.649852270619679,403,0.00017132703265398952
How old were you when you first experienced interest,0.43525356969366025,10032,-0.0031618172522424673
At what age did you begin watching porn or reading e,0.11448267606115183,13826,0.00838441164407673
