field,Cres(内容),n,S(位置),rho_i(何时)
age(段中点),0.026065078242626296,6639,-0.014086876783892407,0.1563438354927794
openness,0.012862164362904398,6639,-0.000788945181986754,0.0388995513320509
conscientiousness,0.03748319113086799,6639,-0.05896077317944786,0.028569402977463982
extroversion,0.04974337299738958,6639,-0.02986400833455939,0.02570975157416447
neuroticism,-0.03839104137474406,6639,-0.011030691961622952,-0.008562167809814258
agreeableness,-0.0162271079836051,6639,-0.06412657876182276,0.027233623297793733
powerlessness,-0.041970597055651454,6639,0.03170246055257811,-0.014771969945832863
关系风格(非一对一=1),0.003154277159636138,6638,0.06143962193860976,0.0008607566546963931
0–14 岁被打屁股,0.0075667498470503225,6637,0.002367361891403868,0.05029566219365315
自评吸引力,0.045200857871847765,6638,-0.030716295915697994,0.031411884089055674
成长期性开放度,0.006422156787272231,6639,-0.009895946370056159,-0.016497129332138778
【正对照】由 Cres 造的合成结局,0.41796168287810304,6639,-0.08984673321843803,0.023457912184591305
