seed,side,n,u_pass,rho_pass,adv,thr_u,thr_r
0,A,4972,12,5,7,0.046834409579710155,0.04483113106306369
0,B,4972,12,5,7,0.041207917995079675,0.042606270968370615
1,A,4972,16,5,11,0.04266912143165383,0.044791117950843375
1,B,4972,10,9,1,0.04331315058148791,0.038167871931015285
2,A,4972,10,7,3,0.04842563973214188,0.0416375465669321
2,B,4972,11,6,5,0.0475995293195996,0.04364435310382165
3,A,4972,10,4,6,0.04868217794248782,0.04586469634377823
3,B,4972,11,6,5,0.04387646031714967,0.043550412231072685
4,A,4972,10,5,5,0.049549109271776096,0.04415803120221341
4,B,4972,10,5,5,0.047407103175627706,0.04686356469778393
5,A,4972,13,5,8,0.04173776629618741,0.041822229579656915
5,B,4972,13,4,9,0.04199645968792259,0.04536360933426064
6,A,4972,12,6,6,0.044155184104068705,0.040723078616700784
6,B,4972,10,5,5,0.05096046547457088,0.04488018377217
7,A,4972,12,5,7,0.042742360236274916,0.0429419554336832
7,B,4972,13,7,6,0.04212963131966881,0.04296186336560088
