pop,seed,observed,null,excess,pct_of_gap
real,1,0.7929920455021032,0.7275256411313287,0.06546640437077456,24.026629383621525
NESTED [pos ctrl],1,1.0,0.7267945820939736,0.27320541790602637,100.0
base-rate [neg ctrl],1,0.7273067460906527,0.7278328431232939,-0.0005260970326411707,-0.19329923517535103
real,2,0.792918194916521,0.7284628918951391,0.06445530302138192,23.73719874651198
NESTED [pos ctrl],2,1.0,0.729224325407099,0.270775674592901,100.0
base-rate [neg ctrl],2,0.7266924866125977,0.7262719029822187,0.00042058363037900115,0.15365014953203
real,3,0.7934094293556793,0.726792718708741,0.0666167106469383,24.383212018394193
NESTED [pos ctrl],3,1.0,0.7268325330315315,0.2731674669684685,100.0
base-rate [neg ctrl],3,0.7265202349220359,0.7267272897250109,-0.00020705480297500412,-0.07576856202240202
real,4,0.7939457421545996,0.7282860109224798,0.06565973123211977,24.165016845484168
NESTED [pos ctrl],4,1.0,0.726880465939057,0.273119534060943,100.0
base-rate [neg ctrl],4,0.7292174237541751,0.7280373020565117,0.00118012169766335,0.43392778001804133
real,5,0.7935014866588319,0.7283499373635566,0.06515154929527534,23.983631243431518
NESTED [pos ctrl],5,1.0,0.7267371037428344,0.2732628962571656,100.0
base-rate [neg ctrl],5,0.7274872865645706,0.7275471754790084,-5.988891443775568e-05,-0.021981388720432014
