entry,n_ctx,n_magnitudes,asserts_magnitude,sample
11,2,8,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
15,2,8,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
20,4,16,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
26,2,12,True,"82.7%, 10%, +0.2922, +0.2523, 85%"
59,2,8,True,"87%, +0.0409, +0.0290, +0.0606, 87%"
60,2,6,True,"6.4%, 11.2%, 51.9%, 6.4%, 11.2%"
64,2,0,False,
82,2,2,True,"−0.135, −0.135"
87,2,0,False,
89,2,0,False,
101,4,24,True,"28%, 28.9%, 27.8%, 29%, 42%"
102,4,12,True,"+0.093, +0.141, +0.023, −0.030, −0.028"
111,16,170,True,"−0.371, −0.005, +0.185, +0.539, +0.0468"
122,2,0,False,
129,4,70,True,"+0.1155, −0.1063, −0.0630, +0.0707, +0.0029"
130,6,144,True,"−0.0328, +0.0018, +0.0767, 4%, +0.0055"
134,2,8,True,"33.3%, 89%, −0.0165, −0.0069, 33.3%"
135,2,22,True,"−0.0127, +0.0210, −0.0048, 31%, 8.6%"
136,2,22,True,"−0.0127, +0.0210, −0.0048, 31%, 8.6%"
137,2,8,True,"+0.0706, +0.0816, +0.0593, −0.0441, +0.0706"
138,2,8,True,"+0.083, +0.088, −0.064, −0.059, +0.083"
139,4,8,True,"+0.083, +0.088, −0.064, −0.059, +0.083"
140,2,0,False,
142,2,4,True,"+0.0339, 6%, +0.0339, 6%"
143,2,10,True,"+1.018, +0.023, +0.605, 37%, 5%"
144,1,0,False,
147,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
148,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
149,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
150,2,22,True,"−0.0459, −0.0417, 91%, 100%, 17%"
151,2,22,True,"−0.0459, −0.0417, 91%, 100%, 17%"
152,2,30,True,"−0.5515, +0.191, 61%, 104%, 80%"
154,2,6,True,"+0.093, +0.141, +0.023, +0.093, +0.141"
159,4,32,True,"+0.5321, −0.5515, +0.191, 61%, 104%"
169,2,8,True,"+0.815, +0.127, −0.294, +0.815, +0.815"
186,2,153,True,"+0.1185, +0.1155, +0.1154, +0.1132, 4.5%"
188,2,48,True,"+0.1155, −0.1063, −0.0630, +0.0707, +0.0029"
211,2,92,True,"−0.0328, +0.0018, +0.0767, 4%, +0.0055"
212,2,92,True,"−0.0328, +0.0018, +0.0767, 4%, +0.0055"
213,2,92,True,"−0.0328, +0.0018, +0.0767, 4%, +0.0055"
227,2,48,True,"+0.1155, −0.1063, −0.0630, +0.0707, +0.0029"
237,2,153,True,"+0.1185, +0.1155, +0.1154, +0.1132, 4.5%"
251,2,0,False,
271,2,6,True,"1.4%, 1.21%, 1.4%, 1.4%, 1.21%"
289,4,159,True,"+0.5316, +0.0226, 56%, +0.1185, +0.1155"
298,2,375,True,"−0.1229, −0.1172, +0.9039, +0.9973, −0.2061"
299,2,375,True,"−0.1229, −0.1172, +0.9039, +0.9973, −0.2061"
301,2,38,True,"1.4%, 7.8%, 2.8%, 0.14%, 49%"
302,2,38,True,"1.4%, 7.8%, 2.8%, 0.14%, 49%"
