v_cat,v_mu,v_se,v_n,v_rar,v_res
How old were you when you first experienced ,0.688728024819028,0.034670092029064105,2901,1.675978048444958,-0.04456096444547464
How old were you when you first experienced ,0.42901554404145076,0.0226922835867729,6755,0.830750582172063,-0.1488732622086843
How old were you when you first experienced ,0.491780664444189,0.0198038291990515,8699,0.5778254770588214,-0.03960633111959544
How old were you when you first experienced ,0.4893170309991355,0.020749647806508766,8097,0.6495399308802479,-0.05525510074789142
How old were you when you first experienced ,0.4604539202200825,0.01715388403279607,11632,0.28727363279306156,-0.017513361035124186
How old were you when you first experienced ,0.5148043445915786,0.022900102388452172,6721,0.8357966005963963,-0.06401220267257357
How old were you when you first experienced ,1.0446559297218154,0.03358443170149898,2732,1.7359996118756815,0.3003316129104304
How old were you when you first experienced ,0.605067785668173,0.023420887478869105,6196,0.917129631029603,0.011297668721569454
How old were you when you first experienced ,0.42439135901245856,0.01967574181778437,8749,0.5720941454600976,-0.10594189656428415
How old were you when you first experienced ,0.9699749791492911,0.03680097129308351,2398,1.8663984969789025,0.20167603844255877
How old were you when you first experienced ,0.7870201096892139,0.024516949184087578,5470,1.0417549371503354,0.17033687627139227
How old were you when you first experienced ,0.5346070243679213,0.019712198580242334,8741,0.5730089539858743,0.004105575709432596
How old were you when you first experienced ,0.7843189724377844,0.02935762359977393,3737,1.4227504030808782,0.097587417715015
How old were you when you first experienced ,0.566147859922179,0.033411570102433126,3084,1.614806097883142,-0.15589429616193706
How old were you when you first experienced ,0.5284064665127021,0.022977639752408144,6495,0.8700009034616624,-0.05669874875768499
How old were you when you first experienced ,0.7559311017224569,0.03318054722368814,3077,1.6170784572443202,0.03347115862278327
How old were you when you first experienced ,0.5908932916232186,0.035006900227534776,2877,1.6842854690148141,-0.1439230671701348
How old were you when you first experienced ,0.5004195133644972,0.02027661653461406,8343,0.6196106896642877,-0.03864994632319585
How old were you when you first experienced ,0.9775086505190311,0.04357100346355034,1734,2.190602675225875,0.1496028103160444
How old were you when you first experienced ,0.8755868544600939,0.043781169380109855,1704,2.208055125177101,0.04447227575215906
How old were you when you first experienced ,0.7121468244385414,0.02863525172309554,4141,1.3200962490207948,0.044288856962606205
How old were you when you first experienced ,0.7898640296662547,0.07068768204622061,809,2.9529899155078705,-0.1782113168473436
How old were you when you first experienced ,1.0035046728971964,0.031037685422373902,3424,1.5102240953047295,0.30069055067284034
How old were you when you first experienced ,0.8591885441527446,0.0336120702088977,2933,1.6650077635889111,0.12791650812553657
How old were you when you first experienced ,0.75390625,0.0867106597150805,512,3.4104642075268545,-0.29827851266591887
How old were you when you first experienced ,1.1206373292867982,0.047526852533118044,1318,2.4649181175039097,0.24229693550541365
How old were you when you first experienced ,0.46727876538386404,0.026393506725930726,5119,1.108074446108779,-0.16159771096655018
How old were you when you first experienced ,0.8515007898894155,0.07599444046224006,633,3.198318410422186,-0.16167968456854032
How old were you when you first experienced ,1.1538461538461537,0.09139000391551887,403,3.649852270619679,0.05764844756386056
How old were you when you first experienced ,0.3696172248803828,0.01839255551094413,10032,0.43525356969366025,-0.13555706300253206
At what age did you begin watching porn or r,0.4667293504990597,0.015592103726741817,13826,0.11448267606115183,0.020530731965820115
