col,anchor,n,r,null_sd,z
violentporn,Totalsexacts,14047,0.14019630117441828,0.008443908295523234,16.603247722236294
violentporn,totalfetishcategory,14188,0.19134833435370438,0.00814010162827236,23.506872898135523
inducefetish,Totalsexacts,13608,0.20679741509767252,0.008637646078952527,23.941408713373736
inducefetish,totalfetishcategory,13747,0.20400378935521843,0.008893677313612543,22.938069615250484
"""I find age-related things (beyond ""normal"" stuff like being attracted to people",Totalsexacts,4207,0.0766260013845569,0.015511836084279864,4.939840839487201
"""I find age-related things (beyond ""normal"" stuff like being attracted to people",totalfetishcategory,4223,0.10305058825186318,0.014854906200939117,6.93714163239539
secretions,Totalsexacts,3157,0.08755626077220799,0.017779359798979915,4.9246014345933595
secretions,totalfetishcategory,3163,0.06764154652599377,0.01728373039980266,3.9135964841690702
lightbondage,Totalsexacts,8660,0.1465850143908711,0.010690897120817545,13.71119867063706
lightbondage,totalfetishcategory,8702,0.11027877217557952,0.010916795197259837,10.101753324387726
mediumbondage,Totalsexacts,8659,0.2283404765226123,0.01074879704989434,21.243351740914754
mediumbondage,totalfetishcategory,8701,0.18196545210874643,0.009754134190401042,18.65521311853768
extremebondage,Totalsexacts,8659,0.21656305370606158,0.010708365520787423,20.22372632738978
extremebondage,totalfetishcategory,8701,0.22881403163714795,0.010889279720495653,21.012779312343067
clothing,Totalsexacts,8207,0.17384113565485074,0.011068982722822052,15.705249525453203
clothing,totalfetishcategory,8258,0.11497478080691667,0.010446482538109774,11.006076005725143
eagerness,Totalsexacts,11689,0.1982044546656553,0.00912979634218466,21.709624972666933
eagerness,totalfetishcategory,11759,0.12987701672926424,0.00904571404898414,14.35785124601079
worshipped,Totalsexacts,11566,0.19153557315060835,0.009508764177445872,20.143056403156724
worshipped,totalfetishcategory,11633,0.12649734573340782,0.008305346438472106,15.230833135080987
worshipping,Totalsexacts,11566,0.19983940280098342,0.008994165670161529,22.218781611279177
worshipping,totalfetishcategory,11633,0.16310622146954185,0.008658587722766942,18.837508689860517
teasing,Totalsexacts,11566,0.124308608040859,0.008722282370540617,14.251844042645253
teasing,totalfetishcategory,11633,0.085180517771862,0.010098192709762113,8.43522402672276
frustration,Totalsexacts,11566,0.14908639113470723,0.009844179466480548,15.14462344396978
frustration,totalfetishcategory,11633,0.15231919242430747,0.0091367952191895,16.67096490292351
exhibitionself,Totalsexacts,6702,0.16310185837109692,0.012429138235076645,13.1225395748518
exhibitionself,totalfetishcategory,6723,0.1263244912444489,0.012811377659521485,9.860336226257747
exhibitionother,Totalsexacts,6702,0.1950919288927909,0.011728125939993348,16.63453563604055
exhibitionother,totalfetishcategory,6723,0.17146954089757557,0.010765646457391484,15.927472778919645
voyeurself,Totalsexacts,6702,0.17195667810130622,0.012090633980547931,14.22230450263894
voyeurself,totalfetishcategory,6723,0.1822140404584694,0.012577033373919617,14.487839464298297
voyeurother,Totalsexacts,6702,0.20436546734625116,0.012761704225619924,16.013963631595114
voyeurother,totalfetishcategory,6723,0.1972984447647028,0.011598199508216835,17.011126996472612
genderplay,Totalsexacts,2811,0.11384733809036356,0.017727781647424126,6.421973169265978
genderplay,totalfetishcategory,2828,0.0941698124734566,0.017773438721239956,5.298345128954701
futa,Totalsexacts,2716,0.15394351998423847,0.0197564966918063,7.7920454413400195
futa,totalfetishcategory,2732,0.15681420502258828,0.01998489881918351,7.846634923768654
multiplepartners,Totalsexacts,6250,0.1789121861827386,0.011813959294993102,15.144134300391888
multiplepartners,totalfetishcategory,6264,0.10519745868769949,0.012235766859475175,8.597537031872777
gentleness,Totalsexacts,8735,0.08835029287234966,0.009930898251650873,8.89650569702118
gentleness,totalfetishcategory,8837,0.037182456946273625,0.010514378603794807,3.536343739120625
nonconsent,Totalsexacts,5584,0.11868235890666878,0.01411377393432453,8.408974060299684
nonconsent,totalfetishcategory,5603,0.1453781803210102,0.014598370246917305,9.95852125011758
incest,Totalsexacts,2417,0.08134867461459483,0.02107605367417644,3.8597678612988053
incest,totalfetishcategory,2424,0.0791743713421998,0.021961317674709373,3.605173993424671
mentalalteration,Totalsexacts,3012,0.10761749194846058,0.0188836263025426,5.698984412436204
mentalalteration,totalfetishcategory,3022,0.17453775321522563,0.01583347945612422,11.023335312928726
powerdynamic,Totalsexacts,8762,0.1704340980846425,0.011290601179049755,15.095219057147377
powerdynamic,totalfetishcategory,8799,0.15545994493086307,0.010672999622213169,14.565721955738875
"""I find primal play to be:"" (9rncgqc)",Totalsexacts,8705,0.18113556596758806,0.009941174393295086,18.220741212402086
"""I find primal play to be:"" (9rncgqc)",totalfetishcategory,8742,0.22023802567470344,0.011093804456794578,19.852344300139087
obedience,Totalsexacts,8706,0.21966274198447477,0.009818308626876163,22.372768094005583
obedience,totalfetishcategory,8743,0.21560168913196517,0.010992604558779186,19.613339857638746
mindbreak,Totalsexacts,8706,0.2061420316058524,0.011006347238354763,18.729377434821572
mindbreak,totalfetishcategory,8743,0.26705368965925264,0.01044495645206357,25.567716905750416
masterslave,Totalsexacts,8706,0.23641416356368042,0.010829460290569129,21.830650579102496
masterslave,totalfetishcategory,8743,0.26950772006023094,0.010594883325688278,25.437535438147247
mythical,Totalsexacts,3782,0.0521024877644295,0.016925842592121994,3.0782802971758825
mythical,totalfetishcategory,3808,0.1916924694494022,0.016670422480954933,11.498956890168836
fulltimepower,Totalsexacts,8706,0.19830099453968544,0.01046145948945134,18.955385215575262
fulltimepower,totalfetishcategory,8743,0.22654190564230184,0.011154313548349127,20.30980254054547
objects,Totalsexacts,3219,0.19224065711151564,0.016719324561649828,11.498111445989283
objects,totalfetishcategory,3229,0.1435422491321852,0.017331091061823775,8.28235502428201
roles,Totalsexacts,6711,0.19400967146339762,0.0131449567743395,14.759247580191918
roles,totalfetishcategory,6739,0.162926548618953,0.012537744430952333,12.994885125966597
pregnancy,Totalsexacts,3111,0.10663859876339751,0.017655391250997268,6.040002016798921
pregnancy,totalfetishcategory,3125,0.11398971542142289,0.017899652949538117,6.368263996110845
sensory,Totalsexacts,3188,0.15257510624661702,0.017549603625483308,8.693934604030988
sensory,totalfetishcategory,3206,0.16267300832276488,0.01574813839566453,10.32966590943529
toys,Totalsexacts,8391,0.21426523239846623,0.010551186392979337,20.3072170671761
toys,totalfetishcategory,8408,0.12677561880541904,0.011870450810764268,10.67993295507003
transform,Totalsexacts,1842,0.030426346539830836,0.02252594204869922,1.3507247099389494
transform,totalfetishcategory,1864,0.10135013836131188,0.021600096835788563,4.692114999845177
abnormalbody,Totalsexacts,2339,0.06356143866018611,0.019651440484390343,3.23444170470224
abnormalbody,totalfetishcategory,2359,0.13167488329213545,0.01855356680660798,7.097011839536888
genderswapped,Totalsexacts,1686,0.23220157420976784,0.02248408980498794,10.327372654340472
genderswapped,totalfetishcategory,1702,0.25757888944193885,0.024785209815997924,10.392443370629904
agegap,Totalsexacts,4126,0.129937361559862,0.01722919649327256,7.541695958403997
agegap,totalfetishcategory,4141,0.10877917228111429,0.016550450002401854,6.5725809428340565
older,Totalsexacts,4126,0.12998188868945004,0.014706573544195616,8.838353019405478
