perm,n_negative
0,69
1,70
2,64
3,81
4,59
5,75
6,76
7,71
8,80
9,66
10,71
11,97
12,58
13,86
14,43
15,82
16,67
17,74
18,70
19,56
20,68
21,74
22,45
23,64
24,68
25,55
26,51
27,63
28,71
29,90
30,45
31,48
32,77
33,84
34,51
35,53
36,65
37,59
38,53
39,68
40,68
41,93
42,59
43,81
44,79
45,72
46,65
47,71
48,66
49,51
50,94
51,58
52,34
53,79
54,97
55,53
56,65
57,65
58,52
59,48
60,49
61,38
62,76
63,45
64,74
65,80
66,64
67,50
68,74
69,80
70,67
71,81
72,85
73,62
74,59
75,80
76,64
77,45
78,84
79,87
80,85
81,72
82,78
83,52
84,65
85,38
86,59
87,48
88,67
89,82
90,55
91,60
92,70
93,63
94,49
95,90
96,69
97,74
98,71
99,78
100,67
101,67
102,46
103,77
104,72
105,35
106,54
107,83
108,80
109,78
110,53
111,75
112,74
113,71
114,81
115,80
116,80
117,71
118,42
119,41
120,64
121,58
122,83
123,73
124,64
125,49
126,57
127,54
128,48
129,38
130,104
131,58
132,74
133,63
134,76
135,57
136,89
137,50
138,73
139,77
140,61
141,73
142,78
143,61
144,79
145,58
146,77
147,83
148,71
149,71
150,65
151,69
152,78
153,66
154,84
155,58
156,58
157,52
158,85
159,56
160,79
161,71
162,87
163,58
164,45
165,77
166,45
167,84
168,72
169,76
170,48
171,66
172,60
173,60
174,66
175,80
176,62
177,87
178,68
179,61
180,64
181,66
182,89
183,83
184,68
185,65
186,64
187,61
188,62
189,60
190,63
191,64
192,95
193,84
194,74
195,45
196,57
197,38
198,76
199,78
