a,b,r,n
0,1,-0.2813545094018875,2890
0,2,-0.3183076281925149,1289
0,3,-0.3351893375425047,1468
0,4,-0.3300815605761688,2358
0,5,-0.28038135573010714,1323
0,6,0.36143294810061133,8605
0,7,-0.21402891091146511,1360
0,8,0.34754605140290556,3797
0,9,-0.27435856618363774,4941
0,10,0.36239850972731513,5373
0,11,0.36353956686552746,2845
0,12,-0.26432893913254607,1683
0,13,-0.24056938738367403,1649
0,14,-0.042519743511779194,2904
0,15,0.03223141282040622,1258
0,16,0.43547498613279256,2868
0,17,0.3075996249907106,5017
0,18,0.3573627878495346,3387
0,19,0.34388812100276267,4990
0,20,0.26389306469576174,5398
0,21,-0.2543928040749861,2373
0,22,0.434297862803741,5034
0,23,-0.3179470667180955,9192
0,24,-0.26151086288262304,1650
0,25,-0.36598649126034954,1604
0,26,0.4009017023088831,2179
0,27,-0.24317803484079548,3652
0,28,0.28473644754780986,1310
0,29,0.3053954924133728,3577
0,30,0.3961651022991316,3222
0,31,0.3212831501175702,2336
1,2,0.3426517065895609,1289
1,3,0.3729793654403316,1468
1,4,0.37754976456748035,2358
1,5,0.3522554388897581,1324
1,6,-0.3788632392923131,1909
1,7,0.3063806183630652,415
1,8,-0.38264277960244364,937
1,9,0.19635374615516585,919
1,10,-0.16031559578588633,1337
1,11,-0.33091814158579586,839
1,12,0.2996214110617272,559
1,13,0.30344326889608153,591
1,14,0.16326555016312597,898
1,15,-0.10324748492692588,449
1,16,-0.19890518744461716,772
1,17,-0.3743178980759645,1433
1,18,-0.3985481877067966,1110
1,19,-0.4192176970041237,1103
1,20,-0.3628481843540597,1418
1,21,0.2324950918850672,528
1,22,-0.2926498024077221,1185
1,23,0.21838062517604845,1926
1,24,0.3707307980332691,562
1,25,0.33641399159012103,1604
1,26,-0.16058001717478404,628
1,27,0.22281650786325588,762
1,28,-0.28727985568172276,359
1,29,-0.36667164769369837,904
1,30,-0.3365541953425095,911
1,31,-0.41614263472940305,631
2,3,0.5117781001340833,865
2,4,0.5573317844229583,1025
2,5,0.4667079429036099,690
2,6,-0.3280068983346635,949
2,8,-0.32914103838557884,477
2,9,0.22789173065539334,474
2,10,-0.36138982907276546,620
2,11,-0.3520942407736666,511
2,12,0.2572609505193669,339
2,13,0.25844047899288114,350
2,14,0.1717740691348189,509
2,16,-0.22606605323485954,355
2,17,-0.2868576784164198,741
2,18,-0.3161253203097221,605
2,19,-0.378870587946159,545
2,20,-0.24670307240798844,753
2,21,0.2909415683035218,313
2,22,-0.3878952144377667,573
2,23,0.24556690250983257,916
2,24,0.29368817225750016,312
2,25,0.6463231638932144,1138
2,26,-0.2703950079944646,309
2,27,0.20468020904172798,389
2,29,-0.3119793401776944,462
2,30,-0.34195693642873,458
2,31,-0.4045500789979849,335
3,4,0.5342641697233094,1225
3,5,0.4783249263384202,769
3,6,-0.3107977725446797,1085
3,8,-0.3326489975875459,491
3,9,0.27171529631434865,498
3,10,-0.21220003144977215,768
3,11,-0.3431260077606312,529
3,12,0.24842605972953077,361
3,13,0.23478325605067749,380
3,14,0.07838026449571238,589
3,16,-0.31198895452275704,440
3,17,-0.26974189190284276,881
3,18,-0.30020915596172804,681
3,19,-0.3287276238660535,611
3,20,-0.2500564004080143,860
3,21,0.2097442308228875,318
3,22,-0.307919961029328,637
3,23,0.23028030450397002,1049
3,24,0.29352001313716475,345
3,25,0.4149539525536024,956
3,26,-0.25780728578447415,371
3,27,0.15328244947427233,444
3,29,-0.26610756117489714,546
3,30,-0.27991603596592257,512
3,31,-0.27350801730153873,372
4,5,0.5231882890977158,1051
4,6,-0.34703019266024,1574
4,7,0.20350511650105574,342
4,8,-0.3197677269386907,804
4,9,0.21693017012498075,765
4,10,-0.29283151330023066,1161
4,11,-0.3630423434836275,694
4,12,0.28711503208610983,452
4,13,0.21572589892437627,460
4,14,0.1670363322570564,723
4,15,-0.0625387784372331,354
4,16,-0.30820375994952653,664
4,17,-0.33560914790185503,1167
4,18,-0.34084394537354457,846
4,19,-0.3134416137449022,909
4,20,-0.24588798607534662,1120
4,21,0.2298504439633989,429
4,22,-0.3998264293922712,1022
4,23,0.21503020513002707,1626
4,24,0.3085755859943297,485
4,25,0.5213046832097866,1253
4,26,-0.3117870668910433,526
4,27,0.2352198186289485,613
4,29,-0.31963811419192234,710
4,30,-0.38670525282489393,766
4,31,-0.3860450223741602,531
5,6,-0.359283423047606,871
5,8,-0.3207282735248879,400
5,9,0.18545990090620992,347
5,10,-0.2576496090609,607
5,11,-0.2605036070680163,415
5,12,0.2557522563578212,329
5,13,0.19617866484197483,315
5,14,0.1333169017810172,482
5,15,-0.12373517710017305,306
5,16,-0.23942471202232524,341
5,17,-0.28353314548654873,667
5,18,-0.3721504070780307,686
5,19,-0.3401547931572064,464
5,20,-0.30353102779412633,772
5,22,-0.3819194195163757,490
5,23,0.18212796772210132,804
5,25,0.46789854060656505,820
5,26,-0.17660180350697602,342
5,27,0.11438077131766329,361
5,29,-0.29064566566828687,480
5,30,-0.3676013778730109,491
5,31,-0.3093923477717659,366
6,7,-0.33729131146418806,929
6,8,0.4048758052426636,2689
6,9,-0.23474325473843993,3103
6,10,0.284166817480931,3522
6,11,0.4294627819693891,2236
6,12,-0.30482020261206777,1158
6,13,-0.2950440887231892,1146
6,14,-0.28435090561945847,2186
6,15,0.07498396667703122,845
6,16,0.34507736129562044,1983
6,17,0.6529619830726541,4323
6,18,0.5329599339266179,2693
6,19,0.603186487196099,3843
6,20,0.4999975688675275,4173
6,21,-0.32632340784791625,1690
6,22,0.5313907695586497,3723
6,23,-0.32617945647921953,5824
6,24,-0.4161528849701769,1369
6,25,-0.29144242423806443,1144
6,26,0.29850037434748544,1380
6,27,-0.19658288067638496,2058
6,28,0.28663412974925545,863
6,29,0.5935284793441099,2562
6,30,0.5022607794851387,2246
6,31,0.3348589396036564,1515
7,8,-0.32068738255545526,834
