option_floor,K,seed,n_blocks,count_3x,count_p20,floor,top
5,4,11,32,4,1,0.009748461427759626,0.30424430983717576
5,4,22,32,3,2,0.008577597863342837,0.32078938481670843
5,4,33,32,4,2,0.009955408822828596,0.2817182705222491
5,6,11,32,5,2,0.011294347171324368,0.34147456499485673
5,6,22,32,5,2,0.008514728381897454,0.3400079442463769
5,6,33,32,5,2,0.009167971955336638,0.3049985661117749
5,8,11,32,7,3,0.010361156272218692,0.3658579548721804
5,8,22,32,6,3,0.009426292433589743,0.3531321868808866
5,8,33,32,7,3,0.01066606028066204,0.3305373761015115
5,10,11,32,8,3,0.009812654578940518,0.40078468336339357
5,10,22,32,9,3,0.009303753761363472,0.37358166553240646
5,10,33,32,8,3,0.009824859620285216,0.35758032902267456
10,4,11,32,4,1,0.009748461427759626,0.30424430983717576
10,4,22,32,3,2,0.008577597863342837,0.32078938481670843
10,4,33,32,4,2,0.009955408822828596,0.2817182705222491
10,6,11,32,5,2,0.011294347171324368,0.34147456499485673
10,6,22,32,5,2,0.008514728381897454,0.3400079442463769
10,6,33,32,5,2,0.009167971955336638,0.3049985661117749
10,8,11,32,7,3,0.010361156272218692,0.3658579548721804
10,8,22,32,6,3,0.009426292433589743,0.3531321868808866
10,8,33,32,7,3,0.01066606028066204,0.3305373761015115
10,10,11,32,8,3,0.009812654578940518,0.40078468336339357
10,10,22,32,9,3,0.009303753761363472,0.37358166553240646
10,10,33,32,8,3,0.009824859620285216,0.35758032902267456
20,4,11,32,4,1,0.009749708381614191,0.304238859955976
20,4,22,32,3,2,0.008576574918697299,0.32079853472852543
20,4,33,32,4,2,0.009947325646251181,0.2817232168960443
20,6,11,32,5,2,0.011296179593422627,0.34147941700510503
20,6,22,32,5,2,0.008516657487173156,0.3400101266941597
20,6,33,32,5,2,0.00916667475441295,0.305008914479479
20,8,11,32,7,3,0.010365587356301822,0.3658689398945586
20,8,22,32,6,3,0.009424134267578993,0.3531320946359434
20,8,33,32,7,3,0.010660102687313319,0.33054205690186866
20,10,11,32,8,3,0.009817888411918298,0.40079920135312785
20,10,22,32,9,3,0.00930271515719344,0.37357802877170554
20,10,33,32,8,3,0.009809897496788036,0.3575712349875235
40,4,11,32,4,1,0.009763841375750768,0.3042253330675513
40,4,22,32,3,2,0.008464732889669712,0.3209027042302458
40,4,33,32,4,2,0.009944522794306321,0.2816837976312074
40,6,11,32,5,2,0.01130787429054121,0.34145731178966054
40,6,22,32,5,2,0.008479180749654945,0.34003132007987863
40,6,33,32,5,2,0.009178863467340094,0.3049807372679977
40,8,11,32,7,3,0.01038477970251753,0.3658805736953443
40,8,22,32,6,3,0.009444621484641435,0.35317070974942727
40,8,33,32,7,3,0.010671020952985985,0.3305292712896502
40,10,11,32,8,3,0.009802348834649055,0.4007234417639452
40,10,22,32,9,3,0.00926067758662099,0.37366172361426286
40,10,33,32,8,3,0.009753569057195644,0.35758739522893745
80,4,11,32,4,1,0.00971512254119158,0.30410680906469634
80,4,22,32,3,2,0.008395326167899553,0.32093225459024205
80,4,33,32,4,2,0.009942735037731718,0.28152267074093285
80,6,11,32,5,2,0.011329520792743956,0.34134440330157517
80,6,22,32,5,2,0.008344103554145556,0.3400026171277403
80,6,33,32,5,2,0.009205334724119196,0.30483887711092017
80,8,11,32,7,3,0.010367641787293092,0.3658029143002965
80,8,22,32,6,3,0.009459163726816357,0.35308030337062335
80,8,33,32,7,3,0.010683148045555155,0.3303640779346519
80,10,11,32,8,3,0.00973555525337812,0.40045093814503174
80,10,22,32,9,3,0.00923063657195794,0.37355615414479526
80,10,33,32,8,3,0.009832979020328925,0.357478457586064
