partial_sex,pair,prof_r,ceiling,pct_of_ceiling
False,POWER-GAZE,0.639,0.92,69.0
False,POWER-SUBSTANCE,0.934,0.926,101.0
False,GAZE-SUBSTANCE,0.825,0.96,86.0
False,POWER-NOISE_ctrl,0.606,0.886,
False,POWER-SHAM_nonrole,-0.129,0.886,
False,GAZE-NOISE_ctrl,0.551,0.954,
False,GAZE-SHAM_nonrole,0.387,0.954,
False,SUBSTANCE-NOISE_ctrl,0.624,0.966,
False,SUBSTANCE-SHAM_nonrole,0.062,0.966,
True,POWER-GAZE,0.47,0.875,54.0
True,POWER-SUBSTANCE,0.886,0.885,100.0
True,GAZE-SUBSTANCE,0.769,0.935,82.0
True,POWER-NOISE_ctrl,0.522,0.825,
True,POWER-SHAM_nonrole,-0.14,0.825,
True,GAZE-NOISE_ctrl,0.434,0.925,
True,GAZE-SHAM_nonrole,0.483,0.925,
True,SUBSTANCE-NOISE_ctrl,0.482,0.944,
True,SUBSTANCE-SHAM_nonrole,0.111,0.944,
