mapping,min_onsets,categories,stat,n,share_pos,mean_rho,null_share,sham_share
midpoint,4,all,spearman,11039,0.8442793731316243,0.3559638359473545,0.4908959144850077,0.4984147114774889
midpoint,4,all,kendall,11039,0.836851164054715,0.2910626707085175,0.4848265241416795,0.48691004619983697
midpoint,4,high_n,spearman,10940,0.8487202925045704,0.36681381074055613,0.49689213893967094,0.5638025594149909
midpoint,4,high_n,kendall,10940,0.8419561243144424,0.3004459759232107,0.48784277879341864,0.5529250457038392
midpoint,4,drop_porn,spearman,9491,0.7974923611842798,0.30822463412680406,0.4882520282372774,0.6572542408597619
midpoint,4,drop_porn,kendall,9491,0.7895901380254978,0.2539956748490648,0.47887472342218945,0.6491412917500791
midpoint,6,all,spearman,10076,0.8477570464470028,0.3501812887613323,0.489976181024216,0.49583167923779276
midpoint,6,all,kendall,10076,0.8410083366415244,0.2846395551255423,0.48620484319174273,0.48461691147280667
midpoint,6,high_n,spearman,9923,0.8529678524639726,0.3617626419601473,0.49672478081225435,0.572306762067923
midpoint,6,high_n,kendall,9923,0.8470220699385267,0.29458664954120933,0.485639423561423,0.5618260606671369
midpoint,6,drop_porn,spearman,8457,0.7996925623743645,0.2982156929498376,0.49438335107011944,0.65992668795081
midpoint,6,drop_porn,kendall,8457,0.7924796026959915,0.24292728588781842,0.4877616175948918,0.6530684639943243
midpoint,8,all,spearman,8378,0.8525901169730246,0.3403599974876237,0.4922415851038434,0.4912867032704703
midpoint,8,all,kendall,8378,0.8463833850560993,0.27463011058960646,0.48412508952017186,0.48042492241585105
midpoint,8,high_n,spearman,8153,0.8590702808782044,0.3530892755501485,0.49601373727462283,0.5788053477247639
midpoint,8,high_n,kendall,8153,0.8541641113700479,0.2854372460028391,0.48350300502882376,0.568747700233043
midpoint,8,drop_porn,spearman,6948,0.7996545768566494,0.2816334395535849,0.4976971790443293,0.6611974668969488
midpoint,8,drop_porn,kendall,6948,0.7920264824409902,0.2273861540920786,0.4916522740356937,0.653713298791019
midpoint,10,all,spearman,6420,0.8518691588785047,0.3229956093994422,0.5059190031152648,0.49065420560747663
midpoint,10,all,kendall,6420,0.8454828660436137,0.25870069130918394,0.4985981308411215,0.4819314641744548
midpoint,10,high_n,spearman,6095,0.8587366694011485,0.33633966533767995,0.49351927809680063,0.5827727645611157
midpoint,10,high_n,kendall,6095,0.8533223954060706,0.26998031374696585,0.4866283839212469,0.5714520098441346
midpoint,10,drop_porn,spearman,5197,0.7946892437944968,0.26210065477951,0.5049066769289975,0.6551856840484895
midpoint,10,drop_porn,kendall,5197,0.7871849143736771,0.20971668058830473,0.5006734654608428,0.6474889359245719
ordinal,4,all,spearman,11039,0.8387535102817284,0.3519945882633204,0.4934323761210255,0.5384545701603406
ordinal,4,all,kendall,11039,0.8328652957695444,0.28914811289154946,0.4836488812392427,0.5294863665187064
ordinal,4,high_n,spearman,10940,0.8446069469835467,0.36393017564723745,0.4943327239488117,0.5592321755027422
ordinal,4,high_n,kendall,10940,0.8383912248628885,0.2993374969463153,0.48555758683729433,0.5463436928702011
ordinal,4,drop_porn,spearman,9491,0.7912759456327046,0.3046233216696993,0.4882520282372774,0.6953956379728163
ordinal,4,drop_porn,kendall,9491,0.7828469075966705,0.2510502558044153,0.4803498050784954,0.6867558739858813
ordinal,6,all,spearman,10076,0.8437872171496625,0.3469929354123408,0.49096863834855103,0.5384080984517666
ordinal,6,all,kendall,10076,0.8382294561333863,0.2830444816117389,0.4853116315998412,0.5304684398570861
ordinal,6,high_n,spearman,9923,0.851254660888844,0.35992555217791095,0.495213141187141,0.5680741711176056
ordinal,6,high_n,kendall,9923,0.8454096543384058,0.29401317302408375,0.4860425274614532,0.5555779502166683
ordinal,6,drop_porn,spearman,8457,0.7929525836585077,0.29429356968095133,0.49603878443892635,0.6976469197114816
ordinal,6,drop_porn,kendall,8457,0.7853848882582476,0.23974778624226928,0.4901265224074731,0.6896062433487052
ordinal,8,all,spearman,8378,0.8490093100978754,0.3375379102575684,0.4918835044163285,0.5365242301265218
ordinal,8,all,kendall,8378,0.8433993793268083,0.27292376938654817,0.4844831702076868,0.5296013368345667
ordinal,8,high_n,spearman,8153,0.8573531215503496,0.35174600777239384,0.49601373727462283,0.5759843002575739
ordinal,8,high_n,kendall,8153,0.8517110266159695,0.28488186489846207,0.4868146694468294,0.5635962222494787
ordinal,8,drop_porn,spearman,6948,0.7918825561312608,0.27661674239191303,0.49726540011514103,0.6978986758779505
ordinal,8,drop_porn,kendall,6948,0.783678756476684,0.22327947190136957,0.4900690846286701,0.6892630972941853
ordinal,10,all,spearman,6420,0.8475077881619938,0.31983764991376323,0.5042056074766356,0.540809968847352
ordinal,10,all,kendall,6420,0.8422118380062306,0.25663906167432915,0.49626168224299066,0.5345794392523364
ordinal,10,high_n,spearman,6095,0.8567678424938474,0.3352100896084054,0.48843314191960624,0.5788351107465135
ordinal,10,high_n,kendall,6095,0.8508613617719443,0.26949148831357866,0.481214109926169,0.5650533223954061
ordinal,10,drop_porn,spearman,5197,0.7850683086395998,0.2560865659888837,0.5043294208197037,0.6913604002309024
ordinal,10,drop_porn,kendall,5197,0.7762170482970945,0.20485813215099946,0.49663267269578604,0.6840484895131806
loweredge,4,all,spearman,11039,0.8446417247939125,0.3552663936892216,0.4911676782317239,0.5197934595524957
loweredge,4,all,kendall,11039,0.8364888123924269,0.2904744089454301,0.4854606395506839,0.5075640909502672
loweredge,4,high_n,spearman,10940,0.8492687385740402,0.3666477249660137,0.496800731261426,0.5640767824497258
loweredge,4,high_n,kendall,10940,0.8423217550274223,0.3002535581864999,0.4876599634369287,0.553473491773309
loweredge,4,drop_porn,spearman,9491,0.7964387314297756,0.3073079855544896,0.4889895690654304,0.6633652934358867
loweredge,4,drop_porn,kendall,9491,0.7876936044673901,0.253236849627741,0.4799283531766937,0.6557791592034559
loweredge,6,all,spearman,10076,0.8479555379118698,0.3493514359437754,0.490571655418817,0.5181619690353315
loweredge,6,all,kendall,10076,0.8404128622469234,0.28392539363935,0.48590710599444226,0.5061532354108773
loweredge,6,high_n,spearman,9923,0.8534717323390104,0.36152181753935403,0.4971278847122846,0.5726090899929457
loweredge,6,high_n,kendall,9923,0.8473243978635493,0.29433073143700256,0.48654640733649096,0.5624307165171823
loweredge,6,drop_porn,spearman,8457,0.7982736194868156,0.29711471060528016,0.4953293129951519,0.6665484214260377
loweredge,6,drop_porn,kendall,8457,0.7901146978834102,0.24201790779156532,0.4894170509636987,0.6603996689133262
loweredge,8,all,spearman,8378,0.8527094772021963,0.3392865653417849,0.49176414418715686,0.5155168297923132
loweredge,8,all,kendall,8378,0.8456672236810695,0.27372614956264274,0.4844831702076868,0.5040582477918357
loweredge,8,high_n,spearman,8153,0.85956089782902,0.35277862153085127,0.49638169998773457,0.5792959646755795
loweredge,8,high_n,kendall,8153,0.8545320740831596,0.2851307740157885,0.4828897338403042,0.5696062798969704
loweredge,8,drop_porn,spearman,6948,0.7979274611398963,0.28010227867439125,0.49827288428324695,0.6691134139320668
loweredge,8,drop_porn,kendall,6948,0.7892918825561313,0.22612748189623263,0.49222797927461137,0.6620610247553252
loweredge,10,all,spearman,6420,0.8515576323987539,0.32154055538573006,0.5054517133956387,0.5169781931464175
loweredge,10,all,kendall,6420,0.844392523364486,0.25750075769998193,0.4984423676012461,0.5077881619937694
loweredge,10,high_n,spearman,6095,0.859064807219032,0.33590580046824636,0.4936833470057424,0.5834290401968827
loweredge,10,high_n,kendall,6095,0.8534864643150123,0.26957635276315445,0.48695652173913045,0.5727645611156685
loweredge,10,drop_porn,spearman,5197,0.7923802193573215,0.26033801993728617,0.5058687704444872,0.6642293630940928
loweredge,10,drop_porn,kendall,5197,0.7835289590148162,0.2083044393481142,0.4987492784298634,0.6582643832980566
