outcome,controls,estimator,r,n
ungated_totalfetishcategory,none,pearson,0.07,15503
ungated_totalfetishcategory,none,spearman,0.0795,15503
ungated_totalfetishcategory,demo,pearson,0.0798,15503
ungated_totalfetishcategory,demo,spearman,0.0827,15503
ungated_totalfetishcategory,demo+acq,pearson,0.059,15503
ungated_totalfetishcategory,demo+acq,spearman,0.0572,15503
ungated_totalfetishcategory,demo+acq+progression,pearson,-0.0083,15503
ungated_totalfetishcategory,demo+acq+progression,spearman,-0.0243,15503
gated_count,none,pearson,0.1147,15503
gated_count,none,spearman,0.1141,15503
gated_count,demo,pearson,0.1298,15503
gated_count,demo,spearman,0.1179,15503
gated_count,demo+acq,pearson,0.1037,15503
gated_count,demo+acq,spearman,0.0911,15503
gated_count,demo+acq+progression,pearson,0.0207,15503
gated_count,demo+acq+progression,spearman,0.0176,15503
gated_rate,none,pearson,0.0286,15503
gated_rate,none,spearman,0.0244,15503
gated_rate,demo,pearson,0.0787,15503
gated_rate,demo,spearman,0.055,15503
gated_rate,demo+acq,pearson,0.052,15503
gated_rate,demo+acq,spearman,0.0491,15503
gated_rate,demo+acq+progression,pearson,0.0175,15503
gated_rate,demo+acq+progression,spearman,0.0257,15503
