seed,claim,pred,ceiling,null
1,nestedness,0.07916777987199408,0.31068337130548707,-0.0013982564720640411
1,sex deficit,0.03048437080694122,0.3156634764764231,-0.0016006357411280092
2,nestedness,0.0765610407420162,0.3167874595463924,-0.0024612839297486477
2,sex deficit,0.028083313262585285,0.3192963333593931,-0.0013381918568426965
3,nestedness,0.08247273052886683,0.34754840571730006,-0.0018157721532752191
3,sex deficit,0.03017253698545408,0.3478389882767732,-0.0017638123242433856
4,nestedness,0.07107603782120797,0.27625436269505244,-0.0014854776375585743
4,sex deficit,0.028941197572027955,0.27239687061157747,-0.0014755425544730194
5,nestedness,0.06923370497078518,0.26777170275342943,-0.0020245424231160047
5,sex deficit,0.02778935815738015,0.2825674006291925,-0.0017110839516898402
