k,seed,strength,n,position,content_resid
6,0,0.0,1652,0.005770502275463478,0.0805973745473451
6,0,0.05,1652,0.6803742003253065,0.04483139766136319
6,0,0.1,1652,0.8539265014019576,0.048822270366759755
6,0,0.15,1652,0.89648755422738,0.12281852741654176
6,0,0.25,1652,0.91966764949356,0.5027131253583882
6,0,0.4,1652,0.9276281741782381,0.6903428310122705
6,0,0.6,1652,0.9303461584458763,0.28501294477797656
6,1,0.0,1792,0.03313614147350661,0.02485234908991022
6,1,0.05,1792,0.6924111989058408,0.045663048647976906
6,1,0.1,1792,0.8493713047654305,0.024497269247646263
6,1,0.15,1792,0.8852985155107785,0.060092971303114834
6,1,0.25,1792,0.9041549499748361,0.1897380128191924
6,1,0.4,1792,0.9103562476095252,0.24213980006967756
6,1,0.6,1792,0.9123562469762124,0.4470035074256504
6,2,0.0,933,0.08097279947275195,0.041107295457499464
6,2,0.05,933,0.6159853394570853,0.05727713664219555
6,2,0.1,933,0.7941569924689098,0.0020142089426503284
6,2,0.15,933,0.8406976038737197,0.05297217848124744
6,2,0.25,933,0.8672530005148095,0.32154784728348135
6,2,0.4,933,0.8770648324292224,0.13518105160404437
6,2,0.6,933,0.8807803988673046,0.2618114696969989
8,0,0.0,1101,0.000945772320028564,0.12168170010360738
8,0,0.05,1101,0.7210215128138081,0.15661068876512577
8,0,0.1,1101,0.8701382835400681,0.09256963432112612
8,0,0.15,1101,0.9040871137315705,0.024678845310150667
8,0,0.25,1101,0.9220267335726411,0.05245299663056779
8,0,0.4,1101,0.9280375596493222,0.16278144194142044
8,0,0.6,1101,0.9300414466003709,0.18139144863130463
8,1,0.0,460,0.05037696692376792,0.07986034124525558
8,1,0.05,460,0.7056693058406351,0.10328460630114794
8,1,0.1,460,0.8482123683362665,0.026528474539484398
8,1,0.15,460,0.8830340934501086,0.13664001799867373
8,1,0.25,460,0.902581925782483,0.2469811099265416
8,1,0.4,460,0.90973458821605,0.09645377840785432
8,1,0.6,460,0.9124166775963494,0.2161058622343107
8,2,0.0,1144,0.1169283850887367,0.12657495986404327
8,2,0.05,1144,0.7023966813679493,0.046378229474695915
8,2,0.1,1144,0.8564541884626028,0.061447433321241425
8,2,0.15,1144,0.8919118732652028,0.0064298601198301145
8,2,0.25,1144,0.9113802012913691,0.263674436673452
8,2,0.4,1144,0.9184164509025284,0.38909029444755194
8,2,0.6,1144,0.921043273206863,0.14129819903888727
