commit,blocked,d_named_defects,d_numbers_that_left,d_uncited_numbers,d_uncited_numbers:zh(warn),d_internal_consistency(warn),d_internal_consistency:zh(warn),d_uncited_distinct(warn),d_dangling_anchors,d_anchor_collide(warn),d_single_instrument,d_single_instrument_grandfathered(warn),d_row_missing_tags,d_effect_without_null,d_effect_without_null_grandfathered(warn),d_claims_without_anchor,d_no_anchor_grandfathered(warn),subject
3b79af8,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B README.md 改写
b4916db,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A README.md 改写
123f48d,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[fix.research.psychology.eroticization-operator.operate.md.private.editabl
1d82be3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
1159efd,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
14c75b7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
a29e9a9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
9912148,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
f5fcdc8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
454771d,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
2e5c03c,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
45b8c7d,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
8a04384,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
bc53c56,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
99d0b78,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
b3d5651,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
b1f26b6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
8df3884,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
a26ce2c,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
559800c,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
edc76a6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
839fc86,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
8d0a8ff,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
3fb928d,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
cf86f68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
0706e16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
b49ae56,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[fix.research.psychology.eroticization-operator.operate.md.private.editabl
a22451d,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[verify.research.psychology.eroticization-operator.operate.md.private.edit
fbb57a9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[guard.research.psychology.eroticization-operator.operate.md.private.edita
a2b720e,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[fix.research.psychology.eroticization-operator.operate.md.private.editabl
