entry,in_ledger,round,scan,source,why,files
11,True,-,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
15,True,-,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
20,True,E01·A02·R002,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
26,True,E01·A01·R001,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
59,True,E01·A01·R001,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
60,True,E01·A01·R001,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
63,True,E01·A01·R001,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
64,True,E01·A01·R001,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
67,True,E01·A02·R002,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
69,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
70,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
75,True,E01·A01·R001,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
82,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
86,True,E01·A01·R001,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
87,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
88,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
89,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
90,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
91,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
99,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
100,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
101,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
102,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
104,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
105,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
107,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
110,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
111,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
