entry,has_retraction,n_distinct,sizes,on_readme
28,True,2,"1953,31541",False
74,True,20,"2000,2495,3042,3115,3187,3734",False
110,True,2,"1337,1362",True
123,True,4,"1990,4356,8853,14974",False
129,True,3,"4153,4401,4463",True
131,True,2,"18001,35486",True
134,True,3,"1231,1434,1632",True
147,True,3,"1238,1977,2090",True
181,True,4,"1089,2423,3854,11329",False
209,True,2,"3636,11329",False
210,True,2,"2806,9944",False
211,True,4,"2806,5277,7310,9944",True
225,True,2,"4972,9944",False
231,True,2,"5322,6113",True
235,True,3,"4698,4718,9944",True
239,True,2,"2740,6301",True
240,True,2,"2806,9944",False
241,True,5,"1234,4718,5322,6113,9944",True
242,True,4,"2806,5277,7310,9944",False
245,True,4,"2033,2194,2471,2806",True
247,True,5,"1129,1161,1190,1247,1366",True
252,True,2,"6717,15503",True
285,True,2,"3232,3485",True
299,True,4,"1825,2837,3217,3283",True
303,True,2,"4718,6717",True
320,True,3,"6478,6500,6900",True
324,True,2,"11785,117852",True
373,True,3,"6196,15503,15511",True
378,True,2,"6462,11500",False
416,True,4,"1046,1193,1790,2566",True
429,True,2,"4524,15503",True
437,True,2,"4000,6715",True
442,True,2,"6712,15503",True
449,True,2,"2490,6715",True
470,True,4,"1665,3699,5140,5890",True
484,True,3,"42942,43332,4333230",False
486,True,2,"2333,23332000",False
490,True,3,"3254,5560,5895",True
496,True,2,"7755,8581",False
514,True,3,"1033,1397,3815",False
516,True,3,"1260,3815,6141",False
518,True,3,"1012,1229,1240",False
532,True,4,"33901,44644,45697,46266",False
542,True,3,"4750,4950,5300",True
549,True,2,"5561,5601",False
560,True,2,"1207,3720",False
569,True,2,"2427,2702",False
583,True,5,"5706,13827,14818,17875,22603",False
609,True,2,"6438,6928",False
612,True,2,"5453,6619",False
615,True,3,"2021,6294,7490",False
616,True,2,"1781,30100",False
622,True,2,"1011,4285",False
670,True,2,"389,2006",False
674,True,3,"139,152,185",False
675,True,4,"11576,15000,15056,29591",False
679,True,4,"6864,13000,14634,15000",False
681,True,2,"5355,9049",False
684,True,2,"17075,36840",False
685,True,4,"3888,12484,39052,390521973",False
687,True,2,"3907,19142",False
691,True,3,"1000,1910,3820",True
703,True,4,"5459,29284,34737,43859",False
715,True,5,"152,1500,5547,6753,15056",True
716,True,4,"1500,2500,3000,4840",True
721,True,2,"1786,4750",True
731,True,3,"2000,15684,22889",True
738,True,2,"1302,15056",False
749,True,3,"111,130,154",True
751,True,2,"734,2487",False
752,True,2,"734,7267",False
753,True,2,"121,7267",False
763,True,2,"5251,10000",False
765,True,7,"1375,2571,4142,9580,12151,12327",True
767,True,7,"2926,4162,4547,4956,5843,6075",True
769,True,5,"3897,10248,10326,10567,10908",False
770,True,4,"12592,12746,13057,13527",True
771,True,4,"12592,12746,13057,13527",False
796,True,2,"1200,2800",True
844,True,2,"1781,1968",True
849,True,3,"4209,7308,10892",True
857,True,2,"2363,7341",True
869,True,2,"10000,15503",True
872,True,3,"1410,5833,45585",True
