v_entry,grid,retr
17,True,True
18,True,False
19,True,False
20,True,True
21,False,False
22,False,False
23,True,False
24,False,True
25,False,False
26,False,True
27,False,False
28,False,False
29,False,False
30,True,False
31,True,False
32,False,False
33,True,False
34,True,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,True,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,True,False
53,True,False
54,False,False
55,False,True
56,False,False
57,False,False
58,False,True
59,False,True
60,False,False
61,False,True
62,False,False
63,False,False
64,False,True
65,False,False
66,False,False
67,False,True
68,True,True
69,False,False
70,False,False
71,True,True
72,True,True
73,True,False
74,False,False
75,False,False
76,False,False
77,True,False
78,True,False
79,False,False
80,True,True
81,True,True
82,True,False
83,True,True
84,False,False
85,True,True
86,False,False
87,False,False
88,False,True
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,True,False
99,False,False
100,False,True
101,False,True
102,False,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,True
108,False,True
109,True,False
110,False,True
111,False,False
112,False,True
113,False,True
114,False,True
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,True
121,False,False
122,False,True
123,False,False
124,False,False
125,False,False
126,False,False
127,False,True
128,True,True
129,True,False
130,False,True
131,False,False
132,False,True
133,False,True
134,True,True
135,True,True
136,False,True
137,False,False
138,False,True
139,False,False
140,False,True
141,False,True
142,True,False
143,False,True
144,False,True
145,False,False
146,True,True
147,False,False
148,False,True
149,True,False
150,False,False
151,False,False
152,True,False
153,True,False
154,True,False
155,True,False
156,False,False
157,False,False
158,False,False
159,True,False
160,True,False
161,False,False
162,False,False
163,False,False
164,False,True
165,True,False
166,True,False
167,True,False
168,True,False
169,False,False
170,False,False
171,False,False
172,False,False
173,False,False
174,False,False
175,False,True
176,False,False
177,True,False
178,False,False
179,True,True
180,False,True
181,True,False
182,False,True
183,False,True
184,False,True
185,False,False
186,False,False
187,False,True
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,True,False
195,False,False
196,False,False
197,False,False
198,False,False
199,False,True
200,False,True
201,False,False
202,False,False
203,False,False
204,False,False
205,True,False
206,False,True
207,False,True
208,False,False
209,False,False
210,False,True
211,False,False
212,False,False
213,True,False
214,False,False
215,False,False
216,False,False
217,True,False
218,True,False
219,False,False
220,False,False
221,False,False
222,False,False
223,False,True
224,False,False
225,False,False
226,False,False
227,False,False
228,True,False
229,True,True
230,False,True
231,False,False
232,False,True
233,False,False
234,True,False
235,True,True
236,True,True
237,False,False
238,False,True
239,False,False
240,True,False
241,True,False
242,False,False
243,False,False
244,True,False
245,False,False
246,False,False
247,False,True
248,True,False
249,True,False
250,True,False
251,True,True
252,True,True
253,True,False
254,False,True
255,True,True
256,True,False
257,True,True
258,False,True
259,True,False
260,True,False
261,False,False
262,False,False
263,False,False
264,False,False
265,True,False
266,True,False
267,False,False
268,False,False
269,True,False
270,True,False
271,True,False
272,True,False
273,True,False
274,True,False
275,True,False
276,False,False
277,False,True
278,False,False
279,False,False
280,True,False
281,False,False
282,False,False
283,True,False
284,True,False
285,True,False
286,True,False
287,True,False
288,False,False
289,False,False
290,True,False
291,False,False
292,False,False
293,True,True
294,True,True
295,False,False
296,False,True
297,True,False
298,True,True
299,True,True
300,True,True
301,True,False
302,True,False
303,False,False
304,True,False
305,True,False
306,True,False
307,True,False
308,True,False
309,True,True
310,True,True
311,True,False
312,True,False
313,True,True
314,True,False
315,False,False
316,False,True
317,True,True
318,True,True
319,True,True
320,True,False
321,False,False
322,True,False
323,False,False
324,False,True
325,False,False
326,True,False
327,True,False
328,False,False
329,False,False
330,False,False
331,False,False
332,True,False
333,False,False
334,True,False
335,False,False
336,False,False
337,False,False
338,False,False
339,False,False
340,False,False
341,False,False
342,False,False
343,False,False
344,False,False
345,True,False
346,True,False
347,True,False
348,True,False
349,True,False
350,True,False
351,True,False
352,True,False
353,True,False
354,True,False
355,True,False
356,True,False
357,False,False
358,False,False
359,False,False
360,True,True
361,True,False
362,True,False
363,False,False
364,False,False
365,False,False
366,False,True
367,False,False
368,True,False
369,False,False
370,True,False
371,True,False
372,True,False
373,False,False
374,True,False
375,False,False
376,True,False
377,True,False
378,True,True
379,True,False
380,True,False
381,True,False
382,False,False
383,False,False
384,True,False
385,True,False
386,True,False
387,True,False
388,True,False
389,True,False
390,True,False
391,True,True
392,True,False
393,True,False
394,True,False
395,True,False
396,True,False
397,True,False
398,True,False
399,True,True
400,True,False
401,True,False
402,True,True
403,True,True
404,False,False
405,False,True
406,True,False
407,True,False
408,True,False
409,True,False
410,True,False
411,True,False
412,True,False
413,False,False
414,False,False
415,False,False
416,True,False
417,True,False
418,True,False
419,True,False
420,False,False
421,True,False
422,True,True
423,False,False
424,False,False
425,False,False
426,True,False
427,False,False
428,False,False
429,False,False
430,True,False
431,True,True
432,False,False
433,False,False
434,False,False
435,True,False
436,True,False
437,False,False
438,False,False
439,True,False
440,False,True
441,False,True
442,False,False
443,False,False
444,False,False
445,False,False
446,False,False
447,False,False
448,False,False
449,True,False
450,True,False
451,True,False
452,True,False
453,True,False
454,True,False
455,False,True
456,False,False
457,False,False
458,False,True
459,False,False
460,False,False
461,True,False
462,False,False
463,True,False
464,False,False
465,False,False
466,True,True
467,True,False
468,True,False
469,True,False
470,False,False
471,True,False
472,True,False
473,True,False
474,True,True
475,False,False
476,False,False
477,False,False
478,False,False
479,False,False
480,False,False
481,False,False
482,True,True
483,False,False
484,True,False
485,False,False
486,False,True
487,True,False
488,False,False
489,False,True
490,False,True
491,False,False
492,False,False
493,False,True
494,False,False
495,False,False
496,False,False
497,False,False
498,False,False
499,False,False
500,False,False
501,False,True
502,False,True
503,False,False
504,False,False
505,True,False
506,True,False
507,True,False
508,False,True
509,False,False
510,False,False
511,False,False
512,False,False
513,True,True
514,True,False
515,False,True
516,False,False
517,True,False
518,True,False
519,True,False
520,False,False
521,False,False
522,False,False
523,False,False
524,False,False
525,True,False
526,True,True
527,False,False
528,True,True
529,True,True
530,True,True
531,True,False
532,True,False
533,False,True
534,True,True
535,True,True
536,True,True
537,True,False
538,False,False
539,True,False
540,False,False
541,True,False
542,False,True
543,False,False
544,True,True
545,False,True
546,False,False
547,True,False
548,True,False
549,True,False
550,False,False
551,True,True
552,False,False
553,False,False
554,True,False
555,True,False
556,True,False
557,False,False
558,False,False
559,False,False
560,True,False
561,False,False
562,True,False
563,False,False
564,True,False
565,False,False
566,True,False
567,True,False
568,False,False
569,False,False
570,False,False
571,False,False
572,False,True
573,True,False
574,True,False
575,True,True
576,True,True
577,False,True
578,True,False
579,True,False
580,False,True
581,False,False
582,False,False
583,False,False
584,True,False
585,True,False
586,False,False
587,True,False
588,True,True
589,True,False
590,False,False
591,True,False
592,True,False
593,True,True
594,True,False
595,True,False
596,False,False
597,False,False
598,True,False
599,False,True
600,False,False
601,False,False
602,False,False
603,False,False
604,False,False
605,True,False
606,False,False
607,True,False
608,True,False
609,False,True
610,True,True
611,False,False
612,False,False
613,False,False
614,True,False
615,True,False
616,True,False
617,True,True
618,True,False
619,False,False
620,False,True
621,False,False
622,False,False
623,False,True
624,False,False
625,True,False
626,False,False
627,False,False
628,False,False
629,False,False
630,True,False
631,False,False
632,False,False
633,False,False
634,False,False
635,False,False
636,False,False
637,False,False
638,False,False
639,True,False
640,False,True
641,True,False
642,True,True
643,True,False
644,False,False
645,True,False
646,False,False
647,False,False
648,True,False
649,False,True
650,True,False
651,True,False
652,True,False
653,False,True
654,False,False
655,False,False
656,False,False
657,False,False
658,False,False
659,False,False
660,False,True
661,False,True
662,False,False
663,False,False
664,False,False
665,False,False
666,False,False
667,False,False
668,False,False
669,False,False
670,False,False
671,False,True
672,False,True
673,False,False
674,False,False
675,True,True
676,False,False
677,False,False
678,True,False
679,True,True
680,False,True
681,False,True
682,False,True
683,False,False
684,True,True
685,False,False
686,False,True
687,False,False
688,False,True
689,False,False
690,True,False
691,False,True
692,False,False
693,True,False
694,False,False
695,False,True
696,True,False
697,False,False
698,False,False
699,False,False
700,False,False
701,False,False
702,False,False
703,False,False
704,False,True
705,False,False
706,False,True
707,False,False
708,False,False
709,False,False
710,False,False
711,False,False
712,False,False
713,True,False
714,False,False
715,True,True
716,False,False
717,False,False
718,False,True
719,False,False
720,True,True
721,True,False
722,True,False
723,True,False
724,True,False
725,True,False
726,False,False
727,False,False
728,False,False
729,False,True
730,True,False
731,False,False
732,True,False
733,False,True
734,False,False
735,False,False
736,True,False
737,False,False
738,True,False
739,True,False
740,False,True
741,False,True
742,True,False
743,False,False
744,False,False
745,False,True
746,False,True
747,False,True
748,False,True
749,False,True
750,False,True
751,True,True
752,True,True
753,True,False
754,False,True
755,True,False
756,True,False
757,True,False
758,False,False
759,False,False
760,True,False
761,False,False
762,True,True
763,False,False
764,False,True
765,True,True
766,False,False
767,True,False
768,True,True
769,False,False
770,False,True
771,False,False
772,False,False
773,False,True
774,False,False
775,False,False
776,False,True
777,True,True
778,False,True
779,False,False
780,True,True
