v_page,v_val,v_kind,v_win
README.md,+0.086,孤立,100
README.md,+0.125,孤立,100
README.md,0.335,孤立,100
README.md,0.062,孤立,100
README.md,0.0299,孤立,100
README.md,+0.952,可核而未核,100
README.md,+0.975,可核而未核,100
README.md,0.453,可核而未核,100
README.md,0.0281,可核而未核,100
README.md,0.0411,可核而未核,100
README.md,0.7051,孤立,100
README.md,0.5951,孤立,100
README.md,0.7917,孤立,100
README.md,0.6057,孤立,100
README.md,+0.0378,孤立,100
README.md,+0.0357,孤立,100
README.md,0.106,孤立,100
README.md,0.5645,可核而未核,100
README.md,+0.1604,可核而未核,100
README.md,0.0372,可核而未核,100
README.md,0.750,孤立,100
README.md,0.000,孤立,100
README.md,0.1779,可核而未核,100
README.md,+0.3030,孤立,100
README.md,+0.6426,孤立,100
README.md,−0.1295,可核而未核,100
README.md,0.6462,可核而未核,100
README.md,1.555,孤立,100
README.md,1.408,孤立,100
README.md,61.0%,孤立,100
README.md,0.7287,孤立,100
README.md,0.5965,原始量,100
README.md,5.8%,可核而未核,100
README.md,4,孤立,100
README.md,2,孤立,100
README.md,0.0519,孤立,100
README.md,0.859,孤立,100
README.md,0.611,孤立,100
README.md,60.9%,孤立,100
README.md,4,孤立,100
README.md,+0.3631,可核而未核,100
README.md,0.2381,可核而未核,100
README.md,−0.4299,可核而未核,100
README.md,+0.3826,可核而未核,100
README.md,+0.3243,可核而未核,100
README.md,+0.1231,可核而未核,100
README.md,0.1684,可核而未核,100
README.md,−0.0720,可核而未核,100
README.md,+0.8679,可核而未核,100
README.md,+0.229,可核而未核,100
README.md,+0.2206,可核而未核,100
README.md,0.1682,可核而未核,100
README.md,+0.440,孤立,100
README.md,+0.630,可核而未核,100
README.md,+0.0980,孤立,100
README.md,−0.0970,孤立,100
README.md,−0.1574,孤立,100
README.md,−0.1242,孤立,100
README.md,−0.0542,可核而未核,100
README.md,−0.1680,孤立,100
README.md,−0.1333,孤立,100
README.md,−0.0547,孤立,100
README.md,2.436,孤立,100
README.md,+0.2033,可核而未核,100
README.md,+0.0423,可核而未核,100
README.md,+0.0040,可核而未核,100
README.md,+0.1604,可核而未核,100
README.md,0.0372,可核而未核,100
README.md,+0.0036,孤立,100
README.md,+0.384,可核而未核,100
README.md,+0.2586,孤立,100
README.md,+0.1947,孤立,100
README.md,+0.3050,孤立,100
README.md,3,孤立,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,+0.103,孤立,100
README.md,"1,781",原始量,100
README.md,0.2362,孤立,100
README.md,0.2303,孤立,100
README.md,0.883,孤立,100
README.md,1,孤立,100
README.md,1,孤立,100
README.md,+0.3000,孤立,100
README.md,+0.0655,可核而未核,100
README.md,+0.0771,可核而未核,100
README.md,+0.0720,可核而未核,100
README.md,+0.0025,可核而未核,100
README.md,3,孤立,100
README.md,124,孤立,100
README.md,18.6%,孤立,100
README.md,−0.0481,孤立,100
README.md,+0.0030,孤立,100
README.md,0,孤立,100
README.md,0.048,可核而未核,100
README.md,+0.1512,孤立,100
README.md,−0.0692,可核而未核,100
README.md,0.0776,可核而未核,100
README.md,"2,363",原始量,100
README.md,−0.104,可核而未核,100
README.md,−0.015,可核而未核,100
README.md,−0.124,可核而未核,100
README.md,−0.095,可核而未核,100
README.md,+0.000000,可核而未核,100
README.md,−0.911,孤立,100
README.md,+0.1779,孤立,100
README.md,−0.0601,可核而未核,100
README.md,66.4%,可核而未核,100
README.md,73.3%,孤立,100
README.md,70.0%,孤立,100
README.md,0.0%,孤立,100
README.md,−0.301,孤立,100
README.md,+0.534,孤立,100
README.md,+0.506,孤立,100
README.md,+0.516,孤立,100
README.md,+0.519,孤立,100
README.md,+0.550,孤立,100
README.md,+0.0467,可核而未核,100
README.md,294,孤立,100
README.md,0.22,孤立,100
README.md,2.0399,可核而未核,100
README.md,+0.383,孤立,100
README.md,+0.082,孤立,100
README.md,0.075,孤立,100
README.md,0.205,孤立,100
README.md,0.207,孤立,100
README.md,0.354,孤立,100
README.md,0.360,孤立,100
README.md,0.366,孤立,100
README.md,0.636,可核而未核,100
README.md,0.638,可核而未核,100
README.md,0.647,可核而未核,100
README.md,0.657,可核而未核,100
README.md,−0.0026,可核而未核,100
README.md,1.134,孤立,100
README.md,0.850,孤立,100
README.md,0.926,孤立,100
README.md,0.0003,孤立,100
README.md,0.3372,可核而未核,100
README.md,1.0055,孤立,100
README.md,0.00312,孤立,100
README.md,1.0021,孤立,100
README.md,1.1209,孤立,100
README.md,1.3891,可核而未核,100
README.md,1.0001,可核而未核,100
README.md,1.6974,可核而未核,100
README.md,1.0161,可核而未核,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,862,孤立,100
README.md,302,孤立,100
README.md,18,孤立,100
README.md,20,孤立,100
README.md,"15,503",原始量,100
README.md,0.0594,孤立,100
README.md,0.0416,孤立,100
README.md,30,孤立,100
README.md,5,孤立,100
README.md,5,孤立,100
README.md,35,孤立,100
README.md,38,孤立,100
README.md,6,可核而未核,100
README.md,4,可核而未核,100
README.md,+0.254,可核而未核,100
README.md,0,孤立,100
README.md,171,孤立,100
README.md,10,孤立,100
README.md,10,孤立,100
README.md,835,孤立,100
README.md,38,孤立,100
README.md,85%,孤立,100
README.md,+0.26,孤立,100
README.md,+0.19,孤立,100
README.md,26,孤立,100
README.md,0,孤立,100
README.md,1.75,可核而未核,100
README.md,1.78,可核而未核,100
README.md,0.0475,孤立,100
README.md,0.1332,孤立,100
README.md,1.0091,孤立,100
README.md,+0.074,孤立,100
README.md,0.134,可核而未核,100
README.md,0.10,可核而未核,100
README.md,0.039,可核而未核,100
README.md,+0.166,孤立,100
README.md,+0.667,孤立,100
README.md,0.044,可核而未核,100
README.md,−0.0306,可核而未核,100
README.md,−0.17,孤立,100
README.md,1.0,孤立,100
README.md,+0.1349,可核而未核,100
README.md,+0.952,孤立,100
README.md,+0.975,可核而未核,100
README.md,68%,可核而未核,100
README.md,+0.5618,孤立,100
README.md,−0.3746,孤立,100
README.md,60.9%,可核而未核,100
README.md,96,孤立,100
README.md,18,孤立,100
README.md,0,孤立,100
README.md,69,可核而未核,100
README.md,0.020,可核而未核,100
README.md,2.155,孤立,100
README.md,1.815,孤立,100
README.md,+0.383,可核而未核,100
README.md,1.0057,孤立,100
README.md,1.93,孤立,100
README.md,1.80,孤立,100
README.md,0.714,可核而未核,100
README.md,+0.779,可核而未核,100
README.md,+2.192,孤立,100
README.md,+1.841,孤立,100
README.md,0.409,可核而未核,100
README.md,0.410,可核而未核,100
README.md,0.331,孤立,100
README.md,0.813,孤立,100
README.md,0.456,孤立,100
README.md,0.536,可核而未核,100
README.md,0.42,孤立,100
README.md,7.68,孤立,100
README.md,8.54,孤立,100
README.md,1.128,孤立,100
README.md,0.181,可核而未核,100
README.md,0.321,孤立,100
README.md,0.222,孤立,100
README.md,0.435,孤立,100
README.md,0.230,孤立,100
README.md,85.1%,孤立,100
README.md,0.9194,可核而未核,100
README.md,0.7875,可核而未核,100
README.md,87.8%,孤立,100
README.md,0.542,孤立,100
README.md,87.8%,孤立,100
README.md,0.0001,孤立,100
README.md,+0.2078,可核而未核,100
README.md,+0.0655,可核而未核,100
README.md,0.38,孤立,100
README.md,0.0305,孤立,100
README.md,1.9%,可核而未核,100
README.md,1.9%,孤立,100
README.md,9.1%,孤立,100
README.md,4.8,孤立,100
README.md,5.8%,可核而未核,100
README.md,0.7352,可核而未核,100
README.md,0.7287,孤立,100
README.md,−0.248,可核而未核,100
