col,n_raw,n_num,drop,inscope,used
biomale,15503,15503,0.0,0,1
age,15503,0,1.0,0,1
"As an adult, have you been the victim of sexual assault? (ld0srat)",15500,0,1.0,0,0
At what age did you first begin (at least semiregularly) masturbating?,15498,0,1.0,0,0
"Personally, your preferred relationship style is: (4jib23m)",15500,0,1.0,0,0
sexcount,15263,4524,0.7035969337613837,1,0
Have you ever had a sexual experience with someone else who did not want the experience? (2zafc2j),15500,0,1.0,0,0
"How ""sexually liberated"" was your upbringing? (fs700v2)",15496,0,1.0,0,0
"From the ages of 0-14, how often were you spanked as a form of discipline? (p957nyk)",15496,0,1.0,0,0
opennessvariable,15503,15503,0.0,0,0
consciensiousnessvariable,15503,15503,0.0,0,0
extroversionvariable,15503,15503,0.0,0,0
neuroticismvariable,15503,15503,0.0,0,0
agreeablenessvariable,15503,15503,0.0,0,0
powerlessnessvariable,15503,15503,0.0,0,0
TotalMentalIllness,6196,0,1.0,0,1
"Compared to other people of your same gender and age range, you are (yh6d44s)",15500,0,1.0,0,0
youfeelmost,14974,0,1.0,0,0
Totalyoufeel,15382,15382,0.0,0,0
otherfeel1most,14634,0,1.0,0,0
Totalotherfeel1,15161,15161,0.0,0,0
Your sexual interests feel (44qhm16),15499,0,1.0,0,0
pornhabit,15503,15503,0.0,0,1
animated,14190,14190,0.0,0,1
written,14188,14188,0.0,0,1
violentporn,14188,14188,0.0,0,0
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1ziu)",15503,15503,0.0,0,0
"""Engaging with or fantasizing about what arouses me feels therapeutic or healing to me"" (vmq8jqw)",15501,15501,0.0,0,0
"""I can get aroused by a partner doing what I like, even if I know they aren't aroused by it themselv",15502,15502,0.0,0,0
"""I've acted upon or experimented with all the things that arouse me"" (41kpfir)",15502,15502,0.0,0,0
Have you paid for porn/erotic content? (pnltks8),15502,0,1.0,0,0
"""In general, on average, the optimal amount of consent in my preferred erotic scenarios is:"" (b0ukpv",15497,0,1.0,0,0
Which describes you best? (cvc5b81),15095,0,1.0,0,0
"""I sometimes find people who have clearly reached sexual maturity, but are not yet adults (e.g., age",15501,15501,0.0,0,0
"In scenarios you find erotic, you tend to identify with (or imagine being): (irv6czg)",15097,0,1.0,0,0
allrollidentity,10860,10860,0.0,0,0
"""I find it erotic when two people of the opposite gender to me sexually interact with each other"" (f",15499,15499,0.0,0,0
You ______ what arouses you (7mz0awx),15502,0,1.0,0,0
knowwhatarousesyou,15503,15503,0.0,0,0
"In general, the most erotic scenarios are: (6e7lhil)",15097,0,1.0,0,0
highenergy,15098,15098,0.0,0,0
cunnilingus,15503,15503,0.0,0,1
"""I find dirtytalking erotic"" (947wne3)",15502,15502,0.0,0,0
"""I find the thought of existing (in *nonsexual* situations) as a biological *female* to be erotic"" (",12772,12772,0.0,0,0
"""I find the thought of existing (in *nonsexual* situations) as a biological *male* to be erotic"" (l7",12772,12772,0.0,0,0
"Do you feel as though you've ""induced"" new fetishes into yourself through the use of porn or erotic ",15502,0,1.0,0,0
inducefetish,13747,13747,0.0,0,0
