page,pos,token,ctx,fixed_denom,effect_denom,has_interval,candidate
README.md,6229,68%, sex-label permutation null's 95th percentile is **0.0281** against a median \|Δ\| of **0.0411** across the seven — **the null is 68% of the effect.** **Per-facet BH passes and aggregate strength does not; both have to be s,0,1,0,1
README.md,9536,−28.5%,"true correlation, the noise and the marginal skew all known, on four categories (as in GSS), 27 cells, 200 replicates each: **raw −28.5% · ceiling-normalised only −22.2% · disattenuated only −16.6% · both composed −9.5%** — **",0,0,0,0
README.md,9569,−22.2%,"he marginal skew all known, on four categories (as in GSS), 27 cells, 200 replicates each: **raw −28.5% · ceiling-normalised only −22.2% · disattenuated only −16.6% · both composed −9.5%** — **all four under-estimate, the comp",0,0,0,0
README.md,9597,−16.6%,"on four categories (as in GSS), 27 cells, 200 replicates each: **raw −28.5% · ceiling-normalised only −22.2% · disattenuated only −16.6% · both composed −9.5%** — **all four under-estimate, the composition is closest, and the ",0,0,0,0
README.md,9620,−9.5%,"in GSS), 27 cells, 200 replicates each: **raw −28.5% · ceiling-normalised only −22.2% · disattenuated only −16.6% · both composed −9.5%** — **all four under-estimate, the composition is closest, and the two improvements are c",0,0,0,0
README.md,9860,9.5%,"e, so they are not correcting the same thing and may be composed** (Entry 736). ⚠ **And even composed it still under-estimates by 9.5%, because four-category discretisation itself attenuates by 12–13% and none of the four es",0,0,0,0
README.md,9927,13%,"(Entry 736). ⚠ **And even composed it still under-estimates by 9.5%, because four-category discretisation itself attenuates by 12–13% and none of the four estimators repairs that.** ⇒ **Every normalised number on this page ",0,0,0,0
README.md,10515,4×,"count**, so normalisation does far more work here than the simulation suggested. The pre-registered mechanism check passed (mixed 4×5 ceiling 0.9544 < same-category 0.9914, normalisation contributing +0.036 against +0.007)",0,0,0,0
README.md,11587,1.61%,"ht one moving by a factor of 1.9. Measured, **only one kind bites**: at the same B = 4,000, a **permutation null's relative SD is 1.61%, while subsampling a structured block space is 10.73% — 6.7× worse**, and the combinatori",0,0,0,0
README.md,11640,10.73%,"e kind bites**: at the same B = 4,000, a **permutation null's relative SD is 1.61%, while subsampling a structured block space is 10.73% — 6.7× worse**, and the combinatorial arm is **not reliably improved by drawing more** (t",0,0,0,0
README.md,12036,2%,"eration** (MFQ k=6 · GSS k=4 · NSFG k=3/k7 · SCCS k=4); **for the remaining permutation-null rows the denominator wobbles at the ~2% level, which changes no ratio's reading** `[#719「分母自己的抖动量出来了,而咬人的只有一类」]`. ⚠ **Carrying th",0,0,0,0
README.md,15382,38%,"ts 0.5789 / 0.1726 cell for cell, with pair counts 200 / 4,750 identical to the word. **And 1,786 of the 4,750 cross-facet pairs (38%) are negative** ⇒ by the rule `#607` already established, **a median of absolute values o",0,0,0,0
README.md,21670,**9.85%,"s **halo null did not act**: permuting the four target values within a society moves the composite (a four-target z-mean) by only **9.85% of its own SD** — **it is a no-op control, and its giving ≈ the observed value on every r",0,1,0,1
README.md,23932,98.0%," how wrong cheating the state is) = +0.1317, disattenuated +0.1910**; **removing the latter entirely leaves the four sexual items 98.0% as coherent, and 97.2% even assuming the control is perfectly reliable**. ⚠ The thing mos",0,0,0,0
