n_sources,rows_per_source,budget,seed,inc,null
8,250,2000,1,0.0022814737665558527,0.0
8,250,2000,2,0.0006711898478797274,0.0
8,500,4000,1,0.002637791494537356,0.0
8,500,4000,2,0.0024317128161827073,0.0
8,800,6400,1,0.005089481748790758,-7.564185436237381e-06
8,800,6400,2,0.0033588715545965764,-2.4594200244143494e-06
16,400,6400,1,0.0030644292381306615,0.0
16,400,6400,2,0.002535473191637938,0.0
31,206,6386,1,0.0022938217729813193,-2.1584215525338735e-05
31,206,6386,2,0.0026219430174349023,-1.6086296091843977e-06
