v_col,n,k,e,e_null,p0,p06,p15
youfeelmost,10290,23,0.0021501544526280427,0.0014715250112773415,0.0021501544526280427,0.0038873839686666503,0.01159895075930554
otherfeel1most,10036,23,0.0019890213228921745,0.002501129983150552,0.0019890213228921745,0.00460533807599454,0.01308872051027358
bondagemost,6023,19,0.0034601285001207107,-0.0008033446830847763,0.0034601285001207107,0.005689494219072944,0.012810216867224944
gentleness2most,5901,9,-7.532077400488707e-05,-0.0017416445706270878,-7.532077400488707e-05,0.0024653466100066725,0.012182445903951419
nonconsent1most,3534,16,0.0016909293161950778,-0.00311081704068931,0.0016909293161950778,0.0018726126242030183,0.007408969998713211
powerdynamic2most,5814,18,0.002152222069979189,-0.001470225985483372,0.002152222069979189,0.0015131342810490076,0.006662084602475045
pregnancy2most,1374,7,0.0004830041125303275,-0.0029731438486671666,0.0004830041125303275,0.0020315979607268644,0.00884869844156222
toys2most,5696,20,0.0027432808213153637,0.006838197659979876,0.0027432808213153637,0.003734934823006464,0.012153490599356961
humiliation2most,2238,21,0.001685930943084705,-0.00463810689802735,0.001685930943084705,0.003483384339954247,0.009578126695985198
mentalalteration2most,1927,10,0.0009795901814360075,-0.010799216662035649,0.0009795901814360075,0.002421664767456755,0.007798183549245108
