split,mode,seed,deficit,n,gap
pornhabit [POS CTRL],none,1,0.22305307687075604,4271,2.435403972402079
pornhabit [POS CTRL],none,2,0.2244611412693993,4271,2.435403972402079
pornhabit [POS CTRL],none,3,0.22728171800973462,4271,2.435403972402079
pornhabit [POS CTRL],none,4,0.22537981011741803,4271,2.435403972402079
pornhabit [POS CTRL],none,5,0.2302820843069553,4271,2.435403972402079
pornhabit [POS CTRL],coverage,1,0.09436075201408856,3844,2.435403972402079
pornhabit [POS CTRL],coverage,2,0.080811067174694,3844,2.435403972402079
pornhabit [POS CTRL],coverage,3,0.09806401983029389,3844,2.435403972402079
pornhabit [POS CTRL],coverage,4,0.10427854388332025,3844,2.435403972402079
pornhabit [POS CTRL],coverage,5,0.095875013735222,3844,2.435403972402079
pornhabit [POS CTRL],placebo,1,0.2184355903319577,4271,2.435403972402079
pornhabit [POS CTRL],placebo,2,0.2149423675102088,4271,2.435403972402079
pornhabit [POS CTRL],placebo,3,0.20195744217119638,4271,2.435403972402079
pornhabit [POS CTRL],placebo,4,0.22040955420770691,4271,2.435403972402079
pornhabit [POS CTRL],placebo,5,0.22934450881156,4271,2.435403972402079
sex,none,1,0.09625584308855528,7892,0.130296521315036
sex,none,2,0.0975052056775888,7892,0.130296521315036
sex,none,3,0.09778892398428718,7892,0.130296521315036
sex,none,4,0.09598214093203417,7892,0.130296521315036
sex,none,5,0.10208810337394392,7892,0.130296521315036
sex,coverage,1,0.0842039811166243,7219,0.130296521315036
sex,coverage,2,0.08880391254811093,7219,0.130296521315036
sex,coverage,3,0.08219232004774502,7219,0.130296521315036
sex,coverage,4,0.09590891364159948,7219,0.130296521315036
sex,coverage,5,0.08524417802019857,7219,0.130296521315036
sex,placebo,1,0.10900987437876386,7423,0.130296521315036
sex,placebo,2,0.0884519539790064,7424,0.130296521315036
sex,placebo,3,0.09150111004585526,7443,0.130296521315036
sex,placebo,4,0.10168669308715672,7375,0.130296521315036
sex,placebo,5,0.10501672082975311,7429,0.130296521315036
neuroticism,none,1,0.031079438817307792,6388,0.32144630693082377
neuroticism,none,2,0.034448209065143454,6388,0.32144630693082377
neuroticism,none,3,0.035617894009193796,6388,0.32144630693082377
neuroticism,none,4,0.03220953353556777,6388,0.32144630693082377
neuroticism,none,5,0.03716052486924559,6388,0.32144630693082377
neuroticism,coverage,1,0.03972210859037251,6118,0.32144630693082377
neuroticism,coverage,2,0.03871511374483583,6118,0.32144630693082377
neuroticism,coverage,3,0.03558358173106513,6118,0.32144630693082377
neuroticism,coverage,4,0.03879001002575333,6118,0.32144630693082377
neuroticism,coverage,5,0.033154273154438085,6118,0.32144630693082377
neuroticism,placebo,1,0.0368539855780905,6143,0.32144630693082377
neuroticism,placebo,2,0.034340850008680146,6226,0.32144630693082377
neuroticism,placebo,3,0.03550958440706786,6222,0.32144630693082377
neuroticism,placebo,4,0.029092094802656177,6231,0.32144630693082377
neuroticism,placebo,5,0.03043459920557745,6190,0.32144630693082377
modality [NEG CTRL],none,1,0.020611681954702532,2455,0.06854832665920974
modality [NEG CTRL],none,2,0.04314090325344011,2455,0.06854832665920974
modality [NEG CTRL],none,3,0.023925650881740035,2455,0.06854832665920974
modality [NEG CTRL],none,4,0.04381583799626809,2455,0.06854832665920974
modality [NEG CTRL],none,5,0.03549002083850983,2455,0.06854832665920974
modality [NEG CTRL],coverage,1,0.03266138594945189,2455,0.06854832665920974
modality [NEG CTRL],coverage,2,0.03837096619059144,2455,0.06854832665920974
modality [NEG CTRL],coverage,3,0.00046591608630708325,2455,0.06854832665920974
modality [NEG CTRL],coverage,4,0.05563920942148892,2455,0.06854832665920974
modality [NEG CTRL],coverage,5,-0.00026116954211730103,2455,0.06854832665920974
modality [NEG CTRL],placebo,1,0.03949944775754066,2455,0.06854832665920974
modality [NEG CTRL],placebo,2,0.05078529965618872,2455,0.06854832665920974
modality [NEG CTRL],placebo,3,0.04020312862354347,2455,0.06854832665920974
modality [NEG CTRL],placebo,4,0.030911041564788078,2455,0.06854832665920974
modality [NEG CTRL],placebo,5,0.04275903242576928,2455,0.06854832665920974
