seed,a,b,tier,cca,null
1,1,4,tier4 all other pairs,0.5710928214793687,0.03010356198309286
1,1,7,tier3 fluid<->non-fluid,0.24738929043175428,0.03427437279788208
1,1,8,tier3 fluid<->non-fluid,0.2041927793377232,0.046522334923220075
1,1,9,tier3 fluid<->non-fluid,0.3425813157499093,0.03230820781524266
1,1,11,tier3 fluid<->non-fluid,0.2308736057485211,0.06740815632684749
1,1,13,tier4 all other pairs,0.3562948775260497,0.024413081007838233
1,1,17,tier4 all other pairs,0.1919492157631016,0.04325869505689865
1,1,19,tier4 all other pairs,0.34524922974856864,0.027416388239579263
1,1,20,tier4 all other pairs,0.19225921389644973,0.01592967387449412
1,1,29,tier4 all other pairs,0.2860761298203933,0.03044124741675162
1,1,36,tier4 all other pairs,0.432964861275269,0.04208164395256834
1,1,39,tier4 all other pairs,0.285342937927818,0.05234359619946989
1,1,42,tier4 all other pairs,0.1873110759104005,0.03576240446927738
1,1,48,tier4 all other pairs,0.1948037471567604,0.04799753087022364
1,1,51,tier4 all other pairs,0.23514010248666586,0.07804907597914511
1,1,53,tier4 all other pairs,0.39833385901769214,0.04785008090794725
1,1,55,tier4 all other pairs,0.34225678968364137,0.018760589876401543
1,1,62,tier4 all other pairs,0.5281828755904269,0.03796439449099944
1,1,63,tier4 all other pairs,0.3816674174049774,0.0364733205648126
1,1,67,tier4 all other pairs,0.2310181695359753,0.029919183544430256
1,1,73,tier4 all other pairs,0.3197042526819817,0.05180975963925352
1,1,77,tier4 all other pairs,0.6281776533210605,0.0302858149482185
1,1,79,tier4 all other pairs,0.2788164931260365,0.01819805739111798
1,1,81,tier4 all other pairs,0.19870607208478366,0.039827786915501234
1,1,83,tier3 fluid<->non-fluid,0.2885699415254695,0.04503756068469018
1,1,85,tier4 all other pairs,0.35390247023131705,0.019834091095868776
1,1,90,tier4 all other pairs,0.10345907965301403,0.0310656068480229
1,1,91,tier4 all other pairs,0.27423861187030507,0.06084059112298658
1,1,92,tier4 all other pairs,0.49126226457285654,0.02440267556586614
1,1,93,tier4 all other pairs,0.6269691542735295,0.01165292305894889
1,1,96,tier4 all other pairs,0.28247267074000704,0.02685937660903181
1,4,7,tier3 fluid<->non-fluid,0.32601401030429505,0.052526957463983844
1,4,8,tier3 fluid<->non-fluid,0.29456614553148214,0.03510341095503438
1,4,9,tier3 fluid<->non-fluid,0.5145258400689039,0.04181463648318875
1,4,11,tier3 fluid<->non-fluid,0.30347190520324835,0.04184467102353079
1,4,13,tier4 all other pairs,0.31924751978583626,0.05411008795134305
1,4,19,tier4 all other pairs,0.3028615918777042,0.09480354581431813
1,4,20,tier4 all other pairs,0.10860146772017594,0.07064529567364256
1,4,29,tier4 all other pairs,0.3976471049713004,0.02367221329944108
1,4,36,tier4 all other pairs,0.3690461471465275,0.09982924074512117
1,4,48,tier4 all other pairs,0.22228239107390713,0.0603710789338638
1,4,53,tier4 all other pairs,0.33994022820863706,0.04956043706581915
1,4,55,tier4 all other pairs,0.5446636549780802,0.06002770715780941
1,4,62,tier4 all other pairs,0.691740582944863,0.05485247858505251
1,4,63,tier4 all other pairs,0.2675056237574393,0.1063980432536196
1,4,67,tier4 all other pairs,0.34930295355076935,0.04056355106233141
1,4,77,tier4 all other pairs,0.3473298211180709,0.06488832145327912
1,4,79,tier4 all other pairs,0.34684449831322706,0.04299759722844861
1,4,83,tier3 fluid<->non-fluid,0.31122016815000736,0.05063451787765579
1,4,85,tier4 all other pairs,0.32639829355752503,0.05863095152076152
1,4,90,tier4 all other pairs,0.15531220418424915,0.07517599044872612
1,4,92,tier4 all other pairs,0.2477267404150563,0.0634736871912659
1,4,93,tier4 all other pairs,0.20680347637512445,0.03440382844002679
1,4,96,tier4 all other pairs,0.26623612330285923,0.0744374758550601
1,7,8,tier2 within fluid family,0.5058091272028648,0.07434106856814741
1,7,9,tier2 within fluid family,0.647914677313363,0.033751194592760596
1,7,11,tier2 within fluid family,0.436574841382019,0.08451363382004896
1,7,13,tier3 fluid<->non-fluid,0.16993056429748588,0.053213826040691484
1,7,29,tier3 fluid<->non-fluid,0.4686522243072342,0.06455891546410249
1,7,55,tier3 fluid<->non-fluid,0.063586675573152,0.0722227029992315
1,7,62,tier3 fluid<->non-fluid,0.07741809190125067,0.11735627479264382
1,7,67,tier3 fluid<->non-fluid,0.25922666750817813,0.06890697613941915
