split,level,seed,deficit
consumption,block,1,0.10870767480479382
consumption,block,2,0.07402454434085015
consumption,block,3,0.10062556975586479
consumption,block,4,0.08421198705599231
consumption,block,5,0.09434277226307097
consumption,block,6,0.08567124089338185
consumption,block+theta,1,0.05602086138215345
consumption,block+theta,2,0.06844135053723477
consumption,block+theta,3,0.08375415332263703
consumption,block+theta,4,0.07022156498516163
consumption,block+theta,5,0.07993203389840864
consumption,block+theta,6,0.07367045432205377
consumption,triple,1,0.043847713068477234
consumption,triple,2,0.020652260390589317
consumption,triple,3,0.022041768161624176
consumption,triple,4,0.034594176036536806
consumption,triple,5,0.03679454408759819
consumption,triple,6,0.04613443693517838
sex,block,1,0.08112041844654105
sex,block,2,0.09213194702659833
sex,block,3,0.08501345293679297
sex,block,4,0.09869499185620856
sex,block,5,0.08828135169038465
sex,block,6,0.0821512783787991
sex,block+theta,1,0.08891015199642727
sex,block+theta,2,0.06948123835460929
sex,block+theta,3,0.09069268243214224
sex,block+theta,4,0.09724323670998292
sex,block+theta,5,0.06882355368694171
sex,block+theta,6,0.08639868728096589
placebo,block,1,-0.000870040194390076
placebo,block,2,-0.004465833494527782
placebo,block,3,0.00043480759603797825
placebo,block,4,-0.0011438502099282433
placebo,block,5,0.0004702621029741838
placebo,block,6,-0.001086468469397639
placebo,block+theta,1,0.001888625636459751
placebo,block+theta,2,0.0018697488384288308
placebo,block+theta,3,0.00458202464925217
placebo,block+theta,4,0.000738979176580945
placebo,block+theta,5,0.004299950300138189
placebo,block+theta,6,0.005841138410074609
placebo,triple,1,-0.0037071642345652966
placebo,triple,2,-0.005398221072700715
placebo,triple,3,0.0007461789121018247
placebo,triple,4,0.004641491321146329
placebo,triple,5,-2.7045815808146578e-05
placebo,triple,6,-0.009348183557316037
