outcome,r
"""I am ashamed or embarrassed about at least so",0.045399828218822644
"""Engaging with or fantasizing about what arous",0.0019475986853016332
"""I've acted upon or experimented with all the ",-0.04222581811013491
"""I sometimes find people who have clearly reac",-0.07463399567521177
allrollidentity,-0.0012417546615292616
"""I find it erotic when two people of the oppos",-0.039129900891313234
knowwhatarousesyou,-0.030703351105631316
highenergy,0.0222945052438315
"""I find the thought of existing (in *nonsexual",-0.0034099701986271143
"""I find the thought of existing (in *nonsexual",-0.010199402130900813
inducefetish,-0.025281366448457278
"""I find the thought of masturbating alone as a",-0.003147895118830235
"""I find the thought of masturbating alone as a",0.004407956075601702
"""If my partner is aroused by something, I can ",-0.024733491604602677
"""I am aroused by being dominant in sexual inte",-0.12227912781923517
"""I am aroused by being submissive in sexual in",0.1184788877581837
age,-0.016655327666435005
openness,-0.024107870150108457
conscientiousness,0.013814795173024218
extroversion,-0.09898690137831305
neuroticism,0.06131174199328276
agreeableness,0.06538547839230532
powerlessness,0.07264035457510966
关系风格,8.012774213104203e-05
0–14 岁被打屁股,0.016387309005757286
成长期性开放度,-0.032999845857904914
