qi,n_in_block,gate,lift,p_enter_if_gate_pos
48,2915,mentalalteration,0.994,0.994
36,2859,sensory,0.994,0.994
62,3398,humiliation,0.992,0.992
67,5415,nonconsent,0.99,0.99
78,10033,appearance,0.989,1.0
55,5034,sadomasochism,0.983,0.983
39,1703,transform,0.983,0.983
32,3020,pregnancy,0.982,0.982
42,1665,abnormalbody,0.976,0.977
28,6335,roles,0.975,0.975
35,2790,sensory,0.97,0.97
56,8056,toys,0.966,0.966
16,8398,gentleness,0.96,0.96
49,3588,mythical,0.96,0.96
51,1260,bestiality,0.956,0.956
18,3269,humiliation,0.955,0.955
23,2368,incest,0.952,0.988
47,2776,mentalalteration,0.947,0.947
24,8281,powerdynamic,0.947,0.947
21,5140,nonconsent,0.94,0.94
65,5814,multiplepartners,0.938,0.938
30,4732,sadomasochism,0.924,0.924
79,9249,appearance,0.922,0.922
52,1543,abnormalbody,0.906,0.906
76,10388,eagerness,0.893,0.893
37,1515,transform,0.875,0.875
29,5388,roles,0.829,0.829
80,8315,appearance,0.829,0.829
27,5287,roles,0.814,0.814
4,2897,secretions,0.777,0.987
44,884,genderswapped,0.767,0.767
25,2279,objects,0.744,0.744
2,930,bestiality,0.706,0.706
50,2564,secretions,0.703,0.875
26,1990,pregnancy,0.647,0.647
73,2386,mythical,0.639,0.639
9,2358,secretions,0.635,0.804
19,3805,multiplepartners,0.614,0.614
12,4968,clothing,0.614,0.614
77,5045,toys,0.605,0.605
63,5007,powerdynamic,0.573,0.573
40,992,transform,0.573,0.573
20,4988,gentleness,0.57,0.57
61,6491,eagerness,0.558,0.558
14,4431,clothing,0.547,0.547
81,1655,objects,0.54,0.54
66,1330,mentalalteration,0.454,0.454
83,1604,secretions,0.452,0.549
22,1161,incest,0.448,0.484
60,1901,genderswapped,0.446,0.493
99,1057,You find raceplay to be: (fkk3ykn),0.437,0.561
84,3472,clothing,0.423,0.429
90,3701,gentleness,0.423,0.423
88,4805,eagerness,0.413,0.413
92,3593,powerdynamic,0.411,0.411
33,2314,You find raceplay to be: (fkk3ykn),0.394,0.509
93,3228,toys,0.387,0.387
8,1468,secretions,0.386,0.499
71,661,transform,0.382,0.382
96,2342,multiplepartners,0.378,0.378
11,1324,secretions,0.358,0.451
38,620,transform,0.358,0.358
95,1095,objects,0.357,0.357
53,2881,clothing,0.356,0.356
91,1322,mythical,0.354,0.354
7,1289,secretions,0.35,0.44
17,1367,genderswapped,0.302,0.342
31,1929,roles,0.297,0.297
6,1044,secretions,0.291,0.357
74,2316,clothing,0.286,0.286
75,2273,clothing,0.281,0.281
85,2190,clothing,0.271,0.271
13,8648,sadomasochism,0.256,0.854
10,958,secretions,0.254,0.326
97,1891,clothing,0.234,0.234
34,1497,roles,0.23,0.23
100,712,"When I picture myself as having a nude female body, I find t",0.224,0.309
94,1719,clothing,0.212,0.212
98,1330,roles,0.205,0.205
41,4571,receivepain,0.174,0.415
69,561,secretions,0.127,0.189
5,6657,"""I find {bodypartsmost}:"" (xw7vr7a)",0.121,0.994
46,503,bestiality,0.114,0.188
89,383,genderplay,0.102,0.141
43,568,"""I find psychological pain/torture to be:"" (9hy7wy3)",0.1,0.123
57,366,bestiality,0.083,0.138
45,380,mentalalteration,0.064,0.075
59,362,secretions,0.063,0.097
