a,b,n,r_prop,r_rar,cca1,cca_max,cca_null
1,4,2890,0.356,0.153,0.606,0.606,0.029
1,6,1044,0.288,0.023,0.19,0.19,0.045
1,7,1289,0.315,0.005,0.293,0.293,0.059
1,8,1468,0.346,0.031,0.206,0.206,0.048
1,9,2358,0.35,0.026,0.383,0.383,0.029
1,11,1323,0.309,0.064,0.238,0.238,0.056
1,13,8605,0.38,0.157,0.418,0.418,0.02
1,17,1360,0.242,-0.047,0.222,0.222,0.057
1,19,3797,0.368,-0.017,0.351,0.351,0.026
1,20,4941,0.258,0.065,0.177,0.177,0.025
1,29,5373,0.348,0.093,0.338,0.338,0.024
1,36,2845,0.407,0.192,0.43,0.43,0.035
1,39,1683,0.265,0.027,0.28,0.28,0.056
1,42,1649,0.345,0.107,0.293,0.293,0.049
1,48,2904,0.222,0.027,0.21,0.21,0.03
1,51,1258,0.155,-0.022,0.299,0.299,0.069
1,53,2868,0.435,0.077,0.362,0.362,0.031
1,55,5017,0.35,0.176,0.328,0.328,0.032
1,62,3387,0.386,0.205,0.543,0.543,0.03
1,63,4990,0.371,0.154,0.38,0.38,0.027
1,67,5398,0.282,0.024,0.247,0.247,0.027
1,73,2373,0.243,0.101,0.343,0.343,0.044
1,77,5034,0.457,0.186,0.61,0.61,0.024
1,79,9192,0.336,0.057,0.344,0.344,0.016
1,81,1650,0.27,0.078,0.184,0.184,0.044
1,83,1604,0.388,0.021,0.325,0.325,0.039
1,85,2179,0.399,0.112,0.279,0.279,0.04
1,90,3652,0.25,0.068,0.177,0.177,0.028
1,91,1310,0.287,0.098,0.24,0.24,0.045
1,92,3577,0.342,0.199,0.484,0.484,0.031
1,93,3222,0.435,0.168,0.659,0.659,0.04
1,95,1091,0.286,0.067,0.272,0.272,0.059
1,96,2336,0.357,0.008,0.298,0.298,0.032
4,6,1044,0.359,0.029,0.436,0.436,0.048
4,7,1289,0.346,-0.0,0.314,0.314,0.046
4,8,1468,0.369,-0.044,0.295,0.295,0.05
4,9,2358,0.406,0.019,0.503,0.503,0.042
4,11,1324,0.421,0.061,0.277,0.277,0.042
4,13,1909,0.429,0.12,0.377,0.377,0.041
4,19,937,0.437,0.083,0.252,0.266,0.056
4,20,919,0.224,0.039,0.143,0.143,0.055
4,29,1337,0.338,0.086,0.401,0.401,0.053
4,36,839,0.4,0.211,0.355,0.355,0.065
4,48,898,0.359,0.019,0.24,0.24,0.069
4,53,772,0.325,0.118,0.345,0.345,0.074
4,55,1433,0.445,0.217,0.529,0.529,0.036
4,62,1110,0.494,0.244,0.683,0.683,0.051
4,63,1103,0.454,0.215,0.283,0.283,0.066
4,67,1418,0.384,0.132,0.378,0.378,0.055
4,77,1185,0.401,0.091,0.316,0.316,0.05
4,79,1926,0.324,0.064,0.36,0.36,0.042
4,83,1604,0.404,-0.002,0.343,0.343,0.046
4,85,628,0.303,0.184,0.202,0.294,0.078
4,90,762,0.227,0.046,0.173,0.173,0.078
4,92,904,0.405,0.197,0.236,0.307,0.071
4,93,911,0.38,0.116,0.211,0.217,0.062
4,96,631,0.436,0.048,0.299,0.299,0.082
6,8,652,0.507,0.179,0.404,0.404,0.082
6,9,930,0.579,0.271,0.601,0.601,0.066
6,11,603,0.488,0.111,0.42,0.42,0.067
6,13,730,0.325,0.108,0.144,0.144,0.071
6,79,703,0.3,0.044,0.162,0.162,0.072
7,8,865,0.514,0.294,0.502,0.502,0.062
7,9,1025,0.566,0.059,0.613,0.613,0.061
7,11,690,0.465,0.199,0.449,0.449,0.056
7,13,949,0.339,0.025,0.093,0.093,0.076
7,29,620,0.396,0.003,0.536,0.536,0.079
7,55,741,0.307,0.02,0.039,0.08,0.076
7,62,605,0.355,0.017,0.084,0.118,0.075
7,67,753,0.28,0.086,0.263,0.263,0.064
7,79,916,0.304,0.055,0.308,0.308,0.059
7,83,1138,0.763,0.497,0.855,0.855,0.053
8,9,1225,0.545,0.097,0.385,0.478,0.05
8,11,769,0.481,0.161,0.519,0.519,0.07
8,13,1085,0.304,0.116,0.164,0.164,0.055
8,29,768,0.279,0.021,0.283,0.283,0.064
8,55,881,0.276,0.038,0.042,0.101,0.054
8,62,681,0.318,0.037,0.236,0.236,0.077
8,63,611,0.344,0.023,0.041,0.043,0.074
8,67,860,0.258,0.029,0.082,0.139,0.06
8,77,637,0.348,-0.004,0.041,0.041,0.076
8,79,1049,0.297,0.112,0.198,0.198,0.061
8,83,956,0.505,0.179,0.451,0.451,0.058
9,11,1051,0.544,0.23,0.422,0.444,0.058
9,13,1574,0.351,0.045,0.146,0.146,0.049
9,19,804,0.337,0.014,0.434,0.434,0.061
9,20,765,0.205,-0.006,0.043,0.096,0.074
9,29,1161,0.326,0.11,0.552,0.552,0.049
9,36,694,0.402,0.035,0.165,0.165,0.063
9,48,723,0.306,0.064,0.041,0.168,0.069
9,53,664,0.348,-0.023,0.339,0.339,0.075
9,55,1167,0.352,-0.011,0.215,0.215,0.062
9,62,846,0.381,0.052,0.231,0.231,0.057
9,63,909,0.344,0.001,0.18,0.18,0.061
9,67,1120,0.273,0.092,0.292,0.292,0.056
9,77,1022,0.42,0.009,0.367,0.367,0.068
9,79,1626,0.276,0.017,0.418,0.418,0.043
9,83,1253,0.546,0.041,0.662,0.662,0.054
9,90,613,0.255,0.034,0.051,0.051,0.066
9,92,710,0.343,0.021,0.161,0.18,0.061
9,93,766,0.394,-0.021,0.255,0.255,0.07
11,13,871,0.374,0.164,0.11,0.11,0.067
11,29,607,0.319,-0.039,0.189,0.285,0.085
11,55,667,0.306,0.085,0.005,0.161,0.091
11,62,686,0.395,0.062,0.259,0.259,0.058
11,67,772,0.319,0.023,0.005,0.038,0.07
11,79,804,0.24,0.089,0.066,0.092,0.061
11,83,820,0.488,0.21,0.469,0.469,0.069
13,17,929,0.355,0.054,0.225,0.255,0.06
13,19,2689,0.416,0.081,0.282,0.282,0.039
13,20,3103,0.229,0.05,0.187,0.187,0.035
13,29,3522,0.327,0.051,0.344,0.344,0.037
13,36,2236,0.474,0.21,0.384,0.384,0.035
13,39,1158,0.322,0.016,0.166,0.203,0.051
13,42,1146,0.384,0.168,0.067,0.173,0.057
13,48,2186,0.402,0.054,0.303,0.303,0.041
13,51,845,0.297,0.022,0.063,0.063,0.064
13,53,1983,0.386,0.033,0.375,0.375,0.04
13,55,4323,0.647,0.219,0.466,0.466,0.026
13,62,2693,0.54,0.224,0.345,0.345,0.035
13,63,3843,0.593,0.143,0.447,0.447,0.028
13,67,4173,0.501,0.026,0.281,0.281,0.032
13,73,1690,0.323,0.157,0.322,0.322,0.051
13,77,3723,0.532,0.201,0.413,0.413,0.031
13,79,5824,0.36,0.068,0.287,0.287,0.023
13,81,1369,0.436,0.142,0.305,0.305,0.049
13,83,1144,0.351,0.048,0.061,0.13,0.049
13,85,1380,0.348,0.018,0.339,0.339,0.049
13,90,2058,0.213,0.066,0.155,0.155,0.048
13,91,863,0.285,0.215,0.204,0.204,0.06
13,92,2562,0.58,0.147,0.439,0.439,0.04
13,93,2246,0.523,0.154,0.383,0.383,0.042
13,95,856,0.39,0.123,0.324,0.324,0.066
13,96,1515,0.357,0.072,0.257,0.257,0.042
17,19,834,0.353,-0.014,0.272,0.272,0.07
17,20,811,0.207,0.03,0.072,0.072,0.064
17,29,691,0.368,-0.012,0.218,0.218,0.065
17,53,722,0.309,0.016,0.159,0.159,0.065
17,63,953,0.345,0.017,0.197,0.197,0.059
17,67,696,0.364,-0.04,0.125,0.209,0.077
17,73,718,0.325,0.008,0.222,0.222,0.07
17,77,990,0.264,-0.01,0.17,0.17,0.063
17,79,915,0.453,0.019,0.221,0.221,0.062
19,20,2107,0.265,0.034,0.113,0.113,0.041
19,29,1827,0.438,0.061,0.434,0.434,0.039
19,36,967,0.425,0.061,0.28,0.28,0.056
19,42,613,0.41,0.062,0.205,0.205,0.077
19,48,1008,0.321,0.033,0.306,0.306,0.056
19,53,1512,0.353,0.072,0.261,0.264,0.052
19,55,1720,0.415,0.08,0.297,0.297,0.037
19,62,1144,0.418,0.133,0.641,0.641,0.061
19,63,2586,0.414,0.085,0.257,0.257,0.035
19,67,1866,0.385,0.044,0.362,0.362,0.046
19,73,1435,0.334,0.02,0.292,0.312,0.045
19,77,2703,0.49,0.053,0.355,0.355,0.033
19,79,2773,0.324,0.012,0.272,0.272,0.041
19,81,945,0.372,0.088,0.186,0.186,0.057
20,29,1919,0.339,0.031,0.159,0.159,0.045
20,36,1227,0.365,0.072,0.13,0.13,0.063
20,42,650,0.274,0.116,0.095,0.095,0.07
20,48,988,0.205,0.097,0.119,0.125,0.055
20,53,1757,0.333,-0.006,0.081,0.088,0.048
20,55,1864,0.214,0.012,0.212,0.212,0.043
20,62,1008,0.257,0.042,0.197,0.197,0.067
20,63,3035,0.301,0.065,0.214,0.214,0.036
20,67,1736,0.214,-0.006,0.093,0.093,0.042
20,73,1573,0.259,-0.001,0.076,0.076,0.051
20,77,3007,0.197,0.075,0.183,0.183,0.035
20,79,3484,0.226,0.05,0.147,0.147,0.033
20,81,1082,0.312,0.062,0.038,0.088,0.069
29,36,1415,0.442,0.114,0.208,0.224,0.043
29,39,921,0.419,-0.058,0.179,0.273,0.059
29,42,890,0.472,0.003,0.432,0.432,0.06
29,48,1543,0.348,0.13,0.18,0.18,0.051
29,51,656,0.29,0.089,0.036,0.106,0.073
29,53,1549,0.547,0.016,0.487,0.487,0.044
29,55,2226,0.332,0.111,0.153,0.175,0.048
29,62,1565,0.405,0.074,0.221,0.221,0.046
29,63,2085,0.38,0.071,0.334,0.334,0.041
29,67,2494,0.395,0.085,0.345,0.345,0.038
29,73,1212,0.486,0.091,0.531,0.531,0.056
29,77,2067,0.402,0.093,0.356,0.356,0.038
29,79,3605,0.343,0.061,0.372,0.372,0.032
29,81,813,0.439,0.153,0.238,0.238,0.07
29,83,717,0.36,0.006,0.499,0.499,0.077
29,85,1142,0.524,0.136,0.532,0.532,0.053
29,90,1353,0.309,0.064,0.026,0.169,0.05
29,91,693,0.499,0.125,0.452,0.452,0.073
29,92,1462,0.427,0.115,0.318,0.318,0.047
29,93,1321,0.372,0.1,0.263,0.263,0.05
29,96,1112,0.387,0.105,0.346,0.346,0.059
36,48,1045,0.345,0.139,0.24,0.24,0.057
36,53,804,0.425,0.13,0.27,0.27,0.064
36,55,1668,0.588,0.249,0.598,0.598,0.046
36,62,1057,0.48,0.215,0.289,0.289,0.071
36,63,1295,0.54,0.149,0.672,0.672,0.06
36,67,1489,0.404,0.024,0.191,0.191,0.055
36,73,745,0.324,0.169,0.312,0.312,0.072
36,77,1359,0.506,0.266,0.584,0.584,0.041
36,79,1983,0.351,0.128,0.26,0.26,0.037
36,81,613,0.574,0.181,0.131,0.224,0.081
36,90,821,0.326,0.058,0.112,0.112,0.081
36,92,891,0.544,0.208,0.63,0.63,0.064
36,93,859,0.506,0.261,0.473,0.473,0.062
39,42,757,0.534,-0.011,0.433,0.433,0.074
39,48,887,0.391,0.071,0.167,0.167,0.067
39,55,728,0.316,0.038,0.169,0.169,0.079
39,62,673,0.386,-0.004,0.256,0.256,0.073
39,63,686,0.362,0.072,0.174,0.191,0.072
39,67,965,0.357,-0.018,0.162,0.173,0.046
39,73,647,0.466,0.043,0.142,0.244,0.074
