col,kind,n,nuniq
biomale,RATING_0_5,15503,2
age,OTHER,15503,5
"As an adult, have you been the victim of sexual assault? (ld0srat)",OTHER,15500,2
At what age did you first begin (at least semiregularly) masturbating?,AGE_ONSET,15498,8
"Personally, your preferred relationship style is: (4jib23m)",OTHER,15500,2
sexcount,OTHER,15263,5
Have you ever had a sexual experience with someone else who did not want the experience? (2zafc2j),OTHER,15500,4
"How ""sexually liberated"" was your upbringing? (fs700v2)",OTHER,15496,3
"From the ages of 0-14, how often were you spanked as a form of discipline? (p957nyk)",OTHER,15496,3
opennessvariable,OTHER,15503,13
consciensiousnessvariable,OTHER,15503,13
extroversionvariable,OTHER,15503,13
neuroticismvariable,OTHER,15503,13
agreeablenessvariable,OTHER,15503,13
powerlessnessvariable,OTHER,15503,19
TotalMentalIllness,TOTAL,6196,1
"Compared to other people of your same gender and age range, you are (yh6d44s)",OTHER,15500,7
youfeelmost,FORCED_CHOICE_MOST,14974,23
Totalyoufeel,TOTAL,15382,22
otherfeel1most,FORCED_CHOICE_MOST,14634,23
Totalotherfeel1,TOTAL,15161,22
Your sexual interests feel (44qhm16),OTHER,15499,7
pornhabit,OTHER,15503,10
animated,LIKERT_PM3,14190,5
written,LIKERT_PM3,14188,5
violentporn,RATING_0_5,14188,5
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1ziu)",LIKERT_PM3,15503,7
"""Engaging with or fantasizing about what arouses me feels therapeutic or healing to me"" (vmq8jqw)",LIKERT_PM3,15501,7
"""I can get aroused by a partner doing what I like, even if I know they aren't aroused by it themselves"" (aw1a1ss)",LIKERT_PM3,15502,7
"""I've acted upon or experimented with all the things that arouse me"" (41kpfir)",LIKERT_PM3,15502,7
Have you paid for porn/erotic content? (pnltks8),OTHER,15502,4
"""In general, on average, the optimal amount of consent in my preferred erotic scenarios is:"" (b0ukpvo)",OTHER,15497,5
Which describes you best? (cvc5b81),OTHER,15095,7
"""I sometimes find people who have clearly reached sexual maturity, but are not yet adults (e.g., ages 13-17), to be sexually attractive"" (kbpolw9)",LIKERT_PM3,15501,7
"In scenarios you find erotic, you tend to identify with (or imagine being): (irv6czg)",OTHER,15097,4
